{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '很近，很干净很好，老板免费接送～人挺好的～晚上睡觉也很安静，也有饮水机～外面就夜市吃小吃的，老板还在半夜被我叫起来去接朋友也没有任何怨言……两口子都很和谐的，卫生也很不错，主要价格便宜质量又好.', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '下次再来', '短评打分': 5}
{'短评内容': '还可以吧，就这个价格啦！第一次在京东订酒店，比较方便吧，支持京东', '短评打分': 5}
{'短评内容': '酒店房间空间挺大，卫生干净', '短评打分': 5}
{'短评内容': '房间很干净，设施齐全，服务很好，下次再来还会继续入住。', '短评打分': 5}
{'短评内容': '因为靠公司近，也比较价格公道，就住在那里，那里最好的就是早饭，哈哈哈  味道很好，住了3天，每天都是不一样的粥，阿姨也很好', '短评打分': 4}
{'短评内容': '麻雀虽小，五胀俱全。非常适合自己出来玩，该有的都有，省的地方很合理。送早餐，周围很热闹，很方便，以后还会考虑。', '短评打分': 5}
{'短评内容': '还可以，入住比较晚，没什么其他感觉', '短评打分': 3}
{'短评内容': '酒店各方面都不错，以后去广州首先此地。', '短评打分': 3}
{'短评内容': '在广交会期间贵的要死，房间很一般，当然要求不能高了，平时就100多，广交会携程398。', '短评打分': 4}
{'短评内容': '位置比较安静 房间也比较大 不错', '短评打分': 3}
{'短评内容': '酒店管理不贴心，本来预定两间三晚，想着省事，在前台办理时交足房费，但朋友有事提前一天走了，和酒店协商可不可以退一天的房费，结果酒店以交款后不可以退为理由拒绝退款，白白交多一晚房费，以后再也不在这订房了。', '短评打分': 5}
