{'短评内容': '酒店环境不错，服务也很周到', '短评打分': 5}
{'短评内容': '特别好……', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '正在搞装修', '短评打分': 4}
{'短评内容': '距离宁大很近，附近吃饭购物都方便', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行，出差主要图个方便，环境还可以', '短评打分': 4}
{'短评内容': '店面装修中，感觉还行', '短评打分': 3}
{'短评内容': '做了个噩梦。感觉很害怕，一晚上都没有睡好，讨厌隔壁女人的叫床声，然后比较喜欢那个窗台。宽阔，可以放东西也可以人待', '短评打分': 3}
{'短评内容': '酒店服务需要提高。', '短评打分': 3}
{'短评内容': '周边吃的多', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常方便，环境很好！', '短评打分': 5}
{'短评内容': '价格便宜，位置比较好找，房间实在不大', '短评打分': 3}
{'短评内容': '酒店位置方便，但设施一般，周围比较吵。', '短评打分': 3}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
