{'短评内容': '设施陈旧，停车还便利的，有停车场。位置离傣族园步行还是有点距离的。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '入住期间，房间紧张，将就', '短评打分': 4}
{'短评内容': '酒店总体来说不错，离傣族园只有几百米距离很方便，也好停车！', '短评打分': 4}
{'短评内容': '一般，靠景区所以价格高得离谱', '短评打分': 3}
{'短评内容': '很普通，靠景区价格太高', '短评打分': 3}
{'短评内容': '垃圾中的垃圾', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '将就一晚上，还算可以。', '短评打分': 4}
{'短评内容': '意向不到的酒店，很干净也很方便，非常不错', '短评打分': 5}
{'短评内容': '服务热情，满意，离傣族园很近。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '相当满意', '短评打分': 4}
{'短评内容': '房间很普通，第一晚398是因为春节最后一天，第二天就降价为200多了', '短评打分': 3}
