{'短评内容': '设施陈旧，描述和实际严重不符，描述里说房间有40平，实际连20平都不到，以绝不会再去了，有一种上当的感觉', '短评打分': 2}
{'短评内容': '酒店的位置还不错，离火车站很近，走着就能到，房间也比较大，卫生条件一般吧，不知道能不能加床，加床的空间是有的。', '短评打分': 3}
{'短评内容': '酒店位置还可以吧，房间也比较大，但是感觉卫生情况一般，电视的收视效果也不好。带孩子可能有点不太合适。', '短评打分': 3}
{'短评内容': '还不错，早餐也还可以。', '短评打分': 5}
{'短评内容': '交通方便，安静', '短评打分': 5}
{'短评内容': '出差的必住之地。', '短评打分': 5}
{'短评内容': '每次来都住这里，很好。', '短评打分': 5}
{'短评内容': '一如既往的住这里。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '空调声音有点大，房间空间停大的。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差讲究住一下可以了，要求不高。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没有暖气，只能开空调，还是暖气舒服啊', '短评打分': 4}
{'短评内容': '很不错。住了三晚', '短评打分': 5}
