{'descr': '老板娘人很好   很和善   可以撸猫    有个很可爱的猫咪   卫生可以再改善一下    洗澡第一次有点伤', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', 'star': 5}
{'descr': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', 'star': 5}
{'descr': '挺舒服的，交通挺方便，离地铁站挺近的，对面就有早餐店，周围店铺也很多，总之不错的一次住宿体验哦，哈哈哈', 'star': 4}
{'descr': '周边很方便', 'star': 3}
{'descr': '订的两间同规格房间，但两间房实际相差的很大，房间不大。', 'star': 4}
{'descr': '很不错，位置交通方便', 'star': 5}
{'descr': '环境卫生不太好 看得出来不怎么打扫 床也很硬 交通蛮便捷的 不过同样这些价钱 下次不会考虑了', 'star': 3}
{'descr': '房间布局还行，不过设施比较旧，厨房柜子打开有味道，没有吹风机', 'star': 3}
{'descr': '还是不错', 'star': 4}
{'descr': '该有的不全，无所谓的东西很全，床和床头柜有点破旧，地段很好', 'star': 3}
{'descr': '不错……性价比很高……周边很多吃的', 'star': 3}
{'descr': '连续三年来都住这里，刚开始都不错，不过现在设施陈旧了，卫生也不太好，床睡着也不舒服，下次来就不住了。', 'star': 4}
{'descr': '周边挺方便的，闹中取静。房间布局略显逼仄，但还算整洁。就是要注意，他们家现在不能接待非中国公民。', 'star': 4}
{'descr': '还不错好不错还不错还不错还不错还不错还不错还不错还不错还不错', 'star': 5}
{'descr': '地理位置不错，但是信价比不敢苟同。', 'star': 3}
