{'短评内容': '被子发馊有异味,就一晚将就一下。', '短评打分': 3}
{'短评内容': '房间卫生  很干净   店家服务态度也很好', '短评打分': 5}
{'短评内容': '服务特棒，周围交通特方便，有地铁。老板娘人巨好！！！', '短评打分': 5}
{'短评内容': '我想说，老板：卫生间的马桶盖子坏了好吧，上厕所都费劲。', '短评打分': 4}
{'短评内容': '很不错！房间大！价格合理', '短评打分': 5}
{'短评内容': '很不开心，到的有点晚，然后给店主打电话，店主说不接受携程的订单，说不要给他打电话了', '短评打分': 1}
{'短评内容': '差，店主奸商', '短评打分': 1}
{'短评内容': '干净方便舒适贴心服务！！', '短评打分': 5}
{'短评内容': '老板要价不定。 一会高 一会低。房间里有点冷。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '热水得自己烧，有点吵', '短评打分': 5}
{'短评内容': '很好的服务，房间很干净。下次还来他家。', '短评打分': 5}
{'短评内容': '还不错，有家的感觉·····就是没有发票', '短评打分': 5}
{'短评内容': '。房间卫生干净面积很大。前台接待态度非常好。很适合入住。', '短评打分': 3}
