{'短评内容': '舒适', '短评打分': 5}
{'短评内容': 'OK谢谢谢谢', '短评打分': 5}
{'短评内容': '宁静', '短评打分': 5}
{'短评内容': '一般，卫生好差', '短评打分': 4}
{'短评内容': '位置好适合带孩子赶紧卫生服务号', '短评打分': 5}
{'短评内容': '环境也是很好', '短评打分': 5}
{'短评内容': '敬业精神和平路的尽头，我的人都有一个人的时候我就不想再去看了一个人的时候', '短评打分': 5}
{'短评内容': '環境不錯，房間也較大，有河景，交通也便利，酒楼就在附近，对往順德為食一族是个好住点!', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '非常整潔，房間大，綱速快，有陽台，空調夠冷，但電熱水器不能長時間供應熱水，所以洗澡要快。電熱水器也要半小左右預熱。住客可免費停車在公寓自設的停車場。可可是不錯的公寓，性價比一流。', '短评打分': 4}
{'短评内容': '非常整潔，房間大，綱速快，有陽台，空調夠冷，但電熱水器不能長時間供應熱水，所以洗澡要快。電熱水器也要半小左右預熱。住客可免費停車在公寓自設的停車場。可可是不錯的公寓，性價比一流。', '短评打分': 4}
{'短评内容': '没想到这么便宜的酒店还不错啊 干净整洁 住的很舒服 附近就是君豪酒店和富丽大厦 去吃东西和看电影很方便 好评！', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一般般，空调有点吵的', '短评打分': 2}
{'短评内容': '非常喜欢的公寓，环境好，寻食方便，对面有容山商场，楼下有酒楼，公寓里有冰箱，家的感觉', '短评打分': 5}
{'短评内容': '来好多次了，评论懒得写', '短评打分': 5}
{'短评内容': '房间大，价格便宜，适合常住', '短评打分': 4}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店还不错！挺干净的！房间也比较大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '干净卫生，房子超新，房间设计得不错，而且很大。这个价位的房子没有比可可公寓好了。', '短评打分': 5}
{'短评内容': '酒店不错，新开的，价格虽比同类饭店稍高，但绝对物有所值！房间大，有阳台，环境好，风景也好交通方便！', '短评打分': 3}
{'短评内容': '服務態度好，房間大和整潔，good.', '短评打分': 3}
{'短评内容': '特别喜欢这家酒店。房间很大。很干净。很喜欢那边的沙发。在那边看书特别舒服。服务也很周到。打扫也很及时。总之很推荐', '短评打分': 5}
{'短评内容': '环境不错，地方够大，设施新，干净，价格也很合理，不错', '短评打分': 5}
{'短评内容': '很干净，装饰很大气，非常好！', '短评打分': 3}
{'短评内容': '非常值，特别推荐，就是开车过桥要给钱，不过这个房价这个钱也就算了。（小提示可以冲关，没有安全问题。他们只收外地车，你当没有看到就好了', '短评打分': 5}
{'短评内容': '酒店不错，新，大。服务员漂亮，养眼，服务也好。自驾车也有停车场停放，周围有步行街。就是去大良过酒店旁的桥外地车收费10元太贵了，而且来回都收（没有有效期），当天来回2次收了30元，最后一次闯关不给了（也没人管的），太不合理了', '短评打分': 5}
{'短评内容': '的确非常好，很超值，周六预定入住后发现的确超预期，推荐大家', '短评打分': 5}
{'短评内容': '硬件设备很好，很满意', '短评打分': 3}
{'短评内容': '真不错，我出差住过两晚，服务好，干净,还会来', '短评打分': 5}
{'短评内容': '很新,服務好,房間大和整潔,會再入住。', '短评打分': 3}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '酒店位置不错 房间 洗手间都很新 前台态度很好 可惜我们住的房间靠着马路 晚上还是比较吵 另一个方向的应该会好些', '短评打分': 5}
