{'短评内容': '很好的民宿！', '短评打分': 4}
{'短评内容': '周边环境好，安静，交通便利。', '短评打分': 5}
{'短评内容': '这个民宿总评较好', '短评打分': 5}
{'短评内容': '靠近十里琅珰，周边有超市，走出来有吃饭的地方，有院子和茶园，设施就是农家乐水平，服务很热情', '短评打分': 4}
{'短评内容': '很干净，比较有特色，环境不错，希望继续保持，下次再来惠顾', '短评打分': 5}
{'短评内容': '第一点没抽风机，厕所的味道全跑房间里去。。第二点有蟑螂，第三点被套不换洗，只是晒晒。以后打死都不住民宿', '短评打分': 3}
{'短评内容': '很好很好很好，跟朋友一起入住，大家印象都很好', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 4}
{'短评内容': '环境不错，不过说好返现，结果却没我', '短评打分': 3}
{'短评内容': '房间不错 店家也很热情 屋后满山的茶树 挺美的梅家坞本身也是个景点 去灵隐寺很方便 只是周末过来的话 很堵车 离市里只有103路 要坐40多分钟的样子 不过车很多 算是方便的吧……', '短评打分': 5}
{'短评内容': '旅店蛮干净，周围环境也不错，就是离市区远了', '短评打分': 3}
{'短评内容': '老板娘人很好，旅店位置很好找，梅家坞车站下车就能看到旅店招牌，房间很干净，很适合周末度假。旁边就是十里琅珰入口，有兴趣的还可以去爬爬山。', '短评打分': 5}
{'短评内容': '酒店一般。老板人不错。就是半夜还有人在楼下打麻将，实在打扰人休息！', '短评打分': 5}
{'短评内容': '老板很好，推荐的旅游区也很不错，家里很干净，下次还去哦！', '短评打分': 5}
{'短评内容': '环境不错，就是有些难找，房间小，但是很干净，不过好像有股刚装修好的味道', '短评打分': 3}
{'短评内容': '第一次入住，老板很热情，环境很好，值得一住，品味茶山，品味风景！', '短评打分': 5}
{'短评内容': '环境不错，老板热心，就是酒店地方有点偏僻，如果就是爬山、喝茶，还是不错的', '短评打分': 5}
{'短评内容': '蛮好的，推开窗户就是满眼的龙井茶叶山。。不错  离西湖也很近，开车很方便', '短评打分': 5}
{'短评内容': '此旅舍虽是家屋所造，但是在杭州最美的梅家坞里面，故而空气极嘉美，而且本身也安静，干净，心境佳！', '短评打分': 5}
{'短评内容': '这家店不错，稍微有点贵，我主的是阁楼的木屋。不错。是家庭式。就是不太好过去。店主开车到灵隐接的。\n这点赞一个。', '短评打分': 5}
{'短评内容': '梅家坞附近的民居，离景点很近，早上走没有停车费，房间很简单，因为下雨很潮，隔音不好，老板人很好', '短评打分': 3}
{'短评内容': '车站旁往里走一点就是，去灵隐寺很方便。房间也不错，开窗可以看见茶山！', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '还不错，比较好找，也蛮干净', '短评打分': 3}
{'短评内容': '去了才明白为什么是百分百的好评！ 到哪儿都很方便，打车20多块钱 公车直接在门口坐 离灵隐寺很近  我们订的三人间 景色很好 身前身后都是茶园 房间洁净 适合多住几天。 如果像我们一样只住一天 估计要遗憾很久。。。下次专程去常住！ 贴别谢谢旅店的阿婆了！很温馨！', '短评打分': 5}
{'短评内容': '交通方便，房间干净整洁，温馨', '短评打分': 3}
{'短评内容': '房间干净舒适 一家人都很热情 推荐我们吃饭的小馆也不错！', '短评打分': 5}
{'短评内容': '第一次入住该旅店，比我想象得要好很多，房间很干净，主要是住宿的周边环境很好，早上推开窗户就可以看见外面的茶树，空气非常的好。由于是私人旅店，老板娘朱阿姨一家都很热情，以后还会去入住该旅店。', '短评打分': 5}
{'短评内容': '我的评价是，的确不错，别有风味！长假要的就是清净，清晨看着远处朦胧的青山，茶树，真实乐不思蜀。远离尘嚣，就来这儿吧，你不会失望的。', '短评打分': 5}
{'短评内容': '干净整洁，位置有点远，空气清新！', '短评打分': 3}
{'短评内容': '房间干净整洁，蛮有特色，晚上安静，老板娘热情周到', '短评打分': 3}
{'短评内容': '隔音稍差 非常舒适 ', '短评打分': 3}
{'短评内容': '老板很热情', '短评打分': 3}
{'短评内容': '农家住宿，一般吧', '短评打分': 3}
{'短评内容': '杭州清静旅店环境差，服务差。', '短评打分': 3}
{'短评内容': '清静,阁楼房有天窗,晚上可以看星星,周边茶楼众多,吃饭、吃茶方便,近有寺庙,清幽、静心,店家人也不错!;-)', '短评打分': 3}
