{'短评内容': '离灵境胡同比较近 出差需要住 条件很一般', '短评打分': 4}
{'短评内容': '真的不知道怎么说，跟介绍的完全不同', '短评打分': 3}
{'短评内容': '这是住过最差的旅馆   一进房间  厕所的味就传出来的很难闻  而且热水打很久都不来我觉得其它便宜的旅馆都不像这样子', '短评打分': 1}
{'短评内容': '一股味，真是不怎么样啊。', '短评打分': 2}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '二十平米，不算很大，但设备齐全。在西单附近这个价钱能住已经很好啦~价位同附近其他酒店相比很便宜，附近吃饭交通都很方便', '短评打分': 5}
{'短评内容': '环境还可以，读的起价钱。周边餐饮较齐全，去协和医院挺方便的。', '短评打分': 4}
{'短评内容': '这个还行吧，我定了个家庭房，环境还挺好，唯一有点不好的是卫生间有点漏水。', '短评打分': 5}
{'短评内容': '房间设施陈旧破烂，卫生极差，好像从来没打扫，马捅盖没，下水漏水，无热水，冷水一小股。电视一个台，还是雪花，空调好比拖拉机，不过离协和挺近的，为了这个，忍了。', '短评打分': 2}
{'短评内容': '真心不怎么样，是住的最差的没有之一', '短评打分': 1}
{'短评内容': '很不满意，什么设施都没有，还没住过连卫生间都没有的，上个厕所从三楼走到一楼。。。。。。', '短评打分': 1}
{'短评内容': '卫生一般般，还可以吧', '短评打分': 4}
{'短评内容': '住的不错，替朋友订的，离协和西元很近，步行几分钟', '短评打分': 4}
{'短评内容': '还行比较干净，条件简陋。单人住也不错。', '短评打分': 3}
{'短评内容': '出行交通便利，周围环境优美，附近设施便利。', '短评打分': 5}
{'短评内容': '我简直无法评论这家宾馆 强烈要求改名旅馆 真无语 便宜没好货对付不得阿', '短评打分': 1}
{'短评内容': '很烂，很不值，强烈不推荐。', '短评打分': 3}
{'短评内容': '房间可以，就是没说清楚房间里是否有卫生间', '短评打分': 3}
{'短评内容': '地段非常好，门口就是地铁，公交到天安门，三里屯等都很方便，且离西单商业中心只有一街之隔。房间比较干净，但是很小很小，且大床房其实就是两张床和床垫合并的，被褥特别小，房间基本没什么隔音。', '短评打分': 5}
{'短评内容': '地理位置不错，房间设施及环境不佳，水龙头放很久才有热水，性价比一般吧', '短评打分': 1}
{'短评内容': '已入住感觉不错,长住应优惠!', '短评打分': 3}
