{'descr': '环境还可以，就是周围没什么吃的', 'star': 5}
{'descr': '干净，交通方便。', 'star': 4}
{'descr': '独门独院，有停车位，环境挺好的，挺干净的，住了两天感觉很舒服，这个价钱感觉性价比挺好的', 'star': 5}
{'descr': '大概是我住过最喜欢的连锁酒店了 一般我都会避开连锁酒店 但是这家给我感觉是愿意再去的  我喜欢安静 要求很高  看上这家是因为它有个院子 房间在里面 避开马路 其实后来知道马路也是小马路 不吵  院子里可以停车 大概十几辆的样子  对于我们这种避开节假日和双休的日子去的 不用担心抢车位  房间里面干净 整洁 麻雀虽小 五脏俱全 ', 'star': 5}
{'descr': '很清静！！', 'star': 5}
{'descr': '酒店非常干净，位置方便！', 'star': 5}
{'descr': '不错 物有所值 超级干净', 'star': 5}
{'descr': '挺好的一次', 'star': 5}
{'descr': '地理位置蛮好的', 'star': 5}
{'descr': '前台服务态度好', 'star': 5}
{'descr': '挺好的？h', 'star': 5}
{'descr': '挺好！', 'star': 5}
{'descr': '还可以吧。', 'star': 5}
{'descr': '空间小，设备旧就算了，隔音还差，隔壁啪啪声都听得见，叫床声比闹铃还清晰。 无语………', 'star': 3}
{'descr': '周边环境一般，酒店人员服务热情周到。', 'star': 5}
{'descr': '位置确实不错，距离观前街十分钟以内路程，旁边一公里附近还有1号线。退房也方便，交了房卡就能走，不需要服务员检查完房子才能走。不过房间只有牙刷，香皂、梳子等等都没有', 'star': 5}
{'descr': '离地铁站还挺远，当时以为就在地铁口。高级大床房啊！太小了吧，真不知道大床房会小到什么地步。电视机进去的时候还以为电脑，好小。浴室也特别小，洗澡的水量小花洒还是坏的。被子睡了有点痒感觉不太干净。总得来说不满意', 'star': 3}
{'descr': '还行吧', 'star': 5}
{'descr': '酒店离地铁站比较近，门口也有公交车到火车站或虎丘。房价比较实惠。', 'star': 5}
{'descr': '过了入住时间还要等1个小时才有房，环境还可以，但是大冷天的竟然没有热水洗澡，最后只能享受酒店特别提供的澡堂洗澡了', 'star': 5}
{'descr': '地段挺好的，就是房间小，另外打扫不彻底，我入住后居然在洗手间发现假睫毛，唉，没清理干净', 'star': 5}
{'descr': '酒店位置还不错，比较安静。到哪都不是太远，但是想出门就坐车的就不推荐了。适合自助游。', 'star': 5}
{'descr': '离观前街还有点距离,打车不太方便,附近吃饭的地方也不太多', 'star': 1}
{'descr': '相当不错，干净卫生，虽然不知是不是真干净，至少表面文章做的还不错，地段也不错，闹中取静', 'star': 5}
{'descr': '还不错，房间挺干净，但稍有点小，住一晚还行，位置不错，离观前街很近，不过观前街没什么可逛的。房间里没WIFI有点不爽', 'star': 5}
{'descr': '房间小了点，不过挺安静，地理位置也不错去哪儿都近', 'star': 3}
{'descr': '干净卫生，设施虽简单但是该有的都有了。居然还有吹风机，很实用。早餐很好。就是距离景点稍远。', 'star': 5}
{'descr': '很不错，干净卫生，设施虽然简单，但该有的都有，最满意的是有吹风机，早餐也很不错', 'star': 5}
{'descr': '地处闹市区，但闹中带静，是出游不错选择', 'star': 3}
{'descr': '地段好，闹中取静，干净卫生，价格适中，就是房间有点小', 'star': 5}
{'descr': '第三次住这家酒店了。酒店服务热情，很好，来苏州出差就住这里。', 'star': 5}
{'descr': '还不错，挺新的也很干净，就是有点小啦。停车还很方便，值得推荐。', 'star': 5}
{'descr': '很干净的一家连锁酒店，下次还会去拿，睡觉也很安静。', 'star': 5}
{'descr': '环境位置都很好，早餐不错，要是能免费送就更好了，不过这次去的时候感觉空调不太有效，洗澡从第一晚不够热，第二就说设备坏了，只好自己烧水洗。\n总的来说还是值得一去。', 'star': 5}
{'descr': '停车方便，环境安静。靠近商业街，观前街。', 'star': 5}
{'descr': '酒店小巧玲珑，五脏俱全，服务态度好，房间也挺干净', 'star': 5}
{'descr': '很不错，能停车，离观前街也不远，比较安静。', 'star': 5}
{'descr': '浴室的门设计有问题 洗完澡以后居然无法推开了 后来把上面的胶条扯下来才推开了门 ', 'star': 1}
{'descr': '  蛮安静的 ', 'star': 3}
{'descr': '酒店不错，来苏州都住这里。房间干净，早餐也不错。', 'star': 5}
{'descr': '酒店很新，很干净，不错，以后来苏州就住这里。', 'star': 5}
{'descr': '真的很满意。', 'star': 3}
{'descr': '房间挺干净的，环境也挺好，晚上挺静的，就是空间有点小。', 'star': 5}
{'descr': '酒店基础设施不错，处于苏州老城区，距离拙政园狮子林都很近，离平江路也不远，很舒服', 'star': 5}
{'descr': '酒店的设备什么的都还不错 也挺安静 隔音也还可以 只是房间真的有点小 \n入住的第二天夜里起来冲澡 水有点凉 貌似木有热水供应了。。', 'star': 5}
{'descr': '环境很好 服务也很好  以后一定还会去的\n', 'star': 5}
{'descr': '非常不错，干净，停车方便，早餐对于15元一位来说的自助餐还是蛮超值的', 'star': 5}
{'descr': '房间环境相当干净,内部装饰也不错! 退房很速度,下次还会再来', 'star': 5}
{'descr': '很满意，128元的高级大床房里还配备了吹风机，环境也很不错，干净。这配置同在观前街的莫泰168起码两百三十以上。这家汉庭是我住过的连锁酒店里最经济实惠最满意一家。', 'star': 5}
{'descr': '靠近观前街~且有停车的地方，唯一的不足是房间有点小，总的来说还是不错的', 'star': 5}
{'descr': '房间小了点，比较干净，周围环境比较安静，打车比较难， 其他都蛮好', 'star': 5}
{'descr': '这家汉庭闹中取静，去观前街步行只需10来分钟即可；由于今年才开业，设施很新。房间在汉庭快捷中相对比较大。还有一个院子可以免费停车，院墙是古色古香的庭院风格。早餐虽然品种不如大酒店多，但是干净可口，牛奶是鲜奶而不是用奶粉冲调的，粥熬得也是稠稠的，因此非常对得起15元的价格。而且服务员看到我刚上小学的孩子后十分贴心地说，您只带了一个孩子，早餐费就免了吧。真是挺人性化的！下次去苏州还会选择它！', 'star': 5}
{'descr': '来了两次了，挺好的。干净，整洁，地理位置也好。出门5分钟步行到达观前街。我们是来拍婚纱照的。不错。', 'star': 5}
{'descr': '很舒服，安静，推荐性价比也很高,干净，好评', 'star': 3}
{'descr': '\n住的特價房，還可以！', 'star': 3}
{'descr': '房间床挺干净就是烟味很重', 'star': 3}
{'descr': '环境不错，停车也方便，就是离观前街需要走十分钟的路程', 'star': 5}
{'descr': '这家酒店很不错，距离市中心很近，环境非常好', 'star': 5}
{'descr': '房间干净，服务态度不错，本来房间很小要求换了一间前台的效率和态度都不错，整体性价比蛮高的', 'star': 5}
{'descr': '很不错的酒店，还借我冰箱用呢，比较干净，离观前街也很近，下次还会去的。', 'star': 5}
{'descr': '服务态度非常好 汉庭本来就是因为信任才订下的 所以没有什么不满意的 就是顺便提醒一下后来的人 门口不太好打车 出门不如坐车 挺好的 另外洗衣服的话 前台是有衣架和熨斗的 但是一定要早点儿去借。。。 我每天晚上过去借 就从来就没借到过。。。 都是被人借走了。。。。', 'star': 5}
{'descr': '酒店不错，服务很好，很干净。就是打车比较不方便', 'star': 5}
{'descr': '酒店新装修，卫生还不错，比较安静，遗憾的是附近没什么吃饭的地方和大型超市等，不太方便', 'star': 5}
{'descr': '地方很安静，房间很干净就是边上没有的的地方', 'star': 5}
{'descr': '酒店是很不错的,价格也很适合.就是苏州的汉庭太多了,不是很好辨认.', 'star': 5}
{'descr': '很干净', 'star': 3}
{'descr': '不错，停车很方便', 'star': 3}
{'descr': '新酒店，卫生很好，很干净。\n环境幽静，安静没噪音。不管是室内室外都很安静。\n吃饭不是很方便，附近没有特色的饭点。', 'star': 5}
{'descr': '环境很好，不管店内还是店外，非常安静。价格没有合适不合适，因为我们是公共假期去的，原价房。打车稍微不方便，要走一段路才能坐公交车或者是打车。', 'star': 5}
{'descr': '不错的酒店', 'star': 3}
{'descr': '还好吧，挺安静的，也挺干净.就是不坐出租的话有点不好找，幸好高铁出站口有个汉庭的询问点，可以问问公交什么的\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '还好吧，挺安静的，也挺干净.就是不坐出租的话有点不好找，幸好高铁出站口有个汉庭的询问点，可以问问公交什么的', 'star': 5}
{'descr': '酒店价格蛮经济，设施也不错 是新装修的。很安静，以后会选择 汉庭。\n酒店价格蛮经济，设施也不错 是新装修的。很安静，以后会选择 汉庭\n酒店价格蛮经济，设施也不错 是新装修的。很安静，以后会选择 汉庭', 'star': 5}
{'descr': '房间比较新，新酒店，比较安静，有个中等大小的停车场，开车去的，停车很方便，就是苏州汉庭实在是太多了，真的不容易找，特别是我们这样开车去的，呵呵，再出来，不敢开车，步行大约20分钟能到观前街，还算是方便~', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '房间很干净，卫生间设计的很合理，住起来很放心，而且离苏州的拙政园也不远，步行十分钟就可以到苏州的步行街-观前街，虽然在市区，但是很安静，挺好的，再去的话还会选择这里', 'star': 5}
{'descr': '1、位置很好，周边的交通站台或者旅游景点都很方便；\n2、房间很干净；\n3、服务周到，还提供定汽车火车票等服务。\n服务态度很好，表扬一下8月14日晚上值夜半帮定火车票的小伙子', 'star': 5}
{'descr': '环境不错，位置很好，靠观前很近，交通不是很便利，有车就没问题', 'star': 5}
{'descr': '从苏州火车站打车到这里只要起步价10元，如果公交车可以坐游1到儿童医院，然后步行一站路左右，游1是两元。汉庭口碑一直是不错，这次来，果然名不虚传。周日，周一都是特价，128元一间双床房，很不错，很干净，出门很方便，附近就是景德路婚纱照一条街和观前街。服务不错，工作人员挺热情，就是指路水平需要再提高，让客人走冤枉路就不好了。干净，快捷，便利，安静，安全，服务周到，总体来说，我和老公都很喜欢这里，下次', 'star': 5}
{'descr': '出游这么多次，汉庭观前三店给我的感觉就是：舒服\n客房干净，服务很快捷耐心，大厅很贴心，还有免费的咖啡，奶茶提供。价格便宜实惠。环境幽静，距离步行街步行不用十分钟，附近有超市，自驾有停车场。\n好，很好，很满意', 'star': 5}
{'descr': '比较新，环境不错，电视能增加一些频道就更好了。', 'star': 5}
{'descr': '地理位置很好，对于不大的苏州，走走哪里都不会太远。比较干净，只是有点隔音不好，其余都算不错的。对于游客，相对于汉庭的其他店，我首推这里', 'star': 5}
{'descr': '适合情侣= = ~空间有点小 其它都挺好的。。。', 'star': 5}
{'descr': '房间较小，比较干净隔音也好，就是不管订票之类的，前台给个订票电话，每张票要加30，有点黑。', 'star': 5}
{'descr': '很好啊！干净，位置也挺好，指示牌明显，一下就找到了！', 'star': 3}
{'descr': '这是我此次出行住过的四家里最好的价格最便宜，设施最好，服务最周到，环境最清净的酒店。强烈推荐！', 'star': 5}
{'descr': '基本还行，但房间显得有点拥挤，优点是比较安静。', 'star': 5}
{'descr': '感觉还好.\n不过好像服务员是不是有换新来的,\n房间东西总是漏放...\n', 'star': 5}
{'descr': '位置还可以,到观前步行可至. \n其它都还好,就是梳子让人无语,\n太软了都梳不成头,建议汉庭别在这里结省了...', 'star': 5}
{'descr': '酒店环境很安静，房间干净清洁，服务热心周到，最近周日、周一的价格也蛮便宜的', 'star': 5}
{'descr': '非常干净，老婆很满意。', 'star': 3}
{'descr': '新房子，且离观前街挺近的，房小了点，但很舒服，什么都是新的，力荐', 'star': 5}
{'descr': '闹中取静,干净方便,不错的~', 'star': 3}
{'descr': '环境很好，干净，地理位置也不错。。。值得推荐', 'star': 5}
{'descr': '为朋友订的，看了下，不错，挺大的，住着很舒服，也很安静', 'star': 5}
{'descr': '停车很方便，有很大一块停车场，新开的，感觉也很干净', 'star': 5}
{'descr': '相当满意，离市中心不行不到10分钟，庭院式也很安静，还有免费的咖啡和巧克力喝，房间不错，淋浴设施很喜欢\n强烈要求装电梯呀', 'star': 5}
{'descr': '环境不错，房间蛮舒服的，就是有点装修味道\n', 'star': 5}
{'descr': '很不错，干净、卫生、服务周到，让我对汉庭有了全新的认识，真的很棒！', 'star': 5}
{'descr': '房间挺好，很安静。', 'star': 3}
