{'短评内容': '感觉不咋地 和图片有出入 洗漱的地方真的脏 不想来第二次 感觉被骗了去那个破房间', '短评打分': 2}
{'短评内容': '利济路hulk吉里吉里', '短评打分': 5}
{'短评内容': '不喜欢 有异味', '短评打分': 1}
{'短评内容': '服务热心，但是连续订了两晚，中途没有打扫卫生，床对到一面镜子，这个设计不好，不过还是比较安静，玻璃隔音效果好，我住的房间马桶没有水，不方便。', '短评打分': 3}
{'短评内容': '还算可以吧', '短评打分': 4}
{'短评内容': '帮朋友定的 位置好 房间干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '周边环境好，房间卫生设施条件较差，下半夜还有人撬门，小心点哦', '短评打分': 4}
{'短评内容': '设施陈旧，条件将就，服务不行，本来我们预订三个房间里入住三晚，实际也按预订行程入住了三晚，可是携程与他核定入住时间时，居然说我们只住了两晚，这样积分和返利都 少了，虽然后来我找携程多次反应，最终补上了返利和积分，但是酒店这样不负责任的行为实在令人失望，多次和他们何时情况都不积极', '短评打分': 4}
{'短评内容': '酒店总体来说不错，但是设备有点老旧，服务态度不是很好', '短评打分': 4}
{'短评内容': '酒店地段不错，只是房间稍微有点小', '短评打分': 5}
{'短评内容': '一般般。', '短评打分': 3}
{'短评内容': ' 酒店设施设备还需改进，维护保养力度不够，空调都是坏的，公区卫生太差。', '短评打分': 3}
{'短评内容': '条件有点差，看起来有点脏，设施很旧了，不过用热水还是挺方便的！', '短评打分': 1}
{'短评内容': '服务态度好，环境还可以，提供宽带，非常满意。', '短评打分': 5}
{'短评内容': '住了一晚，感觉交通便利， 服务态度好！这个价格也差不多了，不能强求！只是总台说的房间电话外面打不进来，不知怎么回事。', '短评打分': 5}
{'短评内容': '  四海缘酒店一般  外部环境有待改善', '短评打分': 3}
{'短评内容': '黑店，本来住的时候说好的返现金的，最后住了4天，只给我返了一天的，打电话资讯说是我自己改了离店日期，真服了。旁边比这价位低的多的是，手写发票好像也不正常，建议不要去为妙。', '短评打分': 1}
{'短评内容': '一般般，主要是离办事的地方近。酒店的招牌太不醒目了，在门口都没有发现', '短评打分': 5}
{'短评内容': '设施设备旧，非常一般，只不过价格较低哈。', '短评打分': 1}
{'短评内容': '地理位置还不错，我们都住到第二天中午1点过才走的，安逸，哈哈哈', '短评打分': 5}
{'短评内容': '房间太小，位置不错，比较容易找，房间设施有点旧了。性价比还是高的。', '短评打分': 1}
{'短评内容': '卫生太不合格了，洗脸槽、马桶、水杯、厕所门，这些东西都感觉脏脏的。而且连烧开水的设备都没有！枕头也不太舒服，不柔软！靠近马路那边的房间窗子没有隔音效果，晚上会觉得车子的声音比较吵。', '短评打分': 1}
{'短评内容': '主要和我考公务员的地方很近，步行即到，方便还是挺方便，就是觉得酒店不怎么干净，被子有股味道，别的倒还没啥。。。。。枕头睡着不舒服，落枕了。', '短评打分': 1}
{'短评内容': '不错，周围小吃多，价格划算，只是淋浴再马桶上，不能我坐在马桶上洗澡吧！！', '短评打分': 5}
{'短评内容': '很安逸，环境有点陈旧，不过价位底，也只能这样了。', '短评打分': 3}
{'短评内容': '还不错，帮姐姐订的，不是自己去住的  她去的 主要是打算走茶店子去九寨沟 所以那边比较方便一点的', '短评打分': 5}
{'短评内容': '店面看着不大也不好，但是房间还是不错的，很干净，热水什么的也很方便，设施比较齐全，服务态度也好', '短评打分': 5}
{'短评内容': '干净， 舒适，  交通便利，  服务态度好！~~~~~~~ ', '短评打分': 5}
{'短评内容': '前台服务态度不怎么样，环境一般，设备较旧。', '短评打分': 3}
{'短评内容': '设施陈旧，言过其实之处，以态度和蔼抵。建议其价格应降', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '酒店还不错  服务态度很好', '短评打分': 3}
{'短评内容': '整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮整洁 宽敞 明亮', '短评打分': 5}
{'短评内容': '条件一般，实施有点旧，电脑无法上网，建议要省钱的可以住！', '短评打分': 1}
{'短评内容': '住宿条件太差.环境也不好  洗澡的淋浴喷头都是坏的 厕所居然就是，，，，哎  不想说。差差差', '短评打分': 1}
{'短评内容': '太老太旧了，感觉卫生不怎么样，毕竟价格是这样嘛，所以还是建议选贵一点的好', '短评打分': 1}
{'短评内容': '房间里放支笔和纸就好了', '短评打分': 3}
{'短评内容': '没想象的好，一开始一个人还有点怕，很简陋！', '短评打分': 3}
{'短评内容': '房间内设施不错，床也很舒服。不过淋浴装的位置不太合理，不太方便，洗脸池有些漏水。', '短评打分': 3}
{'短评内容': '条件一般比较安静前台服务态度较好', '短评打分': 3}
