{'短评内容': '离海近，环境一般，卫生一般。房间太小。', '短评打分': 4}
{'短评内容': '产品不错，房间户型非常满意！', '短评打分': 5}
{'短评内容': '产品不错，房间户型非常满意！', '短评打分': 5}
{'短评内容': '老板娘很好', '短评打分': 4}
{'短评内容': '老板娘人很好，位置离沙滩也很近，两分钟就到了。晚上周围驻唱到11点就收了，环境不错。', '短评打分': 5}
{'短评内容': '蚊子太多了', '短评打分': 4}
{'短评内容': '一般 不过离海真的很近 看不到海', '短评打分': 4}
{'短评内容': '必须五星', '短评打分': 4}
{'短评内容': '老板热情大方', '短评打分': 5}
{'短评内容': '陪女友看海，不错哦，是个放松心情的好地方，nice！', '短评打分': 5}
{'短评内容': '老板挺热情的，这个价位还能看到海景…很不错了，', '短评打分': 5}
{'短评内容': '很文艺范，离海边很近，就是房间有点小', '短评打分': 4}
{'短评内容': '环境很好，老板娘态度极好，下次还会去', '短评打分': 5}
{'短评内容': '和朋友一起来到这儿，过程很波折，但老板娘菲菲姐很贴心很热情，尽全力帮忙解决问题。房间布置温馨可爱，可以看到海景，外面小阳台晚上小资一回很惬意呀！', '短评打分': 3}
{'短评内容': '很棒哦，下次继续去！', '短评打分': 5}
{'短评内容': '生意興隆', '短评打分': 5}
{'短评内容': '木屋隔音差，整洁度还行。', '短评打分': 3}
