{'短评内容': '度蜜月佳选', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '帮朋友预订的，他说酒店还不错，卫生打扫的很干净，环境也很好，工作人员的态度也很好，下次有机会的话，还会再来住的！', '短评打分': 5}
{'短评内容': '挺好的！挺舒服！干净，安静！下次来还要住！', '短评打分': 5}
{'短评内容': '住的房间很干净，也很安静，很舒适温馨。环境特别好，客栈的老板特别热情，有种回家的感觉，反正就是很完美！', '短评打分': 5}
{'短评内容': '一码归一码啊。卫生一般 床单有头发和污渍 要求换了 态度很好。酒店服务贴心，员工老板态度超好。台盆下水是堵的，等了一会儿来人维修。还有谁说很安静的，咱出来练练好嘛？深夜评价。', '短评打分': 5}
{'短评内容': '老板娘人非常好，很热情，我想我要是提前打电话的话都有可能接我', '短评打分': 5}
{'短评内容': '房间干净 环境不错 老板很热情 下次还会住她家 祝老板生意兴隆 还要感谢一下 因为走的早落下东西了 老板还特意打电话来 还帮我寄回家 很感谢', '短评打分': 5}
{'短评内容': '酒店环境好，床很舒适，很有民族特色，反正就是很好！', '短评打分': 5}
{'短评内容': '环境好，服务态度也很好，住着舒适', '短评打分': 5}
{'短评内容': '环境好，服务态度也好，住着舒适', '短评打分': 5}
{'短评内容': '和男朋友来丽江 很喜欢的一家店 店家人好离主街也近', '短评打分': 5}
{'短评内容': '和家人一起去的很舒适很不错的一家店', '短评打分': 5}
