{'descr': '卫生干净 酒店有点旧', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '太吵', 'star': 3}
{'descr': '酒店很不干净，还有虫子咬！', 'star': 1}
{'descr': '隔音不好', 'star': 5}
{'descr': '不能更差，各方面都不行，我一定是住了假的美华酒店。', 'star': 2}
{'descr': '好评，停车方便。', 'star': 5}
{'descr': '不能住第二次', 'star': 2}
{'descr': '一般，太旧', 'star': 5}
{'descr': '食物价太高', 'star': 1}
{'descr': '好', 'star': 5}
{'descr': '服务非常好，服务员很暖心', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还可以的酒店，就是配套的设施旧了点，服务态度还是可以的', 'star': 5}
{'descr': '交通方便设施好干净', 'star': 5}
{'descr': '交通方便设施好干净', 'star': 5}
{'descr': '环境好干净整洁，朋友出差住，每次都在这里住，交通出行方便，服务态度不错，以后出差还会继续定这里的房间。', 'star': 5}
{'descr': '环境好干净整洁，朋友出差住，每次都在这里住，交通出行方便，服务态度不错，以后出差还会继续定这里的房间。', 'star': 5}
{'descr': '环境好干净整洁，朋友出差住，每次都在这里住，交通出行方便，服务态度不错，以后出差还会继续定这里的房间。', 'star': 5}
{'descr': '图片和实物差太远了，太失望了，不会再去了', 'star': 3}
{'descr': '距离办事地点近，交通一般，周围吃的地方比较少。但是属于内蒙的特点了。', 'star': 5}
{'descr': '入住很多次了，挺满意的', 'star': 5}
{'descr': '很不错，周围最好的了', 'star': 5}
{'descr': '挺好的，之前去过其他的店，感觉也不错', 'star': 5}
{'descr': '酒店安静、干净，早餐不是很丰盛但可口。不错！', 'star': 5}
{'descr': '酒店很新，硬件还不错。大床房可以，双床俩人住就略小了。服务水平很一般。早餐不灵，种类少，味道也不行。周边环境还可以，附近饭馆小商店也有一些。紧邻东二环，离机场不远，G6呼和浩特东出/入口修好以后，上高速也比较方便。总体70分吧。', 'star': 1}
{'descr': '环境不错，就是地方比较偏远一些。周围的服务设施太少，想买东西和吃饭都要去万达广场。房间的设施和布置都挺好的，房门的隔音不是很好，晚上楼道里很吵。', 'star': 5}
{'descr': '酒店不算大，但是还算干净！早点有点少，木有牛奶，但是味道还行的。', 'star': 5}
{'descr': '房间小了点，隔音不是很好，其他都还不错！', 'star': 3}
