{'descr': '特别好', 'star': 5}
{'descr': '酒店离上海南站、长途客运站很近，坐地铁也很方便，走路10分钟就到地铁站，但房间很小，设施设备一般，隔音效果很差。性价比还行。', 'star': 4}
{'descr': '设备比较陈旧了墙上的漆希望可以重新油刷一遍，价格相对上海市来说比较便宜。', 'star': 3}
{'descr': '房间的设备陈旧墙上的漆都脱落了。但价格相对来说的确便宜。', 'star': 3}
{'descr': '环境总体来说还是不错的，对得起这个价格，推荐', 'star': 3}
{'descr': '都不错，就是洗澡间有点脏', 'star': 3}
{'descr': '推荐推荐推荐！前台服务人员很热心！帮忙顺利的解决了问题！', 'star': 3}
{'descr': '总体还不错，就是没有纱窗，蚊子多，还有就是没有多余的被子供顾客多选。', 'star': 5}
{'descr': '环境好，离车站很近，服务也好，干净。下次还选择这家', 'star': 5}
{'descr': '一般般', 'star': 3}
{'descr': '地理位置好，周围吃的也多。', 'star': 5}
{'descr': '地理位置好，周围吃的也多。', 'star': 5}
{'descr': ' 酒店果然很陈旧，虽然是带窗户的大床房。真的很失望，要不是接人，才不会住这里。。下次还是花多点钱去其他地方吧。。。', 'star': 3}
{'descr': '这个酒店极其受不了！贪图它靠近火车南站，价格又只有158元，所以就预订了。结果发现问题极多！\n首先，酒店旁边有一家卤鸭餐馆，负责给酒店客人送饭送夜宵，结果酒店的电梯里一股卤鸭味儿！\n其次，酒店走廊错综复杂，标识不清，要绕很久才能找到自己的房间。\n第三，房间装修太差，冬天12月入住，单词里居然没热水！！！\n最后，房间之间的墙像是纸做的，我隔壁住三个女人，可能是很久没见面了，聊天聊到凌晨1、2点，而且', 'star': 1}
{'descr': '酒店性价比还可以，离南站比较近，交通比较方便，地铁1号线3号线走路5分钟即可到达', 'star': 5}
{'descr': '质次价高，电梯—股怪味，千万别去，就是一小旅馆水平。', 'star': 1}
{'descr': '就是上海南站和地铁站很近\n交通方便很多，但是环境还可以吧，旧了点', 'star': 5}
{'descr': '住的是特价无窗房，258室，房间有些闷，天花板滴水，网速几乎为零。', 'star': 3}
{'descr': '这家酒店还是不要去了吧\n不是一般的不好\n很心酸啊。。。', 'star': 1}
{'descr': '干净实惠，到上海南站和地铁站很近，交通方便', 'star': 5}
{'descr': '比较经济，房间很一般,有合适的房间下次还会住', 'star': 5}
{'descr': '紧靠南站，交通便利。房间干净舒适。', 'star': 3}
{'descr': '给朋友订的酒店，事先就有担心会不会出现其它朋友订房时碰到的一些问题，谁知尽然还是出了问题，朋友到了酒店，入住不了，原因是酒店把预留的房已给了其它客人住，这还是用信用卡担保的，一点信用都没有。', 'star': 1}
{'descr': '很干净,前台服务态度也不错很热情,很满意\n', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '这次是为父母订的房间，火车晚点了，给宾馆打了电话，他们也相应的延长了登记时间，很感谢。我父母是第一次来上海，但这边住地铁交通很方便，房间据父母说也挺干净的。价格在上海来说性价比较高。但是有一点，当我想打电话到宾馆房间跟父母通话时，白天还好，前台给我转进去了。但晚上就转不进去，可能是晚上值班的人不会转。打了几个都通不了。', 'star': 5}
{'descr': '简陋的，不适合情侣住，但是地理位置还可以。靠近闹区，南京路这儿。方便参观，可以预定其他分店，感觉比这个好。', 'star': 5}
{'descr': '这家酒店离上海南站非常近，地理位置优越。但室内设施略显陈旧，性价比不高。', 'star': 3}
{'descr': '服务还不错，但是硬件设施一般', 'star': 3}
{'descr': '离南站很近。', 'star': 3}
{'descr': '地段靠南站', 'star': 3}
{'descr': '酒店很简陋，就是离南站近一些，另外门口的久久鸭不错，不值得推荐。', 'star': 1}
{'descr': '还可以，比较干净，遗憾的是没有窗户。设施也比较齐全，有电视，空调，热水。', 'star': 5}
{'descr': '还可以，比较干净，遗憾的是没有窗户。设施也比较齐全，有电视，空调，热水。', 'star': 5}
{'descr': '离南站很近的酒店，老酒店。不过因为方便以后还会选择这家酒店。', 'star': 5}
{'descr': '离南站很近的酒店，老酒店。不过因为方便以后还会选择这家酒店。', 'star': 5}
{'descr': '位置不错，有点旧。', 'star': 3}
{'descr': '位置不错，有点旧。', 'star': 3}
{'descr': '设备有点旧的，其他还可以吧', 'star': 3}
{'descr': '设备有点旧的，其他还可以吧', 'star': 3}
{'descr': '预订时只是想离火车南站近点，出行方便。住了以后很惊喜，比想象得好多了', 'star': 1}
{'descr': '预订时只是想离火车南站近点，出行方便。住了以后很惊喜，比想象得好多了', 'star': 1}
{'descr': '酒店环境一般，家具有点老，服务比较热情，但是感觉不够专业，这个价位还算不错了', 'star': 5}
{'descr': '酒店环境一般，家具有点老，服务比较热情，但是感觉不够专业，这个价位还算不错了', 'star': 5}
{'descr': '酒店环境一般，服务态度较好', 'star': 3}
{'descr': '酒店环境一般，服务态度较好', 'star': 3}
{'descr': '交通虽然方便，但是房间很小，比招待所也差不了多少，而且卫生情况不理想，初进房间臭气熏天差点没吐出来', 'star': 1}
{'descr': '交通虽然方便，但是房间很小，比招待所也差不了多少，而且卫生情况不理想，初进房间臭气熏天差点没吐出来', 'star': 1}
{'descr': '结账离开时不能开发票，理由是发票打印机坏了，以后邮过来。我不知道这样的理由你们是否认为充分，只不过我走了很多地方还没有见过是这样的', 'star': 1}
{'descr': '结账离开时不能开发票，理由是发票打印机坏了，以后邮过来。我不知道这样的理由你们是否认为充分，只不过我走了很多地方还没有见过是这样的', 'star': 1}
{'descr': '服务态度不好，收钱后就爱答不理的了，酒店内部很乱，不会再到任何一家星月宾馆了！', 'star': 1}
{'descr': '服务态度不好，收钱后就爱答不理的了，酒店内部很乱，不会再到任何一家星月宾馆了！', 'star': 1}
{'descr': '位置还行。房间环境勉强能接受，厕所不太好使', 'star': 5}
{'descr': '位置还行。房间环境勉强能接受，厕所不太好使', 'star': 5}
{'descr': '住的是108一晚的，房间比较陈旧，所以卫生看起来很差，交通很方便，离机场七号线和南站很近。', 'star': 1}
{'descr': '住的是108一晚的，房间比较陈旧，所以卫生看起来很差，交通很方便，离机场七号线和南站很近。', 'star': 1}
{'descr': '设施挺齐全的，服务挺周到，总体感觉还不错。', 'star': 5}
{'descr': '设施挺齐全的，服务挺周到，总体感觉还不错。', 'star': 5}
{'descr': '地理位置挺好，设施挺齐全，服务态度也挺热情的。', 'star': 5}
{'descr': '环境挺好，整洁干净，价格挺便宜，住的挺划算。', 'star': 3}
{'descr': '地理位置挺好，设施挺齐全，服务态度也挺热情的。', 'star': 5}
{'descr': '环境挺好，整洁干净，价格挺便宜，住的挺划算。', 'star': 3}
{'descr': '干净卫生，价格挺便宜，离火车站也挺近，出行挺方便。', 'star': 5}
{'descr': '干净卫生，价格挺便宜，离火车站也挺近，出行挺方便。', 'star': 5}
{'descr': '位置挺好，离地铁站挺近，出行挺方便，价格也挺便宜的。', 'star': 5}
{'descr': '位置挺好，离地铁站挺近，出行挺方便，价格也挺便宜的。', 'star': 5}
{'descr': '附近交通还是很便利的，外出办公，逛街购物都是很方便的，非常适合游客', 'star': 3}
{'descr': '附近交通还是很便利的，外出办公，逛街购物都是很方便的，非常适合游客', 'star': 3}
{'descr': '房间装修的比较简单，卫生打扫的挺干净的，服务人员办事效率挺快。', 'star': 3}
{'descr': '房间装修的比较简单，卫生打扫的挺干净的，服务人员办事效率挺快。', 'star': 3}
{'descr': '房间还好，基本设施都有，有宽带能上网，感觉挺方便的。', 'star': 3}
{'descr': '房间还好，基本设施都有，有宽带能上网，感觉挺方便的。', 'star': 3}
{'descr': '房间收拾的挺利索，24小时能提供热水，感觉挺方便的。', 'star': 5}
{'descr': '房间收拾的挺利索，24小时能提供热水，感觉挺方便的。', 'star': 5}
{'descr': '卫生条件不错，房间收拾的挺干净，能提供早餐，感觉挺方便的。', 'star': 3}
{'descr': '卫生条件不错，房间收拾的挺干净，能提供早餐，感觉挺方便的。', 'star': 3}
