{'短评内容': '设施比较旧，蚊子超级多.电视用不了.卫生还可以吧', '短评打分': 4}
{'短评内容': '电视没台，设施较老', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店应该是在工业区，周围人很少，设施啥的也基本没有。房间很大，有个阳台，但是房间里设施少，感觉很空', '短评打分': 3}
{'短评内容': '酒店在一个科技园里，比较安静，去景区的话需要过桥。设施服务一般。', '短评打分': 3}
{'短评内容': '环境挺好的，我们同行三个人，正好三张床，很巧很爽', '短评打分': 5}
{'短评内容': '虽有些简陋，值这样的价格。', '短评打分': 5}
{'短评内容': '住好几次了，在园区内，酒店房间够大，周边环境可以，挺安静的，还有个大阳台，就是吃饭的地方有点远！！！', '短评打分': 5}
{'短评内容': '这家旅馆服务太差了，我跟同学来考试定了三人间，定的时候明明写着在二楼，结果先把我们分到了一楼最后一间说是没空房了（其实有还超多空房），窗户是坏的锁不上， 在我们强烈要求下换了一间。    但是 房间一股霉味，被子都是潮的。最不能让人忍受的是隔音效果太差了，楼上和隔壁在干什么你都能听到，凌晨都有人在吵。评价了这么多，我就是想提醒一下来附近考试的同学要慎重选这家，因为我一整夜都没睡着，嗅着酸酸的霉味，', '短评打分': 2}
{'短评内容': '住过好几次了，房间挺大的，有个大阳台，在园区内，也很安静，就是床睡得有点不太舒服，其他都可以！好评！', '短评打分': 5}
{'短评内容': '还行，没有另一家好！', '短评打分': 4}
{'短评内容': '简陋了些，周边也冷清，如果可以，还是选择更好的吧。', '短评打分': 3}
{'短评内容': '水壶太旧了！', '短评打分': 4}
{'短评内容': '很不错，房间大而且干净，有阳台，衣柜什么的...', '短评打分': 5}
{'短评内容': '水壶太旧了！', '短评打分': 4}
{'短评内容': '还可以，就是停车券可以在增加几张', '短评打分': 4}
