{'短评内容': '还行！主要出行比较方便！', '短评打分': 4}
{'短评内容': '觉得房间一般吧，设施陈旧，感觉不是很干净，下次不会再住了，可能快捷酒店更好一点', '短评打分': 4}
{'短评内容': '举家自驾游的好酒店，停车场很大，免费停车。环境很好，到景点也很近，房间很卫生，卫生间很大。这价位值。', '短评打分': 5}
{'短评内容': '设施陈旧，工作需要定在这里，周边倒是很热闹，很多饭店小吃店。', '短评打分': 4}
{'短评内容': '周围早点，小饭店很多。离城墙，明故宫不远。', '短评打分': 5}
{'短评内容': '还可以吧，挺便宜的。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店周围环境很安静，有一个很大的停车场，对于自驾游很方便。到南京博物院步行就可以到，到夫子庙打车十元左右可以到。就是酒店设施有点旧，卫生间和卧室一样大，可能是原来两间房子改的，服务人员态度很好，整体还是不错的。', '短评打分': 4}
{'短评内容': '部队招待所，价格贵还没早餐，不过要保质量一般，出去吃也挺好', '短评打分': 4}
{'短评内容': '装修陈旧，条件差，隔音效果差，唯好处是仃车方便，', '短评打分': 2}
{'短评内容': '环境还不错，网络很快，就是一楼有点吵', '短评打分': 5}
{'短评内容': '停车方便，卫生间大，安静，交通方便', '短评打分': 5}
{'短评内容': '感觉像在军事大院里 到了半夜还锁大门。。还得麻烦大爷开门', '短评打分': 3}
{'短评内容': '位置不错、安全、就是这价还不提供早餐、不过出门有很多小吃店、交通也很方便、房间大、卫生间很大、干净。。', '短评打分': 4}
{'短评内容': '服务态度热情，设施还可以，有电视无线网络，周边交通便捷。', '短评打分': 3}
{'短评内容': '前台小姐的服务差 说话不礼貌 房间里还有蚊子 不会再入住第二次 ', '短评打分': 1}
{'短评内容': '不错，环境很好。。。非常安静，以后还会选择', '短评打分': 5}
