{'短评内容': '经济实惠，县中心，各种方便。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '住了1天，发现床套是破的，第二天换了，另告之灯需要维修，结果住完五天还没换灯，大的淋浴头是坏的，该维修了，其他不错', '短评打分': 4}
{'短评内容': '酒店环境不错，设施很好用，免费升级的大窗房', '短评打分': 5}
{'短评内容': '相当不怎么样！158都没有在外面的100的', '短评打分': 2}
{'短评内容': '房间干净整洁，交通便利。', '短评打分': 5}
{'短评内容': '不错 挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，位置很好！', '短评打分': 5}
{'短评内容': '每次都住这个酒店，酒店大气的不要不要的，房间很大，价格便宜，床很大很舒服，再同等酒店里全是很不错的了，离火车站汽车站都很近，方便的很', '短评打分': 5}
{'短评内容': '总体不错 网络还可以。现在住酒店主要看网络了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格适中，条件还行，不错', '短评打分': 3}
{'短评内容': '还行吧，早餐一般，这个价位不便宜', '短评打分': 4}
{'短评内容': '携程上的比现场的贵！', '短评打分': 5}
