{'descr': '什么样的钱住什么样的房子，外滩附近有这样的算不错了', 'star': 3}
{'descr': '房间条件到可以算是物有所值。但提前一周预定，结果到了却被告知“幸好还剩一间房间”，且到晚上需要上网才被告知“此房间网线坏了”。当提出不满后，值班人员态度很好（虽然无法提出具体解决方案，但态度很好），只可惜老板态度极差，浪费了优秀的服务员。', 'star': 1}
{'descr': '此酒店真的不是一般的差！！！', 'star': 3}
{'descr': '住了还可以。就是找的时候转了半天！', 'star': 3}
{'descr': '房蛮小。床单还有头发。不知道是不是没换。下回不会来了。', 'star': 3}
{'descr': '地理位置好，去南京路，外滩很方便。空调不好使，不制热，窗子卡口不好关，该换了。', 'star': 5}
{'descr': '房间很小，卫生间是后用玻璃间隔开的，感觉不是很好。住第二天时，前一天房间基本是没给收拾，最不可忍的是连前一天的毛巾都不给换，没办法住了，换了个其他的酒店。', 'star': 1}
{'descr': '酒店位置很好，虽然门脸和电梯较小，但这个价位、这样的房间在外滩附近还算可以啦', 'star': 3}
{'descr': '地段和价格还是非常好的，还算干静，其他不做评价。', 'star': 3}
{'descr': '我是这家旅店的老客户了，旅店洁净，就在南京路步行街附近，住、食、玩都非常方便，只是过去住的都是160元，今天的价格是178元，感觉贵了许多。', 'star': 3}
{'descr': '﹢环境很好很舒适', 'star': 3}
{'descr': '工作效率低、房间小、隔音差，服务员的态度恶劣，我定的138的房到后却说他们从来没有138的，只有住178的，第二天却在大门墙上发现138的房间广告，太没有商业道德，把138的房拿来钓鱼。上钩后任他宰。再也去住了。', 'star': 1}
{'descr': '整体还不错，因为离地铁站很近到哪都挺方便，不过离外滩没想象中那么近。隔音效果不是很好，晚上被走廊上的声音吵到了。。', 'star': 5}
{'descr': 'j交通挺方便的，卫生也挺好的。下次还会去的', 'star': 5}
{'descr': '位置比较好，交通便利，但是房间有点小，隔音效果差一点。', 'star': 5}
{'descr': '工作效率低、房间小、隔音差，不过交通方便，离外滩、南京路很近。', 'star': 1}
{'descr': 'gaga', 'star': 3}
{'descr': '一般，唯一一个好的就是离外滩近，房间很小，窗户更小，（我选的是最便宜的房间）隔音是真的非常差，呵呵，最可怕的居然在房间门口发现一只很多脚的虫(这可能是偶然，下雨天引起的也不奇怪)，怪吓人的，服务一般。我想我是不会再去这家了。', 'star': 1}
{'descr': '门面虽小，房间尚好！中评', 'star': 3}
{'descr': '空间小，网络差，建议：出门在外，可以通过网络来了解，加强网络！', 'star': 5}
{'descr': '这家酒店整体的感觉挺好的，离地铁，公交都很近，而且还靠近外滩和南京步行街', 'star': 5}
{'descr': '设施齐全，位置很好，紧邻南京路和外滩，东方明珠', 'star': 5}
{'descr': '前台女生超级热情~~很温暖~~~\n房间很大~~很舒服 可是最让我头痛的是完全没有网络~~~如果可以改善这个网络的设施~~~我以后还是回去住的~~', 'star': 5}
{'descr': '靠近南京路，交通便利。环境整洁。总的来说，这个价位的酒店算是不错的。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间很小，没有衣柜，隔音不好，而且不能上网（小妹是说上网速度奇慢和不能上一样的）笔记本白带了，而县包都不能寄，，，，', 'star': 1}
{'descr': '优点是：靠近南京路，交通便利。环境整洁。缺点是：窗户年久失修，都开不了。噪音比较大，不适合老年者居住。总的来说，这个价位的酒店算是不错的。', 'star': 5}
{'descr': '除了地段好，其他都不好。订了个有窗房，一点点小窗，回来一股油烟味，不如没有。下次不会再去了。', 'star': 1}
{'descr': '有点就是便宜啊!外滩这个价位到哪里找?\n缺点就是楼道上走路的声音太响亮,估计是地板的问题.\n还有卫生间的门不密封,水很容易流出来.', 'star': 5}
{'descr': '如家上海漕宝路店不错，热水很大，房间整洁，环境安静，还有房间内有旅游路线指引表感觉很贴心，服务态度也很满意！很好很好', 'star': 3}
{'descr': '环境一般，隔音效果太差晚上有噪音，前台服务太差，附近跟这个价位的酒店业不少', 'star': 5}
{'descr': '房间、位置、价格都不错', 'star': 3}
{'descr': '很满意 干净 方便 性价比高', 'star': 3}
{'descr': '态度不好！也没有寄存行里的！就是地理位置好！', 'star': 1}
{'descr': '柜台服务员的态度非常恶劣, 我住过很多酒店,第一次遇到这种恶劣的柜台服务员, 想必她想让他的老板没生意', 'star': 1}
{'descr': '很干净，离外滩和地铁，南京路都很近，价格也不贵，很满意。', 'star': 3}
{'descr': '酒店不大，但交通很方便，非常适合自主旅游居住', 'star': 5}
{'descr': '酒店接近外滩，价格很经济实惠，位置很好，距离外滩，南京路，地铁站都不远，出行方便，住宿环境不错', 'star': 5}
{'descr': '位置好，性价比高，房间打扫的干净整洁，住宿条件很不错', 'star': 5}
{'descr': '离外滩和南京路非常近 走几分钟就到了 有两个免费车位 也算不易了 住的条件一般 总之性价比不错 ', 'star': 3}
{'descr': '房间干净,热水足,很好.', 'star': 3}
