{'短评内容': '还可以，就是在地下室', '短评打分': 4}
{'短评内容': '环境还不错，设施齐全，清静', '短评打分': 5}
{'短评内容': '早餐没时间吃，酒店人很少，环境还可以，房间里有发霉的味道', '短评打分': 4}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '酒店看起来曾经辉煌过，现在很没落，设备很奢华，但是陈旧，停车的地方不错，位置偏，早餐品种不多', '短评打分': 4}
{'短评内容': '差，确实是差，把我安排到地下室去了，我只在北京见过有住地下室的，在老家这个地方也有，让我很吃惊，是携程问题还是酒店问题，还是我要求去住地下室的，那么晚让我换地方都没空。', '短评打分': 2}
{'短评内容': '还不错，适合在新区出差', '短评打分': 3}
{'短评内容': '环境不错，周围也安静，房间里有浴缸，早餐太挫了，宾馆里一股招待所餐饮的味', '短评打分': 3}
{'短评内容': '蚊子太多了，竟然没有蚊香', '短评打分': 3}
{'短评内容': '房间干净整洁，周围环境好！', '短评打分': 3}
{'短评内容': '环境优美  设施齐全 服务周到 适合出行旅游居住！', '短评打分': 3}
{'短评内容': '环境不错，清静，只是进口有点难找，不太明显', '短评打分': 5}
{'短评内容': '好呵呵呵呵呵呵呵呵呵呵呵呵好好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '吃住行条件一般，房间中竟然有蚊子', '短评打分': 4}
