{'短评内容': '位置不错，吃饭方便。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店位置非常好，离火车站不远，地铁站就在50米内，交通方便，但又不嘈杂，吃饭的地方也多，夜晚比较安静，房间宽厰，干净卫生，价格亲尽，我国庆节来昆后网上临时订的标间才138，还有早餐，很划算。', '短评打分': 5}
{'短评内容': '环境不错，很安静', '短评打分': 5}
{'短评内容': '还可以，同等价位里是个不错的选择，交通便利', '短评打分': 5}
{'短评内容': '房间干净，卫生可以，就是晚上有点吵。', '短评打分': 5}
{'短评内容': '#ud83c#udfe8位置交通便利，很好找，就在巷子口，卫生还可以，设施有点陈旧，插座就一个，充个电得到空调下面，总体上还行吧！', '短评打分': 4}
{'短评内容': '干净，方便。商务住宿不错', '短评打分': 4}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好，空调声音大了点。卫生还好，WiFi贼慢。总体来说，不错。', '短评打分': 4}
{'短评内容': '携程直接推荐的酒店，位置还算好找，但是从入住就开始出问题，开的第一个房间上楼后发现卫生还没打扫出来，就让我换一间，换了之后发现网络不行，派人看了之后还是不行，因为是中午，酒店答复说下午再修，下午我也有事就出去了。回来之后发现还是不行，问了维修的人说是酒店就这一间没网，顿时满脑黑线，然后要求酒店换房间，告知同类房没有了，因为工作需要网络，我提出换到有网的房间就行，哪怕房间差一些，酒店竟然还是不愿意，', '短评打分': 3}
{'短评内容': '第一间房间没有电视，不能上网 第二间房间洗手池下水管道断开 前台服务态度较差，不提供详细信息。 第二天9点全楼停电，被迫提前离开旅店。', '短评打分': 3}
{'短评内容': '디파짓을 300원이나 달래서 깜짝 놀랐으나 전반적으로 만족. 가격대비 좋음 영어안됨', '短评打分': 4}
{'短评内容': '很不错，服务也好，就是停车费要自给。', '短评打分': 5}
{'短评内容': '性价比很高！就是住的普通单间，没有空调。热天稍稍有点闷！还好是在昆明，也能够克服', '短评打分': 5}
