{'短评内容': '酒店本身很好，还有传真机呢，只是到外面打车不是很方便', '短评打分': 5}
{'短评内容': '环境好、干净、整洁。', '短评打分': 3}
{'短评内容': '还不错，据说是嘉兴市政府的定点酒店，设施和服务都较满意。', '短评打分': 5}
{'短评内容': '豪华套房很不错，早餐很丰盛，就是房间有点小味道，总体很满意。', '短评打分': 3}
{'短评内容': '酒店不错，值得推荐。', '短评打分': 3}
{'短评内容': '很不错的酒店，值得推荐。', '短评打分': 3}
{'短评内容': '还是不错的，政府专用接待酒店，性价比还不错', '短评打分': 5}
{'短评内容': '不错的酒店，位置挺好，服务也不错，价格适中。', '短评打分': 3}
{'短评内容': '房间比较大，环境也不错。每天都有红茶和茉莉花茶以及咖啡各两包，茶很好。', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会介绍其他朋友入住！如果费用能再优惠点就更好了！哈', '短评打分': 5}
{'短评内容': '在一楼中餐厅吃饭时，菜中发现一根头发，五星级酒店不应该发生这种情况。', '短评打分': 3}
{'短评内容': '舒适舒服，感觉不错。', '短评打分': 3}
{'短评内容': '嘉兴博雅酒店是公司国外商务客人的国际商务型酒店，各类设施服务比较完善，客人住的很满意。', '短评打分': 5}
{'短评内容': '酒店设施各方面还不错.唯有不足早餐有点差.', '短评打分': 3}
{'短评内容': '星级酒店 硬件设施都不错\n就是位置稍微偏了点 在新城区 周边配套设施不够完善\n期待两三年后能有所改善', '短评打分': 5}
{'短评内容': '前台服务态度不错，赞！客房服务越来越差啦，春节前后到现在，在这里住过很多次，感觉客房服务非常差！', '短评打分': 1}
{'短评内容': '博雅酒店在嘉兴算不错的，环境比较好，服务员的服务态度比较好，外国客人指定这家酒店了。', '短评打分': 5}
{'短评内容': ' 一般', '短评打分': 3}
{'短评内容': '嘉兴博雅酒店是一家不错的酒店， 性价比好，大厅很大吃东西不好。', '短评打分': 5}
{'短评内容': '不错的一家酒店， 性价比还是比较好的，值得推荐', '短评打分': 5}
{'短评内容': '硬件设施挺新的，停车也挺方便，服务很周到。下次还会选择这里', '短评打分': 5}
{'短评内容': '硬件设施都不错，也挺安静的，其他都好，就是稍微偏了点', '短评打分': 5}
{'短评内容': '被在一番善意到极致的解释和比较后，被无情地加了价！谢谢！\n', '短评打分': 1}
{'短评内容': '\n一直很喜欢这家酒店。无论是设施还是服务，都令我会再次光顾。', '短评打分': 3}
{'短评内容': '＋蛮干净的，就是房间灯光大小不能调节。', '短评打分': 3}
{'短评内容': '蛮干净的，就是房间灯光明暗不好调节。位置在新城区，附近消费设施不多。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错，房间宽敞', '短评打分': 5}
{'短评内容': '地方太偏', '短评打分': 1}
{'短评内容': '服务态度很好！', '短评打分': 5}
{'短评内容': '酒店条件还不错，就是位置有些偏，当时还好自驾车过去不然找酒店就要花费好长时间.硬件和卫生条件还可以..', '短评打分': 5}
{'短评内容': '酒店的环境还不错，我去嘉兴一般都会入住这家酒店，配置硬件都很不粗，位置出行交通方便，性价比也比较合理，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '下次不会再来，连晚饭也没地方吃！', '短评打分': 1}
{'短评内容': '酒店一楼中餐厅的菜烧得很不错，价格也不贵。', '短评打分': 3}
{'短评内容': '性价比不错，服务也很好。不足的是临街的房间隔音效果不够好。', '短评打分': 3}
{'短评内容': '总体还不错，就是房间的空调声音较大，不够暖和。', '短评打分': 5}
{'短评内容': '不错的价位/设施', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置不好交通很不方便,打车都打不到和网上说得很一样,不会推荐的这酒店的.', '短评打分': 3}
{'短评内容': '    设施服务都比较到位，位置离南湖也很方便，不错。', '短评打分': 5}
{'短评内容': '酒店设施相当不错,位置也很方便,早餐品种可以再丰富些', '短评打分': 3}
{'短评内容': '性价比很高,适合商旅', '短评打分': 5}
{'短评内容': '酒店整体来讲比较不错，各个方面都比较达标价格合理适中。不是特别舒适的酒店。在那附近好像没有更好的选择。还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '打车要等一个小时，打了两次都这样，受不了了', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;宾馆很新，住宿的性价比很高，但是管理实在不敢恭维。我交了3000押金，要退房的时候财务不在。结果等待了半个多小时，前台搜集了中餐、西餐、前台和她自己口袋的全部零碎，给了我100多张大小票。从来没有遇到过这样的事情，还是一个准五星的酒店，为什么会有这样的现象？&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;宾馆很新，住宿的性价比很高，但是管理实在不敢恭维。我交了3000押金，要退房的时候财务不在。结果等待了半个多小时，前台搜集了中餐、西餐、前台和她自己口袋的全部零碎，给了我100多张大小票。从来没有遇到过这样的事情，还是一个准五星的酒店，为什么会有这样的现象？&amp;lt;/P&amp;gt;', '短评打分': 3}
