{'短评内容': '这个价位这种环境还算可以', '短评打分': 4}
{'短评内容': '挺好的   环境也可以  就是房间小了点', '短评打分': 5}
{'短评内容': '较差，马桶不好使，没有吹风机，打扫不及时不全面，服务态度一般，电视机信号太差，床单也不太干净，这种价位这样的环境是真的较差，', '短评打分': 3}
{'短评内容': '每次去哈尔滨都住的地方 环境还行地点非常好', '短评打分': 5}
{'短评内容': '环境一般，设备陈旧，但住着还是可以的', '短评打分': 4}
{'短评内容': '环境一般，隔音比较差，有点冷', '短评打分': 3}
{'短评内容': '很好的可以去住。。。。。', '短评打分': 3}
{'短评内容': '环境太差，地面湿漉漉的，实在无语', '短评打分': 4}
{'短评内容': '还没有住呢，感觉不行太喽了！', '短评打分': 3}
{'短评内容': '环境不错但是房间格局不好··装修太老··没有稳定的热水', '短评打分': 1}
{'短评内容': '第二次在正阳宾馆住了，经济实惠信守承诺，电脑网速比较快，房间卫生及淋浴都不错，只是地毯不太干净', '短评打分': 3}
