{'短评内容': '好好好，兰州最好的酒店', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '环境、卫生、服务都不错！是我定点的酒店之一', '短评打分': 5}
{'短评内容': '住的舒服，来兰州就住这里。', '短评打分': 5}
{'短评内容': '这家酒店，因为一个楼层服务员而让人记住它的好！马小莉！', '短评打分': 5}
{'短评内容': '兰州最好的五星级酒店，确实不错，值得一住。', '短评打分': 5}
{'短评内容': '早餐蛮丰富，味道还不错。', '短评打分': 5}
{'短评内容': '酒店环境服务都不错', '短评打分': 5}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，挺好的。', '短评打分': 0}
{'短评内容': '挺好的，就是地理位置有点偏，周围什么都没有', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '自从有了小孩以后，再也不穷游了，每次酒店必须要好的，舒适的，住了那么多五星级酒店，这次的总体感觉还是要点赞的。', '短评打分': 5}
{'短评内容': '非常棒的酒店，每次朋友来兰州都住在那！', '短评打分': 5}
{'短评内容': '上次提了前台意见，这次表现很好，点个赞！', '短评打分': 5}
{'短评内容': '环境好交通方便非常喜欢希望下次再来玩服务员态度都很好只希望能再次入住与老公一起去开开心心的玩乐享受当地', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '老地方了，还行吧', '短评打分': 5}
{'短评内容': '中国酒店往往硬件达标而服务等软件欠缺。兰州皇冠假日酒店是唯一例外的。酒店服务从前台到门童到维修人员到房间清洁员以及行政酒廊等等等等服务态度及业务素养都是一流的，但是房间浴缸水塞不密封、淋浴地漏不畅导致水漫金山、洗浴用品基本就是国内三四星酒店标准（既倒不出来还结块）。不过住着由于服务软件超高品质还是心情很舒畅，以后还是会入住的！', '短评打分': 5}
{'短评内容': '真的挺不错的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
