{'descr': '房间很干净', 'star': 5}
{'descr': '酒店看来很火爆 都没有大床房了 环境是典型的如家酒店型的 电视还是网络可点播的 但就是看不了江苏和浙江', 'star': 5}
{'descr': '很舒心，住着感觉很安静，条件不错！在这附近如家感觉很干净，工作人员态度好，放间里面积也相对大，推荐入住！', 'star': 5}
{'descr': '非常好住！', 'star': 5}
{'descr': '特别好', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '不错挺好', 'star': 5}
{'descr': '热水一般，其余都不错', 'star': 4}
{'descr': '价格便宜，位置好，交通方便，小吃多。', 'star': 4}
{'descr': '价格便宜，位置好，交通方便，小吃多。', 'star': 4}
{'descr': '价格便宜，位置好，交通方便，小吃多。', 'star': 4}
{'descr': '价格便宜，位置好，交通方便，小吃多。', 'star': 4}
{'descr': '房间舒适', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '整体感觉不错，交通方便、到我办事的地方', 'star': 4}
{'descr': '挺好 的，就是晚上不要再往门缝里塞小卡片', 'star': 5}
{'descr': '环境一般，交通不是很方便，附近吃饭的地方较少', 'star': 4}
{'descr': '住了2晚,只有第一天有简易早点,第二天结账后问就说没有了,窗子正对一堵墙,房间有一股臭味,早上要求收拾房间也没人来,晚上又叫了才来', 'star': 3}
{'descr': '，酒店干净、服务好。', 'star': 3}
{'descr': '就是有点偏，附近连吃饭的地都没有。不过酒店总体来说还是不错的。', 'star': 5}
{'descr': '第三次入住，前台服务一次比一次差，预定时是190元一间，到了结账时就变成了199元一间，以后再不住了', 'star': 1}
{'descr': '还不错，就是停车的地方比较有限，路也比较窄，其他的还不错。', 'star': 5}
{'descr': '很不错，应该是新开的，上次去还没有这家店，价格也不贵，推荐，以后还会去住', 'star': 5}
{'descr': '房间很小，卫生间水流很小，房间有味道。这种环境，还这么高的价格，不值！', 'star': 1}
{'descr': '还行，干净，床够大', 'star': 3}
{'descr': '酒店不错，如家一直住的都比较放心', 'star': 3}
{'descr': '环境还可以', 'star': 3}
{'descr': '洗澡水太凉，空调是中央空调，自己无法控制，现在还是冷风', 'star': 3}
{'descr': '还不错 还吧 还不错 还吧 还不错 还吧 还不错 还吧 还不错 还吧 还不错 还吧 还不错 还吧 还不错 还吧 ', 'star': 5}
{'descr': '酒店没有刷卡机，很不方便', 'star': 3}
{'descr': '很一般的酒店，没有停车场。周围环境也不太好。', 'star': 3}
{'descr': '安静，舒适，离居然之家很近。附近在修地铁吧，不是很方便寻找，但是价格很实惠。', 'star': 5}
{'descr': '给我们安排了一个靠楼梯的房间，住了两天后我们强烈要求换房间都没有得到满足（前提是那天有空房），后来退房时服务员也没有给出相应的解释', 'star': 1}
{'descr': '不错不错 很干净', 'star': 3}
{'descr': '如果到附近办事不错的选择，目前地铁未直到十里店，不过快了', 'star': 5}
{'descr': '干净，舒服，服务态度好，交通坐地铁到劲松后乘坐28路就到了，好找。只是周边环境有点乱，以后地铁会直通。', 'star': 5}
{'descr': '总体还是不错的。如家出门也是经常住的酒店之一', 'star': 5}
{'descr': '还算挺好，就是靠路边有点吵', 'star': 3}
