{'短评内容': '非常不错，套房，很方便，交通也不错', '短评打分': 5}
{'短评内容': '一直都习惯在携程定机票和酒店，一直也没失望过，酒店不错，房间也宽敞，在首都来说是不错的选择，总体好评。', '短评打分': 5}
{'短评内容': '每次去北京都住这里。干净，方便。', '短评打分': 5}
{'短评内容': '沙发套上有渍，感觉不太干净，床太小', '短评打分': 4}
{'短评内容': '朋友说晚上睡觉冷', '短评打分': 4}
{'短评内容': '房间所有都是日式人性化设计，非常不错！前台也很热情。离机场很近，旁边一条街进去就是798艺术区，很不错。唯一一点遗憾：泳池不能用，不知道什么时候可以重新开放。因为本人是有健身游泳的习惯，期待下次入住可以游泳。', '短评打分': 5}
{'短评内容': '原来这是一个完全日式风格的公寓酒店，外观，内部格局，家电，就连电视节目都有很多日本本土台。住在里面和住在日本没啥不同体验。', '短评打分': 5}
{'短评内容': '感觉不错 ', '短评打分': 5}
{'短评内容': '感觉不错哦', '短评打分': 5}
{'短评内容': '多次入住  环境很好 出行方便  家里人多 可以选择套间 来北京选这里 多少次了 感觉真的不错哦', '短评打分': 5}
{'短评内容': '酒店很干净，住的蛮舒适的。', '短评打分': 4}
{'短评内容': '够大，600以下在北京能有套房住，很适合2个朋友的出行。环境过得去，不算精致，地点还不错，近798。', '短评打分': 5}
{'短评内容': '日式装修，不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '离798很近，院子里面可以停车，非常好。', '短评打分': 5}
{'短评内容': '还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的还阔以，挺方便的', '短评打分': 5}
{'短评内容': '第二次住了，其他还好，这次比较倒霉的是上网老有问题，基本上天天断网，悲吹', '短评打分': 3}
{'短评内容': '虽然处于望京人口密集区中，但进了公寓大门还是很安静的。房间整洁安静，居家设施齐全，非常不错。\r\n室内家具、设施稍显陈旧，开门还是用钥匙，电视虽然有40个台，不过三分之一是日文。。。另外第一天就发现淋浴有点问题，好在维修师傅来的很快。\r\n同等价位住大公寓还是不错的选择。', '短评打分': 5}
