{'短评内容': '一直住这，希望以后更好', '短评打分': 5}
{'短评内容': '性价比超高，早餐非常不错！前台服务员服务热情周到，停车位充足，也是个家庭出来旅游，总之强烈推荐一下，哈哈', '短评打分': 5}
{'短评内容': '性价比超高，早餐非常不错！前台服务员服务热情周到，停车位充足，也是个家庭出来旅游，总之强烈推荐一下，哈哈', '短评打分': 5}
{'短评内容': '性价比超高，早餐非常不错！前台服务员服务热情周到，停车位充足，也是个家庭出来旅游，总之强烈推荐一下，哈哈', '短评打分': 5}
{'短评内容': '性价比超高，早餐非常不错！前台服务员服务热情周到，停车位充足，也是个家庭出来旅游，总之强烈推荐一下，哈哈', '短评打分': 5}
{'短评内容': '很不错的酒店，空调热，洗澡热，免费一次性洗漱用品，早餐很简单，但味道不错。性价比超高。前台和打扫卫生的态度都非常棒。下次来还会继续住。', '短评打分': 5}
{'短评内容': '酒店除了位置有点偏，其它都非常不错！酒店房间干净卫生，价格也比较低！下次再来泗水还会入住！希望酒店保持服务。。。。', '短评打分': 4}
{'短评内容': '第二次订，地理位置好，经济实惠', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '环境挺好。住的很舒服。早餐也很好。服务态度特别好。唯一不足的就是没有暖气。可能是我特别怕冷。感觉特别冷。开了空调也不行。总之很满意。下次还会来', '短评打分': 5}
{'短评内容': '非常好，下次还会来的', '短评打分': 5}
{'短评内容': '宾馆还可以，就是远了点，价格实惠', '短评打分': 5}
{'短评内容': '房间还不错啊，周围也挺好', '短评打分': 3}
{'短评内容': '非常棒的酒店，很不错，推荐', '短评打分': 3}
