{'短评内容': '挺好的 干净', '短评打分': 5}
{'短评内容': '限时抢购时订的很划算', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个价位的房间不错', '短评打分': 4}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '位置可以，比较方便', '短评打分': 4}
{'短评内容': '商务大床房，房间会有嗡嗡的声音，换一间更严重，除非你左右都没人住，然后把电断了，那才好睡点，', '短评打分': 3}
{'短评内容': '很后悔没有订个性化酒店，很糟糕的连锁酒店，很不爽', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错价格实惠', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '还行吧.......', '短评打分': 3}
{'短评内容': '一如既往地支持锦江之星，简洁、干净、性价比高，到一个城市首选的快捷酒店', '短评打分': 5}
{'短评内容': 'great location, quiet and beautiful, and with an own yard for parking. convenience for eating and entertainment. \n', '短评打分': 5}
{'短评内容': '一直挺喜欢锦江的，房间干净卫生，就是有些小，其实很不错啦，挺满意的。', '短评打分': 5}
{'短评内容': '酒店清洁、安全；更重要的是比较清静，休息较好！', '短评打分': 5}
{'短评内容': '好!', '短评打分': 3}
{'短评内容': '虽然叫金桥店，但是离金桥加工区还是有点距离的。基本的经济型酒店风格，周围吃东西还算方便。商务房比标房还要小，感觉还是不要叫商务房比较好。', '短评打分': 5}
{'短评内容': '服务还行，房间看起来很干净比较新，大厅装潢还不错，不过觉得，房间大小，和细节一般，没啥特别出彩的地方，感觉不值220一间。', '短评打分': 1}
{'短评内容': '服务态度很好，房间也相对还可以！', '短评打分': 3}
{'短评内容': '房间设置简单，但环境条件不错，很安静，离金桥广埸很近。', '短评打分': 5}
{'短评内容': '\n还不错，就是隔音效果差点', '短评打分': 3}
{'短评内容': '，还不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '条件简陋了点，隔音效果比较差，墙都是用木板隔得', '短评打分': 5}
{'短评内容': '停车方便\r\n门口有便利店\r\n停车方便\r\n门口有便利店', '短评打分': 5}
{'短评内容': '世博期间涨价，贵了点，房内设施较为简陋.。。。。。', '短评打分': 5}
{'短评内容': '+总的来说还可以，就是房间偏小了一些，比较局促', '短评打分': 5}
{'短评内容': '是个不错的选择，干净整洁卫生。性价比高~', '短评打分': 5}
{'短评内容': '环境还可以，比较卫生，总体来说还是不错的~~', '短评打分': 5}
{'短评内容': '经济型酒店的典范，交通也还算方便，就是房间小了点，但算是性价比不错的', '短评打分': 5}
{'短评内容': '服务还好的', '短评打分': 5}
{'短评内容': '服务还是不错的，我因为是带两个孩子入住一个标准间，他们能主动给我安排一大一小两张床，让我很感激。', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，停车场很大，一进到前台，前台的服务微笑很甜，服务很周到，客房卫生也很好，房间干净，客房服务员很热情，出差住了这么多酒店，这家店给我的印象最好', '短评打分': 5}
{'短评内容': '酒店距离地铁较远。而且服务好差，叫他拿个吹风机，居然要自己去前台用证件申请，好搞笑哦。不推荐。', '短评打分': 1}
{'短评内容': '卫生，安全，性价比超高！可惜有事没能多住几天。', '短评打分': 5}
{'短评内容': '环境还好，服务不错。连保安都很热情！', '短评打分': 5}
{'短评内容': '可能定的周末，又是世博园附近，感觉是住进招待所，早餐也没有，价格也不便宜', '短评打分': 1}
{'短评内容': '要不是因为世博，公司附近酒店难订，我是绝对不会来这里，以前没来过这家店。以前住过其他的锦江之星，印象还算不错，但是这家实在是印象不好，我觉得唯一比较好的就是院子很大，停车方便。一进入房间就发现地面一个烟头；床单被罩怎么看都有点太旧了，可能是颜色不好吧，反正看着不舒服。发现网络不好用，用房间电话开始拨打前台，没人接，客房服务没人接，总机没人接，总而言之就是没有打通任何一个电话。\r\n最后只好下楼先去吃', '短评打分': 1}
{'短评内容': '前台交接完全不像话。我几个房间入住几天，每天都有不一样的前台接待员问我这个问我那个。可笑的是每个人问的东西都是一样。我是相当的无语……', '短评打分': 1}
{'短评内容': '对得起这个价位', '短评打分': 5}
{'短评内容': '开车的人可以考虑，有停车场', '短评打分': 5}
{'短评内容': '酒店门隔音非常不好需要改善，晚上回来晚的客人，在走廊喧哗很影响别人休息。', '短评打分': 5}
{'短评内容': '卫生、服务都还不错，就是洗手间龙头一开声音比较大，不明白什么情况，呵呵，总体性价比不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 1}
{'短评内容': '此酒店入住多次，总体还好。问题是同价位商务房有大有小。酒店硬件有破损，如浴帘杆脱落，稍有振动就掉，告之酒店也没修。免费矿泉水取消有变相涨价之嫌。', '短评打分': 5}
{'短评内容': '我认为不错\r\n', '短评打分': 5}
{'短评内容': '房间离的矿泉水不应该取消，电插板少不方便。', '短评打分': 3}
{'短评内容': '酒店整体不错，就是离地铁口远点，周围饭店少。', '短评打分': 5}
{'短评内容': '位置偏，住副楼不错', '短评打分': 5}
{'短评内容': '酒店有免费班车送到展会，挺方便的，酒店本身环境也不错，价格实惠', '短评打分': 5}
{'短评内容': '各方面都挺不错,很实惠,住着也蛮舒适的', '短评打分': 5}
{'短评内容': '位置比较偏僻，吃饭不太方便，只一家西餐厅，很普通但很贵。卫生间纸巾太差，房间应该配上一盒抽纸。', '短评打分': 3}
