{'短评内容': '非常好，好，好。', '短评打分': 5}
{'短评内容': '一半', '短评打分': 5}
{'短评内容': '位置在江南中心', '短评打分': 4}
{'短评内容': '不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净不太干净', '短评打分': 1}
{'短评内容': '还可以的吧', '短评打分': 4}
{'短评内容': '味道一点', '短评打分': 5}
{'短评内容': '很好，物美价廉下次还去', '短评打分': 5}
{'短评内容': '地理位置不错，价格比较实惠', '短评打分': 5}
{'短评内容': '地理位置不错，价格比较实惠！', '短评打分': 5}
{'短评内容': '房间空间很大，就是装修太旧了，需要重新装修了', '短评打分': 3}
{'短评内容': '一般般吧，房间靠背的皮都掉了！服务员态度一般', '短评打分': 5}
{'短评内容': '房间还不错，就是网络不太好。', '短评打分': 5}
{'短评内容': '还不错吧！就是网络不太好。', '短评打分': 5}
{'短评内容': '一如既往的支持', '短评打分': 5}
{'短评内容': '房间不错，不要有太多要求，晚上可以睡个好觉！！', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '临时预定的，挺好的蛮满意的！一起去的同事都感觉OK哦', '短评打分': 4}
{'短评内容': '很好 位置不错的', '短评打分': 5}
{'短评内容': '非常实惠的房间', '短评打分': 4}
{'短评内容': '早餐不错，但是网速就相当龟了', '短评打分': 5}
{'短评内容': '很好，都齐全，门口打车也方便，早餐比一般酒店要好点', '短评打分': 5}
{'短评内容': '还行，吃饭地方很多', '短评打分': 4}
{'短评内容': '房间及周边环境不错', '短评打分': 5}
{'短评内容': '服务不错，房间小，虽然不新，但很干净！', '短评打分': 4}
{'短评内容': '酒店的地段不算是很好，金婺大桥附近。住的很舒服，房间给人一种很温馨的感觉。早餐一般般啦。', '短评打分': 5}
{'短评内容': '经常住的酒店，总的来说还可以，早餐越来越差了', '短评打分': 5}
{'短评内容': '经常住的酒店，虽然现在有点旧了，总的来说还可以', '短评打分': 5}
{'短评内容': '不错的一家酒店，在金华市来说性价比是不错的。早饭也很丰盛', '短评打分': 5}
{'短评内容': ' 每次来金华都会选择这个酒店，但是好几次住这个酒店会遗忘下自己的洗漱用品，查房的服务员也不会告诉我，这点有点不好。酒店的卫生不错，早饭也不错！', '短评打分': 5}
{'短评内容': '我每次来金华都住这个地方真的不错，可以住的。', '短评打分': 5}
{'短评内容': '性价比很好，很舒适。除了位置不是很好（但很安静），其他都很好', '短评打分': 5}
{'短评内容': '小而精致，洗手间比卧房舒服。就是空气有点不大好，总的讲，对得起特价。另，稍稍小偏，吃东西不方便。', '短评打分': 5}
{'短评内容': '已经住过好几次了，每次来出差，都会选择住，因为环境好，卫生也好，早餐也很丰盛。', '短评打分': 5}
{'短评内容': '常客了常客了常客了常客了常客了常客了常客了常客了', '短评打分': 5}
{'短评内容': '酒店性价比很高。。连续住了4天。。下次到金华还回继续住。。', '短评打分': 5}
{'短评内容': '很清静之处，交通不便，服务太一般，没有长处。', '短评打分': 1}
{'短评内容': '房型有点小，但是性价比很高，特适合一个人，下次还会选择这家，有问题，总台会第一时间解决', '短评打分': 5}
{'短评内容': '酒店比一般的快捷酒店要高档点 房间舒适温馨 隔音也非常好 网速比较快 没有早餐 前台提供快递 叫醒服务 非常周到 喜欢', '短评打分': 5}
{'短评内容': '性价比非常高！', '短评打分': 3}
{'短评内容': '清净。离银泰远点也好，省的两步道打车，有点神经，尤其夏天，不愿意多走，比较好。', '短评打分': 5}
{'短评内容': '挺划算的，特价房就是床小了点，不过两个人住也是可以挤挤的', '短评打分': 5}
{'短评内容': '价格还实惠。就是9点去吃早餐。基本没有什么东西了', '短评打分': 5}
{'短评内容': '便宜，干净，服务态度好\n离市区也近，周边还有个江，晚上很安静~\n值得推荐给广大网友的好地方~', '短评打分': 5}
{'短评内容': '出差，肯定选择的酒店 ，推荐非常推荐，下次海珠', '短评打分': 5}
{'短评内容': '酒店相当不错 也挺安静的，隔音差点是没办法的 现在好多酒店都是这样的。总的来说还是相当不错的 ', '短评打分': 5}
{'短评内容': '每次到金华必住的酒店。。没什么多说的。。。。', '短评打分': 5}
{'短评内容': '这家酒店确实值得推荐，价格实惠而且硬件条件不错。前台MM素质专业。', '短评打分': 5}
{'短评内容': '相当不错的酒店，经济实惠，有免费停车场，有早餐券，最主要的是房间还是比较干净的，有地毯，比很多地方的经济型酒店好多了。', '短评打分': 5}
{'短评内容': '每次都这里住每次都这里住每次都这里住每次都这里住', '短评打分': 5}
{'短评内容': '各方面都不错,到金华一直住这家的,就是酒店的网速比较慢啊', '短评打分': 5}
{'短评内容': '依旧还是那么的满意！', '短评打分': 3}
{'短评内容': '好，性价比很高，环境也安静。整体是比商务三星要好很多', '短评打分': 5}
{'短评内容': '很不错，每次来金华就选住它！金华性价比最高的酒店，豪华、舒适，整洁。', '短评打分': 3}
{'短评内容': '老客户了，老客户了，老客户了，老客户了，老客户了', '短评打分': 5}
{'短评内容': '还不错哦。住了好几次了。这次住了四天，空调不太制冷，叫人来看了，但是他说没问题，我表示很无语。', '短评打分': 5}
{'短评内容': ' 恩，不错，就是貌似没有吹风啊。', '短评打分': 3}
{'短评内容': '很不错，非常满意。很不错，非常满意，很不错，非常满意', '短评打分': 5}
{'短评内容': '酒店服务挺好的，我这次是第二次住，这次住的是特价房，88有单早，价格很合适，就是房间小了点点，但一个人住吧，差不多了', '短评打分': 5}
{'短评内容': '环境不错，晚上睡觉也很安静，服务也不错。关键是性价比高，离市中心稍微有点远，不过打车15分钟左右。还有必备早餐。', '短评打分': 3}
{'短评内容': '房间有点小，不过装修很用心，很干净。值得推荐', '短评打分': 5}
{'短评内容': '去金华到紫东  比较经济   虽然比较小  但是环境比较好  去了好几次了', '短评打分': 5}
{'短评内容': '还不错!就是有点远...', '短评打分': 3}
{'短评内容': '环境不错，5分钟的路程就是婺江。这样的价格能住到这样的房间性价比非常的高。吹风机等都备齐了。设备也比较先进。感觉比较时尚。唯一不好的是，这次运气不好，门卡失效，最后让客房服务来解决了。总的来说，服务非常不错。', '短评打分': 5}
{'短评内容': '房间有些小，卫生间不错。环境也还可以。床有些硬', '短评打分': 5}
{'短评内容': '性价比很高，就是下雨天没有准备一些雨伞给客户备用的。', '短评打分': 5}
