{'短评内容': '环境舒适安静，交通便利。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '早餐不错，品种多', '短评打分': 5}
{'短评内容': '早餐好吃，菜式丰富', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '不值这个价', '短评打分': 3}
{'短评内容': '不错虽然有点老旧，但是很干净。', '短评打分': 5}
{'短评内容': '住着挺舒服的，房间够大。不足的是线路维修，电话用不了，非，常，不，方，便！而且很奇怪的是，电路维修要好几天，你们是都拆了，重新按吗？没有人帮忙拿行李，没有人引导去房间。其他一切都好。环境很不错。', '短评打分': 5}
{'短评内容': '来昆明前，在携程网上反复比对选择了震庄迎宾馆。入住之后感觉非常好，名不虚传，尽管接近晚上11点，仍兴致勃起地在院子里散步了近一个小时，第二天一早又转了四十来分钟。古今荟萃，集于一院：软件硬件，均称一流。感谢携程，感谢震庄！', '短评打分': 5}
{'短评内容': '在昆明的話，震莊是第一選擇，喜歡早餐的那碗米線，喜歡鬧中取靜的感覺。', '短评打分': 4}
{'短评内容': '五星级酒店，老宾馆，房间不老，很干净，设施很好！酒店的院落很漂亮。市中心的位置，闹中取静，有文物重点保护的建筑。遗憾的是，很难找到对酒店历史的文字介绍。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总的来说，位置好，舒适', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店外面有院子，散步很舒服。就是上网不方便，经常连不上', '短评打分': 4}
{'短评内容': '商务味道很浓', '短评打分': 5}
{'短评内容': '周边的吃喝地方不多，需要出去一段距离才行！\n此酒店的安全性是绝对最好的！', '短评打分': 5}
{'短评内容': '周边的吃喝地方不多，需要出去一段距离才行！\n此酒店的安全性是绝对最好的！', '短评打分': 5}
{'短评内容': '之所以会推荐这家宾馆，并不是因为它有多好，而是整个昆明的酒店和宾馆总体都差强人意。\n震庄的优点很明显：1.硬件比较好，所有洗浴设备都是科勒或者Roca，不像其它酒店粗制滥造，而且房间较大；\n2.花园式酒店比较安静，适合饭后散步等等有益身心的活动。\n但是，缺点让人很窝火：\n1.我们带着一个一岁多的孩子，小孩儿不懂事站在酒店的行李车上，某位高贵的前台负责人过来让孩子下来，这本来没有问题，但是她的理由居', '短评打分': 1}
{'短评内容': '环境不错！安全舒适！最主要的是安全及方便！', '短评打分': 5}
{'短评内容': '住在朝工地一侧！很吵！还有，房间有异味！这次入住没有上次满意！', '短评打分': 5}
{'短评内容': '酒店旁边正在施工，非常吵闹。 而且价格很贵，没有特别的美容美发服务。就是住个新鲜', '短评打分': 5}
{'短评内容': ' 好住不错，有些堵车。', '短评打分': 3}
{'短评内容': '环境优美，地理位置好，服务还是可以的，就是门前修地铁，有点乱', '短评打分': 5}
{'短评内容': '园林、走廊、房间很大气，一次性牙膏是我见过最大支、牌子还是黑人的，好。只是牙刷太差，容易掉毛。房间门牌号在白天没有灯，看不清很麻烦，建议加LED灯常亮或者反光材料，很省电的。', '短评打分': 5}
{'短评内容': '＋服务很差，无论是客服卫生还是前台，早餐2星级，仅供参考。', '短评打分': 3}
{'短评内容': '饭店的早餐是成心不给早走的客人吃的，我住了很多饭店大多是四，五星级的，早餐早的6点就开始了，最迟的6。30分也开了。但这个宾馆要7点才开始，飞机早的话根本吃不上早餐的。', '短评打分': 1}
{'短评内容': '硬件不错，交通方便，有一大片花园，很好.米线很好吃。', '短评打分': 5}
{'短评内容': '环境很好，很安静，就是房间隔音不好，自助餐每天变化不多。', '短评打分': 3}
{'短评内容': '基本设施很到位，房间打扫很干净，电视信号质量清晰，水压大，被子舒适，大气，服务满意', '短评打分': 5}
{'短评内容': '对这个酒店的评价，从我入住开始就在想怎么写。因为我怕我实在忍不住说出些刻薄的语言，。我先说下优点吧。环境很漂亮，装修下了大成本，基本算是4星加了（此处省略内心对我党使用纳税人的钱大肆装修的小小想法5000字），据说电梯都是直接嵌在墙上滑动的，市中心，闹中取静。缺点：我住的套房，开始去卧室门关不上，下水道漏水，打电话后解决。遮光布上下左右加中间全部漏光（遮光布是干嘛用的？？）2部电话，全在卧室。床软', '短评打分': 1}
{'短评内容': '住了两天，发现噪音来自房后的中央空调设备（住花园侧应该听不倒），并不是修地铁的施工噪音，希望下次能有改进。园子很大很漂亮，人也不多很喜欢这种环境。', '短评打分': 5}
{'短评内容': '酒店打车不方便，服务也不太好！', '短评打分': 3}
{'短评内容': '环境很好，购物方便。', '短评打分': 3}
{'短评内容': '价格合理，地理位置上佳。云南省的国宾馆，大门口一直有警察站岗。不过入住的是位于酒店一侧的开放区。另一侧都是别墅，有武警站岗的，都是探头，不过貌似住客也能去逛逛。\n客房设施么，五星是没有的，四星差不多吧。\n自助早餐非常不错，陪我们的昆明亲戚说，外面吃不到这么好吃的。但我们住的那天有中央首长入住，他得随从也在自助餐厅就餐，不知道是不是常态。\n总之还是很不错的~\n', '短评打分': 5}
{'短评内容': '蛮好的酒店，住得还算舒服，虽然是个老酒店了，总体还是不错的', '短评打分': 5}
{'短评内容': '宾馆很有味道，过去的龙云王府的确牛年啊！闹中取静，住起来很舒服。', '短评打分': 5}
{'短评内容': '离办事的地方近离办事的地方近离办事的地方近离办事的地方近离办事的地方近', '短评打分': 5}
{'短评内容': '酒店环境不错，但服务有待加强，跟前台说好了要迟些到，到的时候居然说房间已经取消，结果闹得很不愉快。', '短评打分': 3}
{'短评内容': '房间非常安逸 适合居住～～～～～～～～～～', '短评打分': 5}
