{'短评内容': '很干净，.卫生', '短评打分': 4}
{'短评内容': '太脏了。有异味', '短评打分': 3}
{'短评内容': '房间卫生很差。枕头一股怪味。没有一次性拖鞋。很久没有维护的样子。非常不满意', '短评打分': 2}
{'短评内容': '介绍是2-5楼，开的房却是顶层7楼 房屋类似阁楼，电流噪音各种噪音很大，外面下雨屋里听的非常清晰。窗户开不了没有纱窗，窗帘拉不上因为空调挡住了，空调没啥效果，因为灰尘满了。水流特别小，不知道设计这种房间的人出于什么目的，人生中是最差的一次。来的时候老板娘极力推荐100多的房间现在给她100元即可入住，而且告诉我我定的是最小的房间，我对大小其实并不在意，所以就没换，可是欺骗顾客就是你们良心的问题了', '短评打分': 1}
{'短评内容': '介绍是2-5楼，开的房却是顶层7楼 房屋类似阁楼，电流噪音各种噪音很大，外面下雨屋里听的非常清晰。窗户开不了没有纱窗，窗帘拉不上因为空调挡住了，空调没啥效果，因为灰尘满了。水流特别小，不知道设计这种房间的人出于什么目的，人生中是最差的一次。来的时候老板娘极力推荐100多的房间现在给她100元即可入住，而且告诉我我定的是最小的房间，我对大小其实并不在意，所以就没换，可是欺骗顾客就是你们良心的问题了', '短评打分': 1}
{'短评内容': '总体一般', '短评打分': 3}
{'短评内容': '卫生，安静，舒适。', '短评打分': 5}
{'短评内容': '定了2间房，一个空调不错，另外一个不太制热，房间比较冷，锅炉坏了，说晚上9点才修好，父母年纪大了都等不了没洗澡就睡了', '短评打分': 5}
{'短评内容': '酒店没有热水，我们一家都没得洗澡', '短评打分': 5}
{'短评内容': '老板娘给了新装修的房间，干净但有点小。价格便宜', '短评打分': 5}
{'短评内容': '超级好 老板娘态度特别好 房间干净 晚上也不吵', '短评打分': 5}
{'短评内容': '差的不要不要的????燈光沒????', '短评打分': 2}
{'短评内容': '服务还可以的 没有洗头膏沐浴露啊', '短评打分': 4}
{'短评内容': '还好，就是卫生间有点脏', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 3}
{'短评内容': 'hotel iis cheap, but did not like the bed, and bad smell all over', '短评打分': 5}
{'短评内容': '价格公道，地理位置方便。住了20天，是出差的好居住。', '短评打分': 5}
{'短评内容': '房间不错干净，床够大，就是空调下半夜就被关掉，早上是被热醒的', '短评打分': 5}
{'短评内容': '酒店工作人员的态度还好啦，只是希望贵酒店能够改善房间有轻微异味的现象，其余方面还是不错的，改善之后我想近期的话还是有可能会入住的。望贵酒店重视！', '短评打分': 5}
{'短评内容': '与图片一样，房间非常干净、整洁，所有设施都是新的，只是柜子里稍微有些味道，但不影响，前台服务也不错；周边购物、吃饭很方便，旁边就是24小时永和豆浆，食物各类很多，还能订餐；交通便利，801路起点火车站，终点商贸城三区，过条马路就是酒店。下次再来，继续入住~', '短评打分': 5}
