{'短评内容': '酒店还不错，挺干净的', '短评打分': 5}
{'短评内容': '机场大巴在酒店不远的皇冠假日酒店有停靠站，方便坐机场大巴。订的特价房，无早餐，没有窗户，价格还算实惠吧。', '短评打分': 5}
{'短评内容': '房间很乱、面积小。', '短评打分': 1}
{'短评内容': '商务出差入住还行', '短评打分': 5}
{'短评内容': '好，很舒适', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '主要是机场大巴站点进，总之条件很差，不及连锁快捷酒店', '短评打分': 3}
{'短评内容': '酒店设施老旧，以后不会再住了。', '短评打分': 3}
{'短评内容': '酒店位置不错，离餐馆、超市都很近，离海边也不远，临时住宿性价比不错。但内部环境一般，设施相对老旧，追求度假体验的就不要考虑了。', '短评打分': 4}
{'短评内容': '离着海边非常近，如果去蓬莱国际机场可以考虑在住这里，可以坐机场3号线，最早的是4:30的机场巴士。酒店楼下有超市，对面是文经学院，可以去逛逛大学。酒店卫生间换气扇坏了，希望早点修好，其他的都非常不错。', '短评打分': 4}
{'短评内容': '到店后，服务员会要求涨价加钱，经过交涉，为让他得逞。提醒各位，一定不要害怕，坚决不加钱。', '短评打分': 3}
{'短评内容': '是帮同时预定的，图片上的房间很好，离会议酒店也很近', '短评打分': 3}
{'短评内容': '环境一般一般，价格相对比较贵', '短评打分': 3}
{'短评内容': '还行吧，主要是带孩子在附近比赛，去年来住的对面皇冠假日，好是好，但太贵了，呵呵', '短评打分': 3}
{'短评内容': '不好啊！房间价格贵，有蚊子，空调不制冷', '短评打分': 3}
{'短评内容': '不错距离海边还蛮近的 ，对面的酒店也不错。', '短评打分': 5}
{'短评内容': '房间挺大的，周边吃饭不方便，要自己带洗漱用品，名气不响，要说在皇冠假日酒店对面，出租车基本就知道了', '短评打分': 5}
{'短评内容': '房间挺大的，周边吃饭不方便，要自己带洗漱用品，名气不响，要说在皇冠假日酒店对面，出租车基本就知道了', '短评打分': 5}
{'短评内容': '服务态度很好~跟南山皇冠假日酒店斜对面，就是附近几乎没有吃饭的地方，要打车才能有饭吃呢~', '短评打分': 5}
