{'短评内容': '房间佷棒', '短评打分': 5}
{'短评内容': '古色古香，服务周到', '短评打分': 5}
{'短评内容': '宾馆离西城门较近，环境和位置都还好。服务和酒店卫生都不错。', '短评打分': 5}
{'短评内容': '国庆出游非常开心，这高速路车水马龙。一路艰辛来到了向往的晋商故里平遥古城。联系酒店后，酒店免费派车接我们到店，就接送服务就替客人考虑的特别周到。我们预订的土坎，心里想的这土炕该有多么土，结果进房间后，另一番特色。晋商老爷房的设计风格。而且房间现代化设施全部俱全。尤其是夜晚院里开灯后，大红灯笼高高挂，更是提现出晋商大院的特色和别致。晚上在前厅品尝了小吃，还给孩子赠送了一瓶当地的沙棘汁。服务真是周到和', '短评打分': 5}
{'短评内容': '服务非常热情，房间干净卫生，还会再来。', '短评打分': 5}
{'短评内容': '环境不错。十月初入住，没开暖气，空调效果不好，甚至空调不制热。商家不理协商，强扣押金。不想再去熙仁泰。', '短评打分': 4}
{'短评内容': '太烂的酒店。带爸妈来北大医院看病，想住医院近点，设施，卫生条件差就凑合了。父亲是脑梗，就怕遇冷有危险，入住的时候特意强调了，服务员说有空调和电暖气，晚上特别热，就住下了。结果，半夜2点给爸妈冻醒了，我住外面，空调嗡嗡的吹热风还行，里屋空调一点风都没有，显示的30度，也是到了热风档，就是一点热气都没有，电暖器虽然热，但是不管用。气的不行，给前台打电话说过来看一下，是不是空调没设置好。服务员态度极差，', '短评打分': 2}
{'短评内容': '节假日太贵了...', '短评打分': 4}
{'短评内容': '这家店死贵不说，当天开具发票没有，二次邮寄出来，为什么现场不说客人承担运费，等发出来后，确是到付，好吧。店家说话没有诚信可言。你家酒店环境在平遥不算好的，但该家房价确实牛，也就那么一次，', '短评打分': 1}
{'短评内容': '性价比高，干净。', '短评打分': 5}
{'短评内容': '酒店位于古城内，周围非常热闹，卫生环境都好，老板很热情，有到平遥古城的朋友，来这家住是不错的选择。', '短评打分': 5}
{'短评内容': '好，很好，非常好。下次还会来！！！', '短评打分': 5}
{'短评内容': '在老城里是不错的酒店，院子里红绣球，红灯笼很好看，到晚上亮起时候给人一种梦回民国的感觉，老板人挺好，服务非常热情，值得入住。', '短评打分': 5}
{'短评内容': '酒店古色古香，条件不错，很好', '短评打分': 4}
{'短评内容': '酒店位置很好，卫生好，服务热情，来古城旅游首选之处。', '短评打分': 5}
