{'descr': '环境可以，早餐略简单', 'star': 5}
{'descr': '没有电梯，本来想要一楼的房间，前台说最近下雨可能会潮，推荐二楼，想想一楼可能也会比较吵还是提着行李上楼吧。房间挺大的，屋里还有个麻将桌。住了两晚，逛了山水园，在附近的天沐温泉享受了一把。', 'star': 4}
{'descr': '早餐是稀饭，水煮蛋，油条，馒头，小菜，很家常。我们两家人一起去的，他们会安排拼桌。住的话差不多吧，就是没有吹风机不太方便', 'star': 5}
{'descr': '总感觉一股酸臭味，就是出汗很多的那种味道，怪怪的，闻着不舒服，其他的还不错。', 'star': 3}
{'descr': '还不错', 'star': 4}
{'descr': '天目湖附近的房，不错的', 'star': 5}
{'descr': '帮人预订的，还不错', 'star': 5}
{'descr': '酒店不怎么好，因为临近长假，都没房，只能订这个酒店，靠近天目湖牌楼，吃饭，去山水园景区比较方便~~~，酒店卫生差，如果不是长假出游，绝对不会考虑的。 中间发生一段小插曲，入住时，酒店老板说，长假期间不可能这么便宜的价格，要我们每间房补230元的差价，并说订单早已取消了，只是携程没有通知我们。联系携程后，携程客服很耐心的帮助我们解决，差价由携程贴补，真心给携程点赞，到底是大公司，相信携程，好好好~~', 'star': 3}
{'descr': '国庆节这个价格很超值了', 'star': 3}
{'descr': '亲子旅游住宿 卫生状况需改善 空调制热效果差', 'star': 4}
{'descr': '总的来说都还能凑合吧，不过天目湖确实没啥意思', 'star': 4}
{'descr': '总体还行', 'star': 5}
{'descr': '设施很差，服务一般，唯一好的就是离天目湖很近！', 'star': 2}
{'descr': '黄金周价格相比之下比较实惠', 'star': 5}
{'descr': '离山水园景区很近，停车方便，环境不错，黄金周的价格相比其他比较实惠些', 'star': 5}
{'descr': '这家。绝对是物超所值。比想象中的好多了！！而且离天目湖很近。乘车的话记得在牌楼下车~', 'star': 5}
