{'短评内容': '真的不错！市中心！去哪儿都方便', '短评打分': 5}
{'短评内容': '地理位置在市区还不错，设施比较陈旧，也没有多余的被子提供~~卫生环境不是很好，有待改善~~要求不高的还是可以的~~', '短评打分': 4}
{'短评内容': '位置非常好，闹中取静，离各个景点商业区都很方便。只是设施老旧，毛巾都是灰色硬硬的，连一次性的梳子都没有。衣架也少的可怜，摆放也不科学。下回应该不会再去了。', '短评打分': 4}
{'短评内容': '位置真心不错', '短评打分': 4}
{'短评内容': '基础设施比较老旧，但是能在国庆期间住到这样价格这种标准的宾馆还是很满意的！有需要的朋友可以考虑下这家，性价比还是很高的！', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店位置不错，但哪都不太远，周边吃的玩的都有，设施一般，有窗，无味，但是没有无线网，对卫生要求不太高的可住宿', '短评打分': 4}
{'短评内容': '警备区鞍山道招待所的地理位置是真没的说，距离前进路步行街不到一公里，挨着沈阳道文物街，旅游、购物、交通都极其便利。房间虽然不是很新，但是很整洁。需要网络的话如果自备电脑也没有问题，总之不错，性价比很高！', '短评打分': 5}
{'短评内容': '地段不错.出行方便.就是设施老.电吹风也没有.旁边大楼还在施工.', '短评打分': 4}
{'短评内容': '不吹不黑  十一国庆期间  200能住上这种酒店  真的完美  不信的话看我实拍图  无P无做作', '短评打分': 5}
{'短评内容': '设施一般，态度好，位置好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '携程网特别方便今年我出门一直用携程定的房间，确实比门店优惠很多，这家酒店已经是我第三次入住，房间从新装修，酒店地理位置比较好，但是前台服务让人有点郁闷，没等退房服务员就来打扫卫生更换床单这也能理解，但是十二点去退房我是晚上八点的火车问前台能不能寄存一下行李，前台说没有这项服务，我只好大包小包都拿着去溜达，(之前入住好多家酒店都可以寄存行李的)', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店位置很好，离古文化街和南市美食街都不远，就是单行线自驾要注意！房间很干净，服务人员也好说话，问路给指挥的很详细，唯一就是我们有间房间把头而且窗户被遮挡了一般。不过这个位置，这个价位，也真挑不出什么了！绝对好评！', '短评打分': 5}
{'短评内容': '酒店干净、舒适、交通方便我感觉挺好的、就是床垫有点软。总的还是不错的', '短评打分': 3}
{'短评内容': '酒店设施陈旧，确实是招待所配置，房间比较宽敞，但有的插座没有电，房间没有网络。和如家、汉庭相比都差。', '短评打分': 1}
{'短评内容': '除地点优势和热水充足外，夜冷被薄，向服务院要毯子，得到的回答是“不是每个房间都准备毯子，房间里有就有，没有就没有”。我无言以对，虽是民间人士也只好向解放军学习，发扬“一不怕苦、二不怕死”的大无畏精神挺过这一夜了。我体会，作为解放军的招待所，就差清晨吹起床号了。如果要在天津市中心办事，又想体验部队生活（每个房间的床头柜上都摆着“军人禁止上网”的提示牌），不妨去这个招待所住一晚。', '短评打分': 5}
{'短评内容': '条件不错，卫生也可以，交通便利，地理位置好。', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，环境条件都还可以。', '短评打分': 5}
{'短评内容': '位置极佳，步行出门很方便。房间有点旧，好在热水暖气还行。', '短评打分': 3}
{'短评内容': ',宾馆的位置非常好,', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '地段好，交通方便，离火车站近，环境好。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '在最繁华的步行街这边算是最便宜的一家酒店了，虽然硬件设施不是很好，但是去哪里都很方便，附近就有沃尔玛超市。', '短评打分': 5}
{'短评内容': '曾经毛主席时候的招待所。强烈不推荐，没有现代气息。性价比一点不值得', '短评打分': 1}
{'短评内容': '房间内设施太过陈旧，很明显不符合三星级标准，除了地理位置优越之外，恐怕真的很不合适。倒是旁边星程快捷酒店很不错。', '短评打分': 1}
{'短评内容': '不错 挺实惠 地处市中心 出去玩什么 都很近 ', '短评打分': 3}
{'短评内容': '隔音效果好，地段好，处于市内最繁华的地段金街附近50米，', '短评打分': 5}
{'短评内容': '卫生很不错，比我想的好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务比较到位，卫生也挺好的，关键是地理位置很优越，离东站太近了，喜欢，离购物中心滨江道和平路也很近，晚上可以逛一逛，很不错', '短评打分': 5}
{'短评内容': '第一次到这来  感觉经济实惠交通方便  还不错  ', '短评打分': 5}
{'短评内容': '+在天津市内很方便', '短评打分': 5}
{'短评内容': '交通便利，去旅游景点都很快捷。楼下的餐厅不错，很实惠。适合家庭旅游。', '短评打分': 5}
{'短评内容': '设施比较老，可能是靠近市中心所以性价比不高，不过地理位置还可以。', '短评打分': 5}
{'短评内容': '挺好的…', '短评打分': 5}
{'短评内容': '入住很满意.', '短评打分': 5}
{'短评内容': '凑凑合合吧 位置不错 网络情况不好 大多数房间无宽带', '短评打分': 5}
{'短评内容': '在天津和平区这个地段里，这是最具性价比的宾馆了，服务也很周到，很好以后还会选择的', '短评打分': 3}
{'短评内容': '地理位置不错，24小时热水很好。住宿条件安静，没有其他。', '短评打分': 3}
{'短评内容': '最好的地方是性价比和便利的交通，现在服务也变得越来越舒适，只是希望能够将老旧的设施更新一下，那就更好了', '短评打分': 3}
{'短评内容': '这已经是第二次来住了，感觉比上次还要好，不仅是交通便利，而且服务更加的周到和人性化，唯一有些不足的就是设备需要更新一下了，尤其是电视和其他的一些硬件设施，但是总体讲是非常不错的，以后还会常来的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很干净，态度也很好', '短评打分': 5}
{'短评内容': '不错，离我的目的地很近', '短评打分': 5}
{'短评内容': '晚上有点冷，问服务员要了，可是说住满人了，没多余的被子，这点比较郁闷，其他都还挺好', '短评打分': 5}
{'短评内容': '房间很脏，床头靠背和椅子比食堂的抹桌布还要脏，满是油腻和水渍，令人作呕。', '短评打分': 1}
{'短评内容': '房间非常大，临近商业街，自助早餐很好，服务员非常有礼貌。', '短评打分': 5}
{'短评内容': '住吧 价格不贵 还不错！！！', '短评打分': 5}
{'短评内容': '住的地方交通很便利，服务很周到，卫生每天都会清扫，性价比极高，以后还会光临的', '短评打分': 5}
{'短评内容': '在商业区内,很方便.性价比很高,服务很好,好就是设施一般.', '短评打分': 5}
{'短评内容': '太垃圾了，安静是安静，房间太脏了，床底下还有别人用过的东西，浴室雨帘及其脏，反正以后再也不回去了！很恶心！', '短评打分': 1}
{'短评内容': '设施较旧，其它还好', '短评打分': 5}
{'短评内容': '酒店房间有漏水的情况.是卫生间房顶.可能是上边一间的地面渗水.楼下的这间卫生间根本没办法去厕所.位置相当不错也是比较方便出行的.其它各方面还好.', '短评打分': 3}
{'短评内容': '人员服务态度挺好的,但里的设施都太陈旧了,住着不是很舒服,卫生一般,位置位置还可以,在市中心.', '短评打分': 1}
{'短评内容': '噪音太大，环境也很差，地理位置还好吧', '短评打分': 5}
{'短评内容': '性价比高，服务环境也不错，地理位置也挺好的', '短评打分': 5}
{'短评内容': '入住时没有多少人.所以服务人员还是挺热情的,位置不错交通购物挺方便的,价格也挺适合的.', '短评打分': 5}
{'短评内容': '离劝业场近，逛街购物方便，环境清静', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '管理不规范，设施老旧，诚信较差。', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '地段好不代表可以偷懒', '短评打分': 3}
{'短评内容': '离市中心很近，其中和平路步行街5分钟步行即到，滨江步行街约10分钟路程，购物十分便利，二楼餐厅海鲜的价格比我们海边这里还要便宜，味道还可以。设施说得过去，服务水平一般，价格不错。在天津对于大众来说，这样的旅馆算不错的。', '短评打分': 5}
{'短评内容': '离繁华的步行街很近，很方便！价钱也适中！', '短评打分': 3}
{'短评内容': '宾馆的位置很不错，去滨江道步行也就5分钟。但是宾馆内部的设施不是太好。墙壁没有墙纸，是粉刷的，有点脏了，地毯也好久没有清洗了，上面的污渍太明显了。房间里的设施有点陈旧，床头灯竟然有一个是坏的。楼道弯弯曲曲的，也很窄，象在走迷宫。宾馆不给房间钥匙，要进房的话得找楼层服务员开门，一般她会在电梯口值班。可我是半夜回去的，就只好去敲服务员休息室的门了，挺不方便的。价格还是比较满意的，标准间180元/天，在', '短评打分': 5}
{'短评内容': 'this is garbage&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '服务环境和设施评了一般，因为以这样的价位，在天津能住到这样的房间已经算满足。酒店位置距离和平路步行只要5分钟，如果逛街后入住HAPPY，当然不错。房间开间大概13平方，没有“小强”，6小件也都有，就是墙上缺少一面镜子，少了很多乐趣。隔音不知道好不好，不过，因为不是会期期间，没有多少人入住，所以再大的声响也不会有人抗议的。服务的质量，住点期间只接触了两个楼层服务员，一个在入住时给我开门，一个是午夜1', '短评打分': 3}
{'短评内容': '地势还可以，宾馆环境不好，可能是新装修的吧，一点不象三星级的酒店，服务态度也不好，在那里的住宿的人也不多，房间设施不齐全，请慎重', '短评打分': 3}
{'短评内容': '还可以，地点不错~~~', '短评打分': 3}
