{'短评内容': '房间很新。好！', '短评打分': 5}
{'短评内容': '性价比非常高很不错', '短评打分': 4}
{'短评内容': '就在客运站对面，方便', '短评打分': 5}
{'短评内容': '酒店管理实在太差了，半夜四点多猛敲隔壁房间门，大声吵闹，考虑过其他住宿客人的感受吗？为什么不能换位思考一下，几乎把所有人都吵醒了，对酒店的管理以及服务强烈不满，一百个差评。', '短评打分': 1}
{'短评内容': '酒店管理实在太差了，半夜四点多猛敲隔壁房间门，大声吵闹，考虑过其他住宿客人的感受吗？为什么不能换位思考一下，几乎把所有人都吵醒了，对酒店的管理以及服务强烈不满，一百个差评。', '短评打分': 1}
{'短评内容': '住了两天早餐内容都是一样的 菜式干净卫生 家庭房入住3个成人但是拖鞋与免费水只有2份 第一天入住向前台多要了1瓶水 但第二天仍旧是2人份 希望这点能够改进 被芯发黄有一滩滩的水印 鸭绒枕不错很舒服 对面就是丽水客运东站去缙云等旅游景点很方便 ', '短评打分': 5}
{'短评内容': '这次订的房间不能说好！房间不是很干净，有虫子还打死一只蜈蚣！女儿的脸咬了好几个包！发票还是艺龙寄来的！', '短评打分': 3}
{'短评内容': '不给開发票。', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '不错，每次来都住这里', '短评打分': 5}
{'短评内容': '还不错，每次来都住这里', '短评打分': 5}
{'短评内容': '办退房的时候服务员速度太慢了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置还是挺好的，周边稍微走走有很多好吃的。入住的时候还看到有人办婚宴，应该在当地也算不错的吧，可是自己入住的那一层楼层有明显的脚臭味…住了几天每天都是…估计是之前的地毯清理的不够干净吧…', '短评打分': 3}
{'短评内容': '经济实惠，卫生方便！', '短评打分': 5}
{'短评内容': '非行实惠，卫生清洁，下次还会去', '短评打分': 5}
{'短评内容': '很棒 性价比很高 床很软', '短评打分': 5}
{'短评内容': '很棒 性价比很高 床很软', '短评打分': 5}
{'短评内容': '交通方便，价格合适', '短评打分': 4}
{'短评内容': '不错的酒店，很好的，安静。', '短评打分': 5}
{'短评内容': '还不错，价格也适中，送的早餐也很满意。小小的推荐一下。', '短评打分': 5}
{'短评内容': '所有客房面积，设备，用品等硬件和早餐都是同价位酒店中性价比最高的，特别值得赞扬的是任何一位服务人员都能做到应对有礼，令人确有温馨家园之感，所以在周围数十家宾馆酒店中唯有该店门前屋后停满车辆。\n晚餐在二楼餐厅用餐，也可算价廉物美。', '短评打分': 5}
{'短评内容': '房间较大，实惠，早餐不错，不过浴室有点小，整体感觉还是不错的', '短评打分': 5}
{'短评内容': '酒店性价比很高，服务不错，周边环境有点吵，交通方便。早餐也比较丰富，这浙江省内住过很多家酒店，还真没碰到这么性价比高的。每次去丽水出差必去这家酒店住宿。赞一个，希望继续提高服务！', '短评打分': 5}
{'短评内容': '晚上有蚊子，连蚊香也没有…不过早餐还行', '短评打分': 3}
{'短评内容': '房间还可以，虽然是顶楼但是空调还算给力。就是设备有点旧。', '短评打分': 3}
{'短评内容': '很不错的酒店，经济，实惠，早饭很不错，推荐一下，住了那么多的宾馆，我觉得这家是我住的性价比最好的一家了', '短评打分': 5}
{'短评内容': '酒店性价比可以 服务态度很好 房间规划也很到位', '短评打分': 5}
{'短评内容': '洗脸盆的水实在是太小了，一点都不好用。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，就是稍微有点闷', '短评打分': 3}
{'短评内容': '干净，房间大，早餐丰富', '短评打分': 3}
{'短评内容': '酒店一般，服务还行，就是太吵，隔音不是很好。', '短评打分': 3}
{'短评内容': '不錯，很實惠，價格也不高~早餐一般般吧……沒什麽感覺……', '短评打分': 5}
{'短评内容': ' 东站对面，空调室外机吵，有蚊子，房间内条件尚可。', '短评打分': 3}
{'短评内容': '这家酒店地理位置不错，就在汽车东站旁，房间很干净，服务也挺好，尤其是早晨比较丰富，性价比挺高的一个酒店,下次还会考虑入住', '短评打分': 5}
{'短评内容': '早餐还好,离汽车火车站很近,出行很方便,房间内设施还好.', '短评打分': 5}
{'短评内容': '房间很好很舒服也很干净。', '短评打分': 3}
{'短评内容': '酒店位置很好,靠近汽车东站,出行很方便,早餐还好,值得推荐.', '短评打分': 5}
{'短评内容': '第二次去了 一样的商务大床房  嗯，比起上次那间朋友说小了点。。。回想是有点小哦哈哈 那天早餐不怎样 、、、  等我下次再去', '短评打分': 5}
{'短评内容': '很干净，价位也可以接受。不错。早上送有早餐。', '短评打分': 5}
{'短评内容': '要了商务大床房，偶滴天一进去好脏感觉没有打扫过一样，凳子那个女生，，，那个啥留下的东西的凳子都还放着  我晕死了都要 。。地毯更脏   感觉都没有扫过至少垃圾都会有，我出去外面叫她们重新打扫更换了回来觉得还好吧。。。希望下次过去能更干净至少一个月左右的时间可以洗地毯了吧  呵呵   ', '短评打分': 5}
{'短评内容': '性价比可以，有二个小问题：不同的房间分别在二座楼，中间有一条马路，确实不方便；春节三天不能供应中餐，有点遗憾。随便一说', '短评打分': 5}
{'短评内容': '交通方便，服务好。卫生不错。早点不怎么样，不过还好，以后还会选择。', '短评打分': 5}
{'短评内容': '酒店虽然位于汽车东站边上，但不是市中心，日式房面积不是很大，空调不是中央空调，总的说不是很满意。', '短评打分': 1}
{'短评内容': '性价比很高，是我住过性价比最高的酒店，硬件配置很好，价格便宜。值得推荐。', '短评打分': 5}
{'短评内容': '还行，空间较大，环境优雅，----------', '短评打分': 5}
{'短评内容': '很超值 在本地需要300多 但实际只花了138  下次有机会还住这里 早餐还可以只是需要到另一座楼', '短评打分': 5}
{'短评内容': '酒店又对局部进行了重新装修，感觉更好，下次还住。', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 3}
{'短评内容': '还不错~！前台服务一般！不如以前好了，房间挺干净、早餐也可以，这种性价比来说不错！', '短评打分': 5}
{'短评内容': '环境不错，距离火车站很近，性价比高，如果以后有机会的话还会再住的。', '短评打分': 5}
{'短评内容': '整体还好，特别是低价房的性价比还是不错的。', '短评打分': 5}
{'短评内容': '干净、便宜、性价比超高。推荐。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的\n交通方便，设施齐全\n卫生，服务都不错。', '短评打分': 5}
{'短评内容': '酒店服务很不错，酒店挺大的，在当地有名，房间有很多种，房间电脑速度很快，日式房住的还挺舒服的，推荐。（丽水汽车东站，就在酒店对面）', '短评打分': 5}
{'短评内容': '还行，不错，可以。对得住价格。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置交通很方便，对面就是汽车东站，环境还算好，卫生条件达标，缺点就是临街的房间噪音大！', '短评打分': 5}
{'短评内容': '很不错的酒店，我基本都住这家的连锁酒店，很温馨，很不错，早餐也很不错。', '短评打分': 5}
{'短评内容': '服务还好，就是电脑病毒太多了点。希望以后他们把电脑病毒清理干净。', '短评打分': 5}
{'短评内容': '酒店外观还是不错的，只是一进去房间比较旧，而且床单也很不干净~房间空间也不是很理想，总之对不怎么起那个价格！', '短评打分': 1}
{'短评内容': '这里还是很不错的……早餐也丰富……', '短评打分': 3}
{'短评内容': '总体感觉一般。我住的是A幢，房间内设施不规范。洗脸水池龙头太低，无法用开水壶接水。连洗手都不适宜。房间内无香皂，隔音效果差。', '短评打分': 1}
{'短评内容': '早餐非常棒，一旦入住，毕生拥有！个人觉得性价比非常好！', '短评打分': 5}
{'短评内容': '酒店就在车站附近，设置也不错，餐厅菜品价位适中味道也行，OK', '短评打分': 5}
{'短评内容': ' 性价比还不错', '短评打分': 3}
{'短评内容': '交通挺方便的，房间比较干净，晚上睡着也挺安静的，早餐也不错，总体觉得性价比很高。', '短评打分': 5}
{'短评内容': '房间很大很宽阔，可以办公，但是设备陈旧，感觉资源浪费', '短评打分': 5}
{'短评内容': '房间卫生状况让人满意，干净舒适，够得上三星。自助早餐一般性，吃一天还行，连吃几天就没什么胃口了。如果不是国庆期间，酒店停车位置应该够用。', '短评打分': 5}
{'短评内容': '性价比很高，房间比较大，干净，服务员态度很好，停车也还方便。小缺点是电视没有点播，床小点，一家三口挤了点。', '短评打分': 5}
{'短评内容': '干净卫生，挺不错的，下次来还住。', '短评打分': 3}
{'短评内容': '里面什么需要的都有，就是没有电脑。性价比相对不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
