{'短评内容': '总的还可以，出行方便，比周围的酒店价格温柔得多', '短评打分': 4}
{'短评内容': '早餐超级差，鸡蛋按人分，一人一个，这酒店早餐鸡蛋属于最高档货了，可想而知，差评', '短评打分': 3}
{'短评内容': '总体来说一般，有点冷，想开空调，结果告知没有热空调，只能给了个油丁，服务还可以，周边配套楼下是酒吧，还好不吵，去老虎城，中山路步行街，打车1.4倍35元，酒店内部属于老的布置，早餐东西不多，房价600多这个样子，也不觉得好。', '短评打分': 3}
{'短评内容': '酒店太旧了！先是手盆下水不通，找服务员来修，勉强算好了，等要洗澡时发现浴盆下水也是堵的，因时间太晚，都懒得修了，结果澡也没洗。热水不够热，窗户透风、不隔音。前台的服务员态度挺好。', '短评打分': 3}
{'短评内容': '无。。。。。', '短评打分': 5}
{'短评内容': '老酒店', '短评打分': 4}
{'短评内容': '老了', '短评打分': 4}
{'短评内容': '希望升级一些设施，包括服务！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐很差！鸡蛋都要限量一个人一个', '短评打分': 1}
{'短评内容': '经济实惠  还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较旧，交通方便，服务尚可。', '短评打分': 3}
{'短评内容': '帮朋友订的！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比很好，市区位置交通方便，不吵', '短评打分': 3}
{'短评内容': '以前是觉得早餐还比较好，现在早餐变得比较差了', '短评打分': 1}
{'短评内容': '房间不错，交通也很方便', '短评打分': 3}
{'短评内容': '成功入住不错请退还押金', '短评打分': 3}
{'短评内容': '房间设施不错，楼下还有几家酒吧，早餐太简单', '短评打分': 5}
{'短评内容': '不好，装修太旧。该换了。', '短评打分': 3}
{'短评内容': '前台服务太差劲，卫生不好，房间太陈旧，我们准备住一晚，明天换地方住。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;该酒店从外观看的第1感觉就是古董。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;里面设施还算可以。服务态度的确差了很多。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;一楼的福元日本料理不错，88元自助比较便宜。&amp;lt;/P&amp;gt;&lt;br /&g', '短评打分': 3}
{'短评内容': '我对这个酒店的服务简直可以用深恶痛绝来表示，非常的狗眼看人低。上次去厦门出差，由于与该酒店有协议，我就下榻了这里。但他们不让我享受协议价，说要这手续那手续的，我也就算了。可我一外地同事也入住了该酒店，却不需要那些手续就可以享受协议价了，酒店对此的解释让我很不满意，便于当日更换了酒店。&lt;br /&gt;\n此外，该店的设施有些老化，房间也不是很理想且停车不够方便。不过，由于其地处厦门两大主干道湖', '短评打分': 1}
{'短评内容': '很普通的三星酒店，开业太久的缘故，比较旧。', '短评打分': 3}
{'短评内容': '还基本配的上称三星,酒店提供的西式早餐还算可口,用餐环境也不错.入夜后在通往火车站的马路边,有很多洗头店红灯闪烁,酒店内管理还好,没有来骚扰.', '短评打分': 3}
{'短评内容': 'too bad', '短评打分': 3}
