{'短评内容': '还可以。比较干净。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，窗口空调吵了一晚上', '短评打分': 5}
{'短评内容': '停车不免费', '短评打分': 5}
{'短评内容': '价格优惠', '短评打分': 5}
{'短评内容': '床单不干净，隔音不好，很一般', '短评打分': 2}
{'短评内容': '很干净 满意', '短评打分': 5}
{'短评内容': '不错，很贴心的服务', '短评打分': 5}
{'短评内容': '还不错，环境还行，来住好几次了，习惯了', '短评打分': 5}
{'短评内容': '行程有变取消了，没法评价', '短评打分': 4}
{'短评内容': '还不错，房间空调坏了，换了一个大床房', '短评打分': 5}
{'短评内容': '位置很好找，房间卫生也不错。', '短评打分': 5}
{'短评内容': '服务跟环境都很差', '短评打分': 1}
{'短评内容': '很舒服，一直都住如家，强烈推荐?', '短评打分': 5}
{'短评内容': '环境还不错，位置也容易找，房间的卫生也很好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺舒适的一个酒店位置好也方便种的来说不错', '短评打分': 5}
{'短评内容': '挺干净整洁，与价格相配！', '短评打分': 5}
{'短评内容': '价格比较便宜，住宿环境还不错，就是周围吃饭夜宵不方便', '短评打分': 5}
{'短评内容': '挺好的。。。。', '短评打分': 5}
{'短评内容': '挺好的。。。', '短评打分': 5}
{'短评内容': '很安静 很好', '短评打分': 5}
{'短评内容': '交通便宜，酒店在写字楼里面，是我见过为数不多的如家连锁酒店租在写字楼上，环境不错。附近吃饭的地方挺多的，出门几步就有公交站', '短评打分': 4}
{'短评内容': '相当好，服务态度好。', '短评打分': 5}
{'短评内容': '环境可以 ，交通方便，不错！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般…服务态度有点差', '短评打分': 4}
{'短评内容': '很棒，比别的如家好，', '短评打分': 5}
{'短评内容': '几次出差都选择了这家 感觉还是性价比很高的 卫生好总体来说很舒服的 就是周围配置比较少但是还是蛮多普通的可选择的', '短评打分': 4}
{'短评内容': '优点：房间舒适便宜，有无线WIFI，服务称心。缺点：隔音不好，附近没吃喝玩乐的地方。对于第一次入住的容易和附近的一间如家酒店搞混。相对于99块来说十分超值。超值。', '短评打分': 5}
{'短评内容': '不错，就是房间太小', '短评打分': 5}
{'短评内容': '服务还不错。但是隔音不好。外面走路的声音。里面能听的一清二楚', '短评打分': 5}
{'短评内容': '十还不错', '短评打分': 3}
{'短评内容': '酒店挺好的, 关键是晚上有点吵, 隔壁开电视的声音都听得见, 搞得好晚都没睡着,还得打电话到前台,前台帮忙让隔壁电视小声点~~~', '短评打分': 5}
