{'短评内容': '空调不太好，噪音大也不太管用。不过光纤挺给力。', '短评打分': 5}
{'短评内容': '服务一般，环境也还好，就是觉得原来还是酒店的地方连个吹风机都没有挺郁闷的，然后就是只有洗发水，沐浴露都没，一百五十八的房间还不如一般一百块的快捷宾馆。', '短评打分': 3}
{'短评内容': '房间一般；但价格便宜，住的房间味道不好！', '短评打分': 3}
{'短评内容': '总的来说还不错，屋里有一只蚊子，另外就是电脑速度太慢，不是网速慢，是电脑慢。', '短评打分': 5}
{'短评内容': '房间宽敞、设施齐备、价位适中，服务优良。老设备可以更新了。', '短评打分': 3}
{'短评内容': '服务态度不好，环境不好', '短评打分': 3}
{'短评内容': '还可以的呀，不过我住的时候没有网线，为什么呢？', '短评打分': 5}
{'短评内容': '环境一般,服务不错，洗手间风扇听似过飞机呀，空调太老了，噪音刚刚的', '短评打分': 5}
{'短评内容': '环境挺安静的，住的是电脑房，网速也挺快，就是楼层有点高些，房间隔音还可以', '短评打分': 5}
{'短评内容': '再坐一站的平顶山饭店98包早餐，这还要100····', '短评打分': 1}
{'短评内容': '不好 不干净 还有半夜骚扰电话 就一公寓 不安全', '短评打分': 1}
{'短评内容': '房间旧  电梯少  人员杂  很不好 不推荐', '短评打分': 1}
{'短评内容': '如果入住手续简介，快速点更好。希望以后来该酒店，装修更接近商务旅馆的要求。', '短评打分': 5}
{'短评内容': '“酒店陈旧，房间面积较大，但设施较旧，网线太短，无法正常使用。卫生间简陋。”', '短评打分': 3}
{'短评内容': '性价比较高，房间卫生干净，服务态度很满意，下次还会去住。', '短评打分': 5}
{'短评内容': '怎么说呢！房间倒是满意，服务不敢恭维！空调坏了也不修，弄了个小太阳，半路上还要走了！冷死了！哎.555~', '短评打分': 1}
{'短评内容': '酒店环境还算可以，价格一般般。不能刷卡消费~！！', '短评打分': 5}
{'短评内容': '房间标准大小，不会有太局促的感觉。就是装修真的上了年代了，老式装修，老式布局。\n总体来说这家性价比不错', '短评打分': 5}
{'短评内容': '性价比还是可以的，就是宾馆时间比较久，有点旧！', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧,性价比一般', '短评打分': 3}
{'短评内容': '房间一般.周围环境不错!没有早餐.吃早餐地方很远!但是能吃到地方小吃.', '短评打分': 3}
{'短评内容': ' 房间还行，不过前台服务员态度不是很好', '短评打分': 3}
{'短评内容': '便宜实惠，地理位置也不错，就是吃饭不怎么方便', '短评打分': 5}
{'短评内容': '缺点： 房间有异味 设施陈旧 门的样子很没安全感 前台服务人员态度不太好\n优点：位置很好 交通方便', '短评打分': 5}
{'短评内容': ' 服务周到条件好 就是房间有异味 要处理下就更好了 ', '短评打分': 3}
{'短评内容': '上次休息和同事一起去平顶山，预定的这个酒店，里面不行，卫生差，服务也不好。', '短评打分': 1}
{'短评内容': '价格公道~总体来说不错~~~还有22寸显示器电脑~~看电影很舒服~~~', '短评打分': 5}
{'短评内容': '忒差', '短评打分': 3}
{'短评内容': '有年代了！', '短评打分': 3}
{'短评内容': '设施一般吧，房间空间还可以，挺大的，130元也不贵。地理位置不错在市中心外出办事挺方便的，对住的要求不高的可以选择。', '短评打分': 1}
{'短评内容': '设施陈旧，隔音效果查，房间没有大灯，壁灯的灯泡还是坏的，牙刷，牙膏也不好，总体感觉挺差的。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，楼层较高，每次等电梯要等很久，还不提供刷卡服务。强力不推荐', '短评打分': 1}
{'短评内容': '酒店在市中心位置不错，房间电脑不错。130元值，房间还是地毯，面积也大。', '短评打分': 3}
{'短评内容': ' 价格低，设施较老，服务一般。', '短评打分': 3}
{'短评内容': '简直是糟糕的不能再糟糕的了，活像80年代的招待所，管、线裸露在外，洗手间的感觉像80年度简装的。住的还是最高价的房间了——灯没法关，亮着灯睡的，还有被单什么的陈旧。唉不说了，一言难尽。', '短评打分': 1}
{'短评内容': '酒店在闹市区，很吵，多年没有更新过了，房间设施很陈旧，唯有电脑不错，22寸显示器很爽，网速还不错，但不稳定，条件落后点也罢，大厅服务人员的态度真愁人，让叫醒也不叫，一天半的半天要按钟点房结账，真服了，看以前点评酒店很诚恳的回复，可光回复不纠正有什么用呢？', '短评打分': 1}
