{'短评内容': '挺好挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，房间挺舒适的。', '短评打分': 5}
{'短评内容': '有个事情我要讲一下，我们是过来出差的，包里都会带水，他宾馆里也有水，明明有一瓶矿泉水没打开过，他却说瓶盖子密封处打开过！！！一开始我们很信任你，入住前没让你去房间里检查一下，有没有商品没换过！你们却讹炸我们，最可恨的是一瓶矿泉水15块！！！！看我们是不是很好欺负？在此警示⚠️一下入住的人员，希望多留点心。不要像我们一样被讹诈。', '短评打分': 3}
{'短评内容': '服务态度不好，', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '里面配套齐全', '短评打分': 5}
{'短评内容': '这个地方离小商品城太远了，如果是去上货的，就几不方便了。附近有个美好饭店还是非常好吃的，环境也好。。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不够人性化', '短评打分': 4}
{'短评内容': '很不错，基本到义乌就会入住', '短评打分': 5}
{'短评内容': '房间不大，卫生间还不错。 床单被子都还行，地毯有一股味道。', '短评打分': 3}
{'短评内容': '很好，全家一起去的，房间挺干净，服务也不错，就在夜市口，交通也便利', '短评打分': 5}
{'短评内容': '整体挺不错的，唯一就是晚上有点吵，挨着夜市的，不过晚上逛逛夜市也是不错的选择', '短评打分': 5}
{'短评内容': '单间太小标叫还好呵呵', '短评打分': 3}
