{'descr': '前台不是很友好', 'star': 4}
{'descr': '很清爽哦哦哦哦哦哦哦', 'star': 3}
{'descr': '房间挺干净环境不错不吵闹', 'star': 3}
{'descr': '地图标注有误，在交通南路的左边。而且好像就叫新金路，那天晚上找了半天，按照网上标注的地图要吃药的。', 'star': 5}
{'descr': '干净，装饰新，服务周到。大冷天空调也很到位。就是位置不太显眼', 'star': 5}
{'descr': '房间干净卫生，经济便捷。但服务员打扫卫生的时候，吸尘器噪声比较大，有待改进!', 'star': 5}
{'descr': '酒店感觉还不错啦，现在住格林少一点，交通比较方便', 'star': 5}
{'descr': '房间不错，服务态度什么的都满意，连锁店就是这样好。', 'star': 5}
{'descr': '交通方便，卫生设施不错，下次出差还会再来。', 'star': 5}
{'descr': '酒店条件不错，价格也便宜，但服务人员素质欠佳', 'star': 5}
{'descr': '房间小，不过很干净。周边也很热闹。吃穿娱乐都有。差不多走8-10分钟。', 'star': 5}
{'descr': '不是会员连电话都不能用。。。太无语了。', 'star': 3}
{'descr': '地理位置不错，环境也好，很干净，楼下有餐厅，以海鲜为主，喜欢的可以好好吃，不贵', 'star': 5}
{'descr': '环境不错，交通也方便！房间小了点，呵呵。', 'star': 5}
{'descr': '环境很干净，停车也方便！连接停车场还有一个小后门，可以免得绕道，方便！', 'star': 5}
{'descr': '很干净，离我办事的地方很近，很方便，以后还会去的\n', 'star': 5}
{'descr': '很干净，离办事的地方也近，值得推荐，要是有早餐供应就好了', 'star': 5}
{'descr': '酒店比较干净，服务员态度也曼好的，还算是不错啦！', 'star': 5}
{'descr': '酒店环境非常好   还很新  就是网速比较慢  别的很满意哦', 'star': 3}
{'descr': '感觉好   就是网速慢了   酒店房间很大', 'star': 3}
{'descr': '感觉非常好', 'star': 5}
{'descr': '酒店看起来挺新，服务也很周到，设施也齐全，住的很舒适。', 'star': 5}
{'descr': '酒店设计的很有创意，很环保，性价比也很高，值得推荐。', 'star': 5}
{'descr': '服务卫生很到位，设施也齐全，交通也方便，总体感觉性价比很高。', 'star': 5}
{'descr': '酒店的位置不错，周边交通挺便利，出行挺方便，价格也合适，如果有机会下次还会去住。', 'star': 5}
{'descr': '干净卫生，设施完善，服务周到，价格也实惠，住的很满意。', 'star': 5}
{'descr': '服务周到，交通便利，设施完善，价格实惠。', 'star': 5}
