{'短评内容': '满意，服务不错，卫生干净', '短评打分': 5}
{'短评内容': '挺好，房间不小，性价比超高！！！那！！！！', '短评打分': 5}
{'短评内容': '有早餐就好了', '短评打分': 5}
{'短评内容': '如家如家如家', '短评打分': 5}
{'短评内容': '还好，实惠', '短评打分': 5}
{'短评内容': '地点比较便利。周边有家羊肉汤味道好，里面的馍是现做的。离开万达广场不远。楼梯没有隔离。客服很及时，态度好。', '短评打分': 4}
{'短评内容': '半夜也不知道让什么虫子咬了个大包，一晚没睡好。房屋隔音效果也差。', '短评打分': 1}
{'短评内容': '忘了评论了 真不好意思 房间卫生环境都很好 酒店位置好找 好远就能看见', '短评打分': 5}
{'短评内容': '挺好的，一直首选是如家。确实能有一种温馨的感觉，暖色的灯光，书桌，小台灯。', '短评打分': 5}
{'短评内容': '一般出差都选择这里 还不错，房间干净 出行也比较方便 总体还是不错的 离着公司比较近 离着万达也还可以', '短评打分': 5}
{'短评内容': '第一次住！地上各种头发比较多，其他还好！', '短评打分': 4}
{'短评内容': '相对来说比旁边的汉庭好点', '短评打分': 3}
{'短评内容': '位置在路口，方便。但是酒店前台小哥不耐心，咨询一下携程支持房费问题，招到他大声呵斥', '短评打分': 4}
{'短评内容': '如家快捷全国一个样，没有高期待就不会失望', '短评打分': 4}
{'短评内容': '不错，价格公道', '短评打分': 4}
{'短评内容': '挺好的，还送了小水果盘', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境不错，价格便宜！', '短评打分': 5}
{'短评内容': '房间设施条件很好，推荐大家入住。', '短评打分': 5}
{'短评内容': '直营店管理规范，住的踏实。', '短评打分': 5}
{'短评内容': '交通便利，房间大，干净。直营店踏实！', '短评打分': 5}
{'短评内容': '很安静，服务好，环境好，值得推荐，还会再来。', '短评打分': 5}
{'短评内容': '看了其他人的点评决定入住这家酒店。到了之后果然没有失望，地方虽然是偏了一点，不过相对环境比较幽静，后面是一条河。商务大床房跟图片上一样，很干净很温馨，像是家里的感觉。前台服务人员包括宝洁人员态度都很好，保洁大姐尤其和蔼，随时碰到都会跟你打招呼。房间的热水也很好，总之是一次很满意的入住，以后再去还住这家。', '短评打分': 5}
{'短评内容': '我们入住了这家酒店，酒店服务、环境卫生不错，真是个不错的选择', '短评打分': 5}
{'短评内容': '环境不错，卫生也很好，就是隔音不太好。下次还住这儿。', '短评打分': 3}
{'短评内容': '房间太小，比较旧，价格还可以。', '短评打分': 3}
{'短评内容': '酒店离市中心有点远', '短评打分': 3}
{'短评内容': '酒店不错，干净，简洁，服务好，就是如家的风格', '短评打分': 5}
{'短评内容': '当班经理服务意识很到位，因为个人习惯，要求换房间，当班经理很迅速的解决了问题。', '短评打分': 5}
{'短评内容': '干净、整洁，环境也不错，值得推荐的酒店。一直住如家。', '短评打分': 5}
{'短评内容': '卫生好，环境好，服务也不错。是一处比较理想的、性价比比较高的宾馆。', '短评打分': 5}
{'短评内容': '楼上服务还好  但是前台服务态度不好    就像顾客欠他们的一样 谢谢', '短评打分': 1}
{'短评内容': '非常满意，真的是如家感觉，软件、硬件都到位。', '短评打分': 3}
{'短评内容': '如家还算干净，早餐一般，入住客人很多，整体还可以。', '短评打分': 5}
{'短评内容': '非常好 服务到位 房间干净整洁 很舒适 周围环境也很好 交通便利', '短评打分': 5}
{'短评内容': '位置放便，环境整洁，服务热情。', '短评打分': 3}
{'短评内容': '不满意，入住后刚脱了衣服想休息，给家里打个电话，结果打不通，想找总台问问，找了好长时间也没找着总台电话，穿好衣服下楼问问，人家说打电话需要开通，可是入住时也没人提醒啊，说房间里也有总台电话，回房间再次找，才发现在一张火警提示单里有“可以拨打9找总台”之类的话，难道我住个宾馆还要搜查房间的每个角落？看每一个文件，还要逐字逐句？总之，我是不满意的。服务态度还可以。', '短评打分': 1}
{'短评内容': '呵呵   很好  周围环境很安静  干净  ', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '酒店条件还不错，唯一的缺点是空气太干燥了，干的我喉咙痛，一晚上没睡着觉。', '短评打分': 5}
{'短评内容': '挺好的，服务还可以，以后还回来，谢谢，谢谢，谢谢谢谢', '短评打分': 5}
{'短评内容': '不错 在东营算是不错的了吧 我是北京的 去青岛玩 路过 ', '短评打分': 5}
{'短评内容': '挺干净，挺舒服，没有乱七八糟电话，周围也比较繁华', '短评打分': 5}
{'短评内容': '基本来说不错，就是这几天有装修的，白天休息不好，很吵。房子隔音效果也不好，晚上隔壁打呼噜的声音都能听见', '短评打分': 5}
{'短评内容': ' 酒店位置不错\u3000出行和购物方便', '短评打分': 3}
{'短评内容': '酒店的服务很周到 卫生条件一直不错 离办事地点很近 很方便', '短评打分': 5}
{'短评内容': '酒店工作人员的态度很好 房间整洁 交通方便 离办事的地方也比较近  ', '短评打分': 5}
{'短评内容': '此酒店位置比较好找，内部设施不错，值得表扬的是卫生间的卫生，很干净，洁具、器具都很干净，洗发液和沐浴液的使用方式很环保，避免了浪费现象，床铺比较舒适，房间略小，设施比较新，服务也不错，离酒店不远的地方有5、6家不错的酒楼，用餐很方便。', '短评打分': 5}
{'短评内容': '去青岛路过东营，在如家住了一晚，房间干净温馨，值得推荐！', '短评打分': 3}
{'短评内容': '临街的房间略吵，隔音稍差，隔壁卫生间的流水声音比较大，其他方面都很好', '短评打分': 5}
{'短评内容': '后院可以停车，服务不错，性价比较高，餐馆也还行。', '短评打分': 5}
{'短评内容': '如家的感觉一如既往，不错！', '短评打分': 5}
{'短评内容': '自驾去往青岛途中住宿一晚 优点不谈 前台的服务有待改进 酒店所处位置 东营市 晚上购物很不方便 商家（尤其是吃饭的和超市）关门都较早 酒店餐厅也关门很早 可能和城市性质有关 ', '短评打分': 5}
{'短评内容': '我们路过东营住的如家，房间很干净，价格也合理，推荐!', '短评打分': 5}
