{'短评内容': '老板娘人特别好，下次来还愿意住这！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'That was cheap but a dirty place. There was not hot water. ', '短评打分': 2}
{'短评内容': '房间够用了，经济实惠，老板人也很好，离火车站很近，附近购物也方便。', '短评打分': 5}
{'短评内容': '服务热情周到,有家的感觉(XC)', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '什么都还不错~~~~~~~~~', '短评打分': 4}
{'短评内容': '离火车站很近，购物出行都很方便，设施齐全但条件一般，对于这个价位来说也算相对不错的。', '短评打分': 4}
{'短评内容': '不想说', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '挺好，70块钱还想住啥样，这就不错了', '短评打分': 2}
{'短评内容': '房间很干净，设施很齐全，二十四小时都有热水', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '房间挺干净的，早晨4点多钟到就办理入住了，还可以上网，不错', '短评打分': 5}
{'短评内容': '总体上还不错，卫生也不错!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '很干净.', '短评打分': 3}
