{'短评内容': '无功无过，房间挺大，就是早餐很差。', '短评打分': 3}
{'短评内容': '无功无过，房间挺大，就是早餐很差。', '短评打分': 3}
{'短评内容': '无功无过，房间挺大，就是早餐很差。', '短评打分': 3}
{'短评内容': '无功无过，房间挺大，就是早餐很差。', '短评打分': 3}
{'短评内容': '携程上预定的房间非常差，紧靠马路，隔音非常不好。不要住……', '短评打分': 1}
{'短评内容': '还不错，出去旅游，要的就是环境。', '短评打分': 5}
{'短评内容': '很好，一直住他家', '短评打分': 5}
{'短评内容': '很好，一直住他家', '短评打分': 5}
{'短评内容': '酒店的位置非常好，入住满意！', '短评打分': 5}
{'短评内容': '酒店的位置非常好，入住满意！', '短评打分': 5}
{'短评内容': '酒店的位置非常好，入住人满意！', '短评打分': 5}
{'短评内容': '晚上酒店发生暴力事件，酒店服务员不报警，极其恶劣', '短评打分': 3}
{'短评内容': '酒店位置很不错，周边吃饭什么都很方便，服务态度很棒', '短评打分': 5}
{'短评内容': '周末回城时路过赣榆，没想到各酒店都爆满，后来选择的格林豪泰，一直以来，都觉得格林很不错，可赣榆的格林豪泰完全让我有了相反的感官，设施实在是差的够呛，而且有很不舒服的味道，唯一感觉不错的就是酒店前台的服务态度还是很不错的。', '短评打分': 3}
{'短评内容': '总体来说快捷酒店也就这样了吧。', '短评打分': 4}
{'短评内容': '房间很宽敞，上网也快，这是商务人士的必须，离高速口也不远，有停车场，感觉好', '短评打分': 3}
{'短评内容': '不错不错，早饭尤其不错啊！下次还会去的，酒店旁边有个早饭摊子，看起来很好吃的样子', '短评打分': 5}
{'短评内容': '位置不错，到车站不远，周边热闹，不过房间通风不太好，不开空调房间比较会比较闷', '短评打分': 5}
{'短评内容': '停车方便，房间够大，早餐一般，交通比较好', '短评打分': 5}
{'短评内容': '房子还好，就是临街吵，第一晚住407，太吵换了无烟层501，还是吵，不想换酒店凑合算了，马路对面就是河边，晚上有人跳舞，唱歌，早上有锻炼，神经衰弱的不建议住，酒店纱窗关不严，晚上有蚊子，分别在两个房间抓了两只。但是房间面积不是很小，另外前台服务也很好，早餐有几样青菜，很喜欢。', '短评打分': 5}
{'短评内容': '位置还算好，但酒店实在不敢恭维，隔音差，好吵，关键是连窗帘都拉不大上（305），早上起来老大光照着，睡都睡不好，以后不会选择住这里', '短评打分': 1}
{'短评内容': '十环境不错下次再住', '短评打分': 3}
