{'短评内容': '睡觉还比较安静', '短评打分': 3}
{'短评内容': '环境不错，值得去', '短评打分': 5}
{'短评内容': '里面设施比较旧。', '短评打分': 4}
{'短评内容': '不错 卫生 方便', '短评打分': 5}
{'短评内容': '316房间烟味太厉害了', '短评打分': 3}
{'短评内容': '床比较舒服  环境一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '酒店干净卫生，房间挺宽敞，采光不错，服务也不错，价格还挺划算。', '短评打分': 5}
{'短评内容': '很好，服务很棒，主动问好，房间设施简约大方，很好，整体显得干净明亮；躺在床上，床垫软硬适中，睡起来很舒服；被套摸起来也很舒服，床单铺的很整齐，一看就是更换过的，洗漱间很敞亮，干净；热水很足，也很热，热的特别快，；封包浴巾设计很赞，避免服务员拿来拿去弄脏了。房间床头就贴了上网提示贴，方便上网，网速挺快；房内很安静，隔音也不错。本次入住很开心，谢谢。', '短评打分': 5}
{'短评内容': '很好，服务很棒，主动问好，房间设施简约大方，很好，整体显得干净明亮；躺在床上，床垫软硬适中，睡起来很舒服；被套摸起来也很舒服，床单铺的很整齐，一看就是更换过的，洗漱间很敞亮，干净；热水很足，也很热，热的特别快，；封包浴巾设计很赞，避免服务员拿来拿去弄脏了。房间床头就贴了上网提示贴，方便上网，网速挺快；房内很安静，隔音也不错。本次入住很开心，谢谢。', '短评打分': 5}
{'短评内容': '床和枕头都很舒服，位置也很便利', '短评打分': 5}
{'短评内容': '环境很好。景色不错，交通一般。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境很好，很安静。服务较好。以后来青岛还会去的', '短评打分': 5}
{'短评内容': '总体不错，较新，不隔音，', '短评打分': 4}
