{'短评内容': '其他还行，就是烟味太重', '短评打分': 5}
{'短评内容': '无早，卫生不错，环境佳', '短评打分': 5}
{'短评内容': '非常好，每次都住这里', '短评打分': 5}
{'短评内容': '没有窗户特惠房，还有很多发小卡片的闲杂人等……', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以就是房间略小点！', '短评打分': 5}
{'短评内容': '比较干净卫生，不吵闹。棒极了！比较干净卫生，不吵闹。棒极了！比较干净卫生，不吵闹。棒极了！比较干净卫生，不吵闹。棒极了！', '短评打分': 4}
{'短评内容': '如家一如既往的家的感觉，房间卫生非常干净，特别是前台服务员温馨提示，前面停车场不能乱停车，第二天看到别的汽车都贴了罚单，感到非常的欣慰！', '短评打分': 5}
{'短评内容': '干净简洁！', '短评打分': 5}
{'短评内容': '典型的连锁酒店，出差比较适宜', '短评打分': 3}
{'短评内容': '订了特惠房，发现房间很小，就换了一间，房间还是比较小，卫生间还是挺大的，有吹风机，电视有网络电视，订外卖也比较方便。', '短评打分': 4}
{'短评内容': '出差旅行必备', '短评打分': 4}
{'短评内容': '老顾客了', '短评打分': 5}
{'短评内容': '环境条件都一般，没有什么特别之处', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '设施比较新 如家一如既往的风格 如家的感觉  ', '短评打分': 5}
{'短评内容': '环境很好，比较温馨！能提供早餐更佳。。。', '短评打分': 5}
{'短评内容': '这已经是第二次入住了，这次的房间很好，下次还会再来的', '短评打分': 5}
{'短评内容': '环境不错，服务很好，要是提供早餐就好了！', '短评打分': 3}
{'短评内容': '房间环境还好的，就是小了点，这个价位还是不错了，挺好的', '短评打分': 3}
{'短评内容': '标间还行，以后出行还会订如家。房间虽然小一点，但是床挺舒服的，卫生间也不错（沐浴用品有点使不惯）。', '短评打分': 5}
{'短评内容': '酒店的位置很热闹，吃饭购物都很方便。。。。。。。', '短评打分': 5}
{'短评内容': '性价比不错，周围吃饭，逛街都很方便~~性价比不错，周围吃饭，逛街都很方便~~性价比不错，周围吃饭，逛街都很方便~~', '短评打分': 5}
{'短评内容': '怎么说呢，我本是网上预约，后来就不知道怎么回事了', '短评打分': 1}
{'短评内容': '价廉物美 环境也不错 处于闹市区 但是闹中取静 价格很优惠 推荐入驻！', '短评打分': 5}
{'短评内容': '  感觉还不错的，就是不能刷卡。还有就是发票要寄过来，但是速度还是很快的，地理位置不错', '短评打分': 5}
{'短评内容': '   酒店的位置很热闹，吃饭购物都很方便。房间也不错，就是不能刷卡，这点不是很方便', '短评打分': 5}
{'短评内容': '第三次入住，依旧推荐，现在终于可以开发票了，呵呵', '短评打分': 5}
{'短评内容': '无 法 想 象 这个 网 速  太 慢了好比蜗牛    ', '短评打分': 1}
{'短评内容': '酒店环境不错、也很干净，服务也好', '短评打分': 3}
{'短评内容': '酒店不错的~快捷连锁住着比较放心~最关键的是出门非常方便~在市中心~唯一的缺点就是停车位太少~', '短评打分': 5}
{'短评内容': '房间虽然小，但是很精致，绝对值得选择。性价比算是很高的了，附近吃饭的地方也是比较多，就是离客运总站有点远', '短评打分': 5}
{'短评内容': '繁华区域，周围配套设施齐全，价格合适，理想选择', '短评打分': 5}
{'短评内容': '酒店不错，装修的很好，服务人员也不错，下次来还会住这家酒店', '短评打分': 5}
{'短评内容': '房间很新很干净~旁边很热闹，很不错~         交通很方便', '短评打分': 5}
{'短评内容': '很好，位置很好，周围很多吃的，旁边还一公园', '短评打分': 5}
{'短评内容': '服务蛮好的，环境也好', '短评打分': 3}
{'短评内容': '酒店处于闹市区，新开的，很干净，也挺舒适，晚上11点多还是很热闹，吃饭购物方便。但是停车很不方便。性价比不错。', '短评打分': 5}
{'短评内容': '酒店位置正在市中心，逛街购物很方便，虽在闹市，房间的隔音效果不错，服务很好，唯一美中不足的是我住的大床房间有点儿小，不过也不影响，下次还会再来的', '短评打分': 5}
{'短评内容': '酒店环境还可以，周围购物，吃饭较方便，房间干净卫生，能上网。\n缺点是，房间有点小，没有停车场。', '短评打分': 5}
{'短评内容': '房间小了点  其他到还可以  出行也比较方便', '短评打分': 5}
{'短评内容': '酒店是新建的，设备较新，服务挺好，现在还没有该酒店的发票，需要发票的只能邮寄。不过今天给我寄出了。', '短评打分': 5}
{'短评内容': '晚上睡觉太吵，前半夜外面不知道是歌厅还是舞厅声音很大。后半夜有人跑来跑去还大声喧哗宾馆都没人出来制止。', '短评打分': 1}
{'短评内容': '该店地段佳，位于中心城区，新装修。由于新开张，服务需要提升', '短评打分': 3}
{'短评内容': '酒店貌似没正式开业，发票只有开嘉兴的再寄过来，其他的还可以吧，地处繁华地段，外面吃的比较多。', '短评打分': 5}
{'短评内容': '房间很干净，并且在闹市区，很方便，下次还会住', '短评打分': 5}
{'短评内容': '新开张的长兴店，地处闹市区，但安静、整洁、舒适。', '短评打分': 5}
{'短评内容': '酒店很温馨', '短评打分': 3}
