{'短评内容': '这个地方停车就不说了，基本上没有停车位，就算保安让你停了，下午6点之前你有可能要无限制的下来挪车！这就算了，完了之后进去房间，哎呦我天！和图片根本没法比呀！不说了，说了就心塞，好在服务员的态度特别好', '短评打分': 3}
{'短评内容': '哈哈哈哈哈', '短评打分': 5}
{'短评内容': '前台那个老头子态度差的一比', '短评打分': 2}
{'短评内容': '交通便利，环境好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店服务还是非常好的，价格便宜，11111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '还行，性价比不错', '短评打分': 5}
{'短评内容': '并没有双早提供', '短评打分': 4}
{'短评内容': '这样的酒店下次肯定不会去入住的。', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境不怎么样，那时候还有蚊子', '短评打分': 3}
{'短评内容': '味道太重，说好的早饭也没有，服务态度一般，还一边在打电话，完全不值这个价，晚上睡觉还太吵，', '短评打分': 1}
{'短评内容': '卫生很差，地毯上随处是头发，卫生间地板开了，水泥尘遍地', '短评打分': 1}
{'短评内容': '特别生气！晚上九点多过道也不开灯，正好有个高度坎，脚扭了，休息了两天！窗子密闭，都不好换气！差评！', '短评打分': 1}
{'短评内容': '房间有点异味', '短评打分': 3}
