{'短评内容': '不错的位置', '短评打分': 5}
{'短评内容': '挺高大上的，出差或者旅游都是在这住的，服务很好，设施很全，住出了家的感觉', '短评打分': 5}
{'短评内容': '早餐很棒，有当地特色  房间很干净  住得很舒适', '短评打分': 5}
{'短评内容': '酒店位置很好，周边有很多饭店，吃饭很方便！有人民公园，可以散步！有大型超市，可以购物！早餐丰盛，吃的饱饱的！酒店设施齐全！服务很好！很周到！会继续支持！', '短评打分': 5}
{'短评内容': '一般一般啦，比较差的锦江', '短评打分': 2}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '很好，很不错呢', '短评打分': 5}
{'短评内容': '环境不错，推荐！', '短评打分': 5}
{'短评内容': '住了很多宾馆，发现这个宾馆真不错，后院有个免费的停车场，能停二十几辆车，出门就是菜市场，饭店，小吃也不少，服务员态度也很热情', '短评打分': 5}
{'短评内容': '来淄博出差的必选酒店，停车场两个非常宽敞，服务员热情有礼貌，整体卫浴，暖气好。赞一个', '短评打分': 5}
{'短评内容': '不错不错，', '短评打分': 5}
{'短评内容': '卫生间太小', '短评打分': 4}
{'短评内容': '卫生间太小', '短评打分': 4}
{'短评内容': '卫生间太小。', '短评打分': 4}
{'短评内容': '感觉酒店很久，墙上有脚印，很一般', '短评打分': 3}
{'短评内容': '一个字，好！超级贴心，办理入住的时候还送身份证卡套，告知无线密码和免费的矿泉水，提醒你餐票妥善保管等，前面那个客人身份证落在前台还主动联系送过去，房间挺整洁，床头有台灯，遥控器便笺等有收纳小盒子装，好多细节感到很人性，总之很满意。门口还有各种陶器宣传淄博文化。', '短评打分': 5}
{'短评内容': '总的来说还不错，前台服务态度很', '短评打分': 5}
{'短评内容': '干净整洁，早餐不贵还不错', '短评打分': 5}
{'短评内容': '服务很贴心，设施也很温馨，不错，下次还会选择', '短评打分': 5}
{'短评内容': '第一次住锦江之星非常不错哦，服务员态度超好，房间非常干净，就是卫生间小了点。', '短评打分': 3}
{'短评内容': '一如既往，还是不错，唯独地理位置一般啦            。    ', '短评打分': 5}
{'短评内容': '不错，房间比斯迈欧大，算比较干净，就是偶尔有个蚊子，早饭也不错', '短评打分': 5}
{'短评内容': '房间挺温馨挺干净的，环境也不错。交通个很便利。希望以后有早餐提供。', '短评打分': 5}
{'短评内容': '环境很好，就是房间有些小', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '给朋友订的，朋友说还不错，周边有很多吃饭的地方，价格也很适中', '短评打分': 5}
{'短评内容': '房间干净，服务态度也好', '短评打分': 3}
{'短评内容': '酒店相当好，交通方便，周围吃饭的地方很少。', '短评打分': 5}
{'短评内容': '还不错哦，\n下次出差还会住这里的，\n经济实惠', '短评打分': 5}
{'短评内容': '酒店位置一般，但是服务一直不错，电梯还安装了刷卡装置，安全应该不错。酒店旁边的一条街，有很多小吃。网速超快！', '短评打分': 5}
{'短评内容': '很好，经常出门都住锦江的，一如既往的支持', '短评打分': 5}
{'短评内容': '整洁舒适，服务态度很好。', '短评打分': 3}
{'短评内容': '整洁', '短评打分': 3}
{'短评内容': '有暖气比较好，整体感觉很温馨，但是房间空调好像坏了，达不到设定的温度。', '短评打分': 5}
{'短评内容': '环境挺好，干净，豪华商务间有沙发但缺茶几', '短评打分': 3}
{'短评内容': '酒店总体还不错，房间也挺舒适的，环境卫生也不错，以后去还会考虑去住那里', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好', '短评打分': 3}
{'短评内容': '＋非常不错，以后会继续入住，地处市中心', '短评打分': 3}
{'短评内容': '还可以，保持了锦江的一贯风格。还可以，保持了锦江的一贯风格。还可以，保持了锦江的一贯风格。', '短评打分': 5}
{'短评内容': '很干净，服务员很热情，值得推荐', '短评打分': 3}
{'短评内容': '环境比较好，内部也比较干净，就是床单被套不是全棉的，睡觉不太舒服。而且和锦江之星会员待遇差别很大。', '短评打分': 5}
{'短评内容': '酒店入住保留到18:00不太合适,太早,至少保留到20：00。晚到半小时打电话说明还不行，非得信用卡担保,实在是太苛刻！', '短评打分': 1}
{'短评内容': '除了坐出租车不方便，其他都还可以，诸城好的酒店还真不多，以后继续入住;\n除了坐出租车不方便，其他都还可以，诸城好的酒店还真不多，以后继续入住;\n除了坐出租车不方便，其他都还可以，诸城好的酒店还真不多，以后继续入住', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '经济实惠，价格公道，卫生条件干净，环境优美，会再次光临', '短评打分': 5}
{'短评内容': '地方干净!面积够大!不过就是洗手间地方小了一点', '短评打分': 3}
{'短评内容': '不错，位置在淄博的好路段，服务态度也可以，会推荐', '短评打分': 5}
{'短评内容': '方便、快捷，建议入住。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置不错，临近沃尔玛和广电，再就是出门小巷子里很多早餐，因为我是半个淄博人，非常喜欢那里的早餐。', '短评打分': 5}
{'短评内容': '推荐大家入住哦，办了会员后便宜了很多。。。。', '短评打分': 5}
{'短评内容': '早餐不错，服务态度也很好。。。。。。。。', '短评打分': 5}
{'短评内容': '干净，舒适，地处淄博繁华区域，交通方便，离商厦，中心公园都很近，适合商务人士入住。', '短评打分': 5}
{'短评内容': '不错，喜欢。', '短评打分': 3}
