{'短评内容': '太吵，换了两次房间，前台有点不耐烦了，一颗星给你服务！', '短评打分': 1}
{'短评内容': '嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿和', '短评打分': 5}
{'短评内容': '环境还不差', '短评打分': 4}
{'短评内容': '楼上空调外机响声太大，影响休息，跟酒店交涉未果，第二天急着出差，没有过多计较，前台答应给个答复的，到现在都没有。', '短评打分': 4}
{'短评内容': '住了蛮多次  满意', '短评打分': 5}
{'短评内容': '早餐可以，靠近马路有汽车声，停车位较少，服务态度好。', '短评打分': 5}
{'短评内容': '不错，服务态度真的很好。', '短评打分': 5}
{'短评内容': '最恶心的一次，各位以后通过京东定酒店，一定要点开发票选项一看，一不小心就中招！艺龙渠道的酒店，只能由艺龙开发票，尽管发票是正规的，但毕竟报销麻烦，就算你发现了，还不能取消！说是下订单的时候就有提示，请问，不点开发票信息，你是氪金狗眼吗！你能看到？我通过京东定太多次酒店，之前都很好，唯独这一次，只能说恶心！一星，我给移动信号满格！', '短评打分': 1}
{'短评内容': '不错，不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '很好，很舒服，交通便利，服务也很好。', '短评打分': 5}
{'短评内容': '不错！服务还可以.房间也还可以！', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，离办事的地方近。锦江之星的品质还是值得信赖的', '短评打分': 4}
{'短评内容': '酒店离办事的地方比较近，所以选择了这家。整体来说还是不错的。锦江之星的品质还是值得新赖的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体来看酒店给人的感觉与价格匹配，较一般…', '短评打分': 3}
{'短评内容': '价格不贵，感觉还是比较实惠的。周边饭店挺多的，尤其对面有家喜相逢鱼港菜还不错，还有一家不大不小的超市，还是很方便的。公交车也有，打车也是比较好打的，去南站也很近，适合商务出差的人，推荐！', '短评打分': 5}
{'短评内容': '房间挺大的，很好。最喜欢的还是锦江之星的床，特别特别的柔软，枕头也是一样如此。退房问了前台的服务员才得知，用的是很有名气的品牌（安睡宝）。真的非常适合我这种容易失眠的人。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店很好啊，服务也不错，点赞。我朋友东西丟在房间了，后来酒店帮忙找回来了，谢谢。下次还会来住的。', '短评打分': 5}
