{'短评内容': '房间够大，出门交通餐饮都很方便！', '短评打分': 5}
{'短评内容': '这种酒店能存在只能证明外地人在北京太好欺负了。大厅的接待就跟奶奶一样，拉个脸，跟住客各种不耐烦，问几句话就立马急眼。扯着脖子和顾客喊。不知道的还以为是heishehui呢，劝大家别定，大过年的自己找气生。', '短评打分': 1}
{'短评内容': '价钱贵，五星级的价格，三星级服务，地理位置好，交通便利', '短评打分': 4}
{'短评内容': '位置优越，近后海，干净大气，安静，就是细节上离高端宾馆有距离', '短评打分': 4}
{'短评内容': '帮朋友订的，位置很好还能停车，性价比很高', '短评打分': 5}
{'短评内容': '酒店是空军招待所 一切都还行 唯一不理解的是没有无线上网 什么年代啊', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错！但隔音效果不太好！', '短评打分': 3}
{'短评内容': '交通方便哦', '短评打分': 5}
{'短评内容': '逛街方便难打车', '短评打分': 5}
{'短评内容': '位置不错，旅游不错的地段，值得肯定的是方便停车，房间设施服务与价格相比还是偏贵了，不过帝都的酒店就这个价', '短评打分': 4}
{'短评内容': '酒店地理位置很好，公交、地铁出行也很方便，房间也干净整洁，整体不错。', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '一切都还好，就是房间里没有迷你吧！', '短评打分': 3}
