{'短评内容': '性价比高～', '短评打分': 4}
{'短评内容': '早餐一般，但性价比挺高，很适合商务出差居住。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '有早餐还可以', '短评打分': 4}
{'短评内容': '早餐很丰富。', '短评打分': 5}
{'短评内容': '服务很好很贴心', '短评打分': 5}
{'短评内容': '还行，一般般吧。', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '交通方便！房间设施不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便！很好', '短评打分': 5}
{'短评内容': '装修的味道很大', '短评打分': 4}
{'短评内容': '位置不错，交通便利，价格也算合理。', '短评打分': 3}
{'短评内容': '价格不贵，位置挺好，就是卫生间热水不热。', '短评打分': 4}
{'短评内容': '环境一般，太陈旧，应该从新装修了，呵呵，服务不错', '短评打分': 3}
{'短评内容': '价格合理，条件一般。', '短评打分': 4}
{'短评内容': '条件一般，但性价比较好，周边环境较为方便。', '短评打分': 5}
{'短评内容': '很好的 服务！！！性价比高！！！很好的 服务！！！性价比高！！！', '短评打分': 5}
{'短评内容': '房间很大，洗澡水很热，酒店自己有餐厅，服务员很好，服务很周到，因为不能吃辣，服务员特意推荐几样不错的菜，还特意嘱咐厨师不要放辣椒，胡椒也没给我们放。非常感谢。', '短评打分': 5}
{'短评内容': '酒店设施可以，地理位置优越，有餐厅，餐厅饭菜花样少一点，酒店服务水平也可以，但前台服务态度生硬一些，最大的不足是没有停车场，总体不失一个好住处。\n\n', '短评打分': 5}
{'短评内容': '地理位置来说 离市中心和景点都不近 服务不错 二楼有餐厅还可以送餐 装修有些陈旧了 但是设施都齐全 挺好 供暖很足 就是隔着路有个购物广场 早上很吵 ', '短评打分': 5}
{'短评内容': '房间很大，这在快捷酒店当中算是不错的了。但就是设备太过陈旧了吧，壁纸都发霉了，另外卫生间的镜子已经花得不能用了。总体感觉不错，员工服务态度还不错。', '短评打分': 5}
{'短评内容': '住了2天居然要发两次评论，我还是推荐，再补充一点好的，网速超快！', '短评打分': 5}
{'短评内容': '网上评价比较低，我看了一下，主要是地段。我觉得是看需求吧，对我来说100%好评\n因为\n1、洛阳正被挖得稀烂，离市中心远点没那么吵，而且开车出去很方便，几分钟就上高速了。洛阳的城市结构比较怪，上高速围着洛阳转去各个景点都方便。\n2、停车方便，不要钱。停车管理员还很热情，刚来河南自驾的时候对河南比较怕，怕河南人个个都是骗子（没办法，网上影响的），其实来了之后发现大部分还是淳朴热情的。其实每个地方都有烂', '短评打分': 5}
{'短评内容': '差差差非常不好，离景区太远，而且可以说是在郊区。。。', '短评打分': 1}
{'短评内容': '差差差以后不会在住的也不会推荐朋友入住的', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店离旅游景区有点远，我入住的房间的空调噪音很大，酒店配备的吹风机也实在太少，借了一上午才借到，还有酒店早餐的品种很少，味道也一般。', '短评打分': 1}
{'短评内容': ' 房间好大阳光非常好我喜欢草编的置物筐很田园和漂亮的梳装镜，在这样的房间迎接早晨是愉悦的！', '短评打分': 3}
{'短评内容': '到附近办事可以，但是旅游住这儿不合适，房间还不错', '短评打分': 1}
{'短评内容': '已住', '短评打分': 5}
{'短评内容': '房间宽敞明亮,饭菜有特色.', '短评打分': 5}
{'短评内容': '房间干净舒适，服务也很热情周到，对洛阳这家格林豪泰挺满意的。', '短评打分': 5}
{'短评内容': '酒店有重新装修过，环境设施都很不错，房间也很宽敞舒适。', '短评打分': 5}
{'短评内容': '酒店还不错，服务态度挺好的，价格只能还可以但是性价比不高，房间还是挺干净的很舒适，但是位置的话确实不是很理想，当时其实也是自己在那边出差的如果像下次去旅游的话我肯定是不会选择这家酒店，也只是比较适合在附近出差。', '短评打分': 5}
{'短评内容': '设施和服务还行,房间很干净很舒适,就是感觉位置有些偏了周围的环境感觉也是不是很好,性价比还不错.还是挺好的一家酒店.', '短评打分': 3}
{'短评内容': '除了酒店是新装修的，房间有点装修的味道，别的还不错，挺干净的，服务很周到，酒店离中心比较远，不过出门就有车，差不多没站都是最末站，总的来说还行\n', '短评打分': 3}
{'短评内容': '观景房的大落地窗还是给人留下了深刻的印象。就是地理位置有点偏，有点靠近城边了的感觉。前台小姐很热情地帮我们指点出行路线，虽然远倒也没有什么特别不方便的地方。', '短评打分': 5}
{'短评内容': '父母住的观景房，房间里配有电脑，大床房，但是房间很小，而且临马路，晚上很吵，不太推荐，父母说还不如豪华标准间舒服(房价比豪标贵），妈妈说没有衣架，不方便，此房型性价比不高。\r\n总体来说，服务还是很满意的。\r\n特别想说一下，餐厅的有个鹅的菜肴，特别好吃（价格相对比较贵）。', '短评打分': 3}
{'短评内容': '入住的豪华标准间，房间很大，很舒适，但是不能无线上网。', '短评打分': 5}
{'短评内容': '位置很偏啊！出行很不方便，不推荐旅游客入住。', '短评打分': 1}
{'短评内容': '  服务很好，早饭略差。', '短评打分': 5}
{'短评内容': '酒店很好但太偏，如果就近办事，值得一住', '短评打分': 5}
