{'descr': '性价比很高，一直在那住', 'star': 5}
{'descr': '浴巾都是坏的，不卫生，有烟头烫过的。痕迹，房间床单不卫生，躺着不舒服，会痒，而且有坏了的洞，卫生不好，差评，以后再也不来了', 'star': 1}
{'descr': '位置很方便，吃饭也方便。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '位置还算好找 门头清晰 门口停车也方便 周边餐饮比较多 靠近铁人广场 晚上可以在广场散步走走 房间空间挺大 卫生也不错 配有独立空调 电视 电脑 热水比较好 不用等很长时间 总体比较满意 ㊗️店家生意兴隆！', 'star': 4}
{'descr': '房间不错。。就是有点冷。。', 'star': 5}
{'descr': '房租设施不错，服务态度好', 'star': 5}
{'descr': '不错，很安静，而且干净', 'star': 5}
{'descr': '房间很干净', 'star': 5}
{'descr': '服务态度好', 'star': 5}
{'descr': '价格和服务一般一般', 'star': 2}
{'descr': '不错，很好。。。。。。。', 'star': 3}
{'descr': '还可以，总体来说还不错。', 'star': 3}
{'descr': '地段不错 也挺安静的 环境也不错', 'star': 3}
{'descr': '好怎么一个好字了得 每次来都住这里', 'star': 3}
{'descr': '酒店房间比较小，空调被告知不能使用.浴室的装修胶渍为提出干净，走廊地毯太脏', 'star': 1}
{'descr': '服务人员效率太慢，退个房等上半天，电视机摇控器也不灵', 'star': 1}
{'descr': '我订了三间单人房，可是到了宾馆，竟然搞不清订单，最后说是只有二间单人房，另外给我们一间大床房，让我们补差价，在我的坚持下，他们最终没有多收钱，有一点不太愉快，好在解决了，房间还行，就是灯光有点暗。', 'star': 1}
{'descr': '宾馆位置好，交通方便，周边饭店、超市、KTV、火车售票点都不远。宾馆干净，设施齐全，性价比相当高。', 'star': 5}
