{'短评内容': '便宜，位置好。餐厅不错', '短评打分': 5}
{'短评内容': '还行吧，只是房间里有点气味', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '很好干净', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置交通方便', '短评打分': 5}
{'短评内容': '装修比较旧了，空调不开。。', '短评打分': 4}
{'短评内容': '不错，速度快', '短评打分': 5}
{'短评内容': '性价比还不错，就是早餐品种太少了，离海宁皮革城非常近', '短评打分': 5}
{'短评内容': '酒店大堂气派，停车很方便，房间大、干净整洁，夜间非常安静，赠送的自助早餐品种挺多，一家人出游不错的选择。', '短评打分': 5}
{'短评内容': '设施较旧，但房间还是挺干净', '短评打分': 4}
{'短评内容': '1有人看管的路边停车场，好像还有个地下的。2  新酒店吧，独栋环境东西很新。还有直饮水。3  二楼有自助早餐，附近有个小区，里面很多饭店，吃的。', '短评打分': 5}
{'短评内容': '值得推荐，但是最好选择无烟房', '短评打分': 5}
{'短评内容': '算是当地一个比较有特色的酒店吧，餐饮还可以，周边环境也不错，以后所有机会再去，还可以考虑。推荐入住！', '短评打分': 5}
{'短评内容': '酒店服务不好，天很冷，空调热风都不开，打了2次说老板娘同意了才能开。灯光暗 不舒服。差评，以后不会再住了。', '短评打分': 1}
{'短评内容': '预定的豪华大床房，总体效果还是不错的，就是房间略有点隔音不好。', '短评打分': 5}
{'短评内容': '没有wifi，连上了不能上网，房间不大，厕所放置位置不好，重点是没无线，没无线，没无线，重要的事情说三遍', '短评打分': 3}
{'短评内容': '住的地方不错，周边环境也好', '短评打分': 5}
{'短评内容': '酒店还是不错的，离皮革城还算近。', '短评打分': 5}
{'短评内容': '酒店很好干净空间大早餐也不错就1点不好隔音差', '短评打分': 3}
{'短评内容': '很喜欢这家酒店哇。感觉很棒的。早餐也吃的很开心呢，哈哈哈。环境非常喜欢，而且也不贵呢。好样的。', '短评打分': 5}
{'短评内容': '春节期间去的，晚饭结束时间20:30，害我找不到吃饭的地方，别的条件都很好', '短评打分': 5}
{'短评内容': '住的是350的豪华商务房，早餐一般，房里的空调不能调节温度，晚上睡觉时候感到很热，其他的倒是还可以，没什么挑剔的地方', '短评打分': 5}
{'短评内容': '不错，酒店位置离中国皮革城很近。早餐不错，房间卫生好。特别是门外的保安很好，负责任。下次还入住此酒店。', '短评打分': 5}
{'短评内容': '环境不错，酒店设施挺好的，服务态度也很好，早上的自助早餐挺丰盛的，唯一的缺点是隔音效果不是很好，隔壁有人打牌到半夜，吵的很，总体来说还是很不错的，下次来还会选这里。', '短评打分': 5}
{'短评内容': '干净，卫生，早歺也很丰富，8错，价有所值!', '短评打分': 3}
{'短评内容': '此行的目的就是去皮革城购物，该酒店离皮革城较近，硬件设施不错，推荐入住。\n', '短评打分': 5}
