{'短评内容': '服务态度棒棒的 大堂副理小蔡很热情', '短评打分': 5}
{'短评内容': '服务水平和招待所一个等级。房间狭小，布局简陋，蚊虫众多，阴暗潮湿，早餐没有啥好吃的！', '短评打分': 2}
{'短评内容': '服务不错 客房安静舒适 大堂副理王跃松服务挺好', '短评打分': 5}
{'短评内容': '酒店服务总体不错。酒店位置挺好的，大嶝岛也就这么一家酒店，生意也是相当不错的。前台姐姐，还有大堂的工作人员态度很好。酒店卫生也不错。就是餐厅开票的廖姐姐总是一黑脸，自己开票错了，还在抱怨，显得很不专业的样子。', '短评打分': 4}
{'短评内容': '环境可以，服务可以。', '短评打分': 5}
{'短评内容': '位置太偏，叫车、吃饭都很不方便', '短评打分': 4}
{'短评内容': '内', '短评打分': 5}
{'短评内容': '酒店环境蛮好 服务态度非常好 酒店旁边就有海鲜城也不贵', '短评打分': 5}
{'短评内容': '酒店环境不错，晚上游泳感觉很爽', '短评打分': 5}
{'短评内容': '房间针对大海，心旷神怡，房间设施齐全，各方面都考虑到了。很快乐。是自驾游厦门最佳性价比酒店。', '短评打分': 5}
{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '酒店设施很齐全，干净整洁，旁边100多米就是战地观光园，可以转一到两个小时，有金门湾酒店房卡减10元。全岛都有观光车可以接送，公交车756和760快运大嶝海鲜城站就在酒店旁边40米左右，去大嶝码头和市区都方便，到码头也就20分钟，到市区要40分钟左右。岛上有个大嶝小镇台湾免税店，网评有很多假货我就没去，岛上海鲜大排档很多，去了大众点评上的两家，梧江海鲜和金山海鲜大排档，梧江离酒店很近，走着20分钟', '短评打分': 5}
{'短评内容': '家庭出门，适合这样的环境。', '短评打分': 5}
{'短评内容': '不错，适合家庭及同学聚会玩玩。', '短评打分': 5}
{'短评内容': '离办事的地点比较近', '短评打分': 3}
{'短评内容': '总体都好，风景优美，空气清新，好评好评！', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '很不错的哦。服务也好', '短评打分': 5}
{'短评内容': '在小岛上有这么一家酒店，一下子亮了。', '短评打分': 5}
{'短评内容': '特价房在地下一层', '短评打分': 4}
{'短评内容': '酒店服务很nice，设施很齐全，就是第一天入住不很顺利，后面三天都非常愉快。室外泳池很舒服，健身房服务很好啊，我跑步有帮我递毛', '短评打分': 3}
{'短评内容': ' 酒店环境不错，也很安静，服务态度好，虽然在岛外，其实去厦门本岛很方便，门口就是旅游5线定时发车，50分钟就到市中心了。', '短评打分': 3}
{'短评内容': '很好，舒适！环境、空气宜人，员工热情、态度非常好！价格低些就百百好呵', '短评打分': 5}
{'短评内容': '酒店还不错，但比较偏，在一个岛上，服务人员态度很友善，除了早餐厅收早餐卷的工作人员，带家人出来度假不错哈，标间有点小，下次入住考虑定大的。', '短评打分': 5}
{'短评内容': '条件真不错  推荐海景房  退潮时完全可以步行至炮台   根本不用买什么烂门票', '短评打分': 5}
{'短评内容': '酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。', '短评打分': 5}
{'短评内容': '酒店各方面都很好。物超所值。强烈推荐。', '短评打分': 3}
{'短评内容': '酒店环境很棒，自驾游的值得去！可惜我去的时候下面的泳池是没水的~', '短评打分': 5}
{'短评内容': '非常不错的酒店，离海边非常近，游泳池很很大很干净。但是海边没开发成海滩。而且岛上交通不是很方便。适合度假休闲。', '短评打分': 5}
{'短评内容': '酒店员工态度很好。很亲切。卫生间可以。下次再来', '短评打分': 5}
{'短评内容': '我是国庆期间入住的，酒店的环境不错，海景房性价比高，适合自驾游。但是酒店的服务态度一般，不论是客房部还是餐馆部，没有之前看到评论的那么好，员工少有笑容，服务较被动。', '短评打分': 5}
{'短评内容': '一个字“好”，位置好，环境美，设施新，服务佳，非常值得推荐！', '短评打分': 5}
{'短评内容': '第一入住被通知免费将两个豪华海景房，换成了豪华套房，住的实在很舒服，第二天想自己加钱住，可惜套房已被预订，酒店设施很新，很八错，不过因为在大嶝岛上，非自驾车的童鞋不推荐，相反如果是自驾去，这里绝对是性价比超高的！酒店的早饭还有上升改善的空间。', '短评打分': 5}
