{'短评内容': '不错，非常好，吃饭也方便，暖气开的也非常舒服，离车站也非常近，唯一不好的是电视少了那么一点，在多几个台就 好了', '短评打分': 5}
{'短评内容': '服务', '短评打分': 5}
{'短评内容': '服务态度很好，京东商城生活服务真好！', '短评打分': 5}
{'短评内容': '一直信赖京东。！', '短评打分': 5}
{'短评内容': '连锁酒店，确实可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，但隔壁是KTV。。', '短评打分': 4}
{'短评内容': '房间很大很干净。总体感觉满意。', '短评打分': 5}
{'短评内容': '还行吧 ，刚开始没定成功，不过信赖京东', '短评打分': 5}
{'短评内容': '性价比超高，速八的房型很大而且干净', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '不错，很赞！', '短评打分': 5}
{'短评内容': '一般化吧！设施比较老旧', '短评打分': 4}
{'短评内容': '很好的酒店，出门方便。汽车站就在旁边，对于出差在外面的人很方便。到了临沂就来这家酒店了，吃饭对面也有一家口味独特，当然要懒那就外卖吧。', '短评打分': 5}
{'短评内容': '房间还不错 就是周边有点乱 有夜总会 有点吵闹', '短评打分': 4}
{'短评内容': '还行吧 酒店比较干净 电脑不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'Very spacious rooms, nice and comfortable stay. ', '短评打分': 5}
{'短评内容': 'Very nice comfortable stay. Warm and cozy stay. Very easily located and very economical. Bathrooms are also nice clean and spacious.', '短评打分': 5}
{'短评内容': 'I always stay in super 8, when i visit linyi. It is convinently located with all amenities nearby. Very spacious, comfortable and economical stay.', '短评打分': 5}
{'短评内容': '经济实惠，还有返现，还可以的。', '短评打分': 4}
