{'descr': '是个半地下酒店，房间墙皮脱落，地板咔咔响！', 'star': 2}
{'descr': '酒店位置很方便', 'star': 5}
{'descr': '因为事出意外，所以先在七天暂住了一晚。房间在地下，墙上有很多地方都裂了，或者是那种泡过水的痕迹，但是还好，没有异味。房间挺大，还算干净。如果不是有急事，我还是建议住其他地方的七天。', 'star': 4}
{'descr': '隔音效果不好', 'star': 3}
{'descr': '价格合适，', 'star': 5}
{'descr': '第一次给酒店差评，环境、卫生都巨差，七天这么整得坏牌子。', 'star': 1}
{'descr': '不错哈哈红红火火', 'star': 5}
{'descr': '还是一如既往的好，经常来这家，挺干净的。', 'star': 5}
{'descr': '快捷酒店么，不能期望过高！', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '    酒店位置还不错，在小区里面，挺安静的，  房间很干净卫生，服务员态度很好，和亲切。。。。。。。', 'star': 5}
{'descr': '房间很大，很好，很干净卫生，服务也很好。。。。。。                              ', 'star': 5}
{'descr': '位置挺好，经济实惠。旁边就是派出所，安全安静，到团结湖公园也近，走几百米距离有一个金鼎轩，典型的广东美食很可口。', 'star': 4}
{'descr': '位置挺好，经济实惠。旁边就是派出所，安全安静，到团结湖公园也近，走几百米距离有一个金鼎轩，典型的广东美食很可口。', 'star': 4}
{'descr': '周围吃东西很方便，旁边就是派出所，安全', 'star': 4}
{'descr': '环境一般，服务一般，基本无服务，酒店设备旧', 'star': 3}
{'descr': '位置挺好，经济实惠。旁边就是派出所，安全安静，到团结湖公园也近，走几百米距离有一个金鼎轩，典型的广东美食很可口。', 'star': 4}
{'descr': '本来入住两天，却只给了一天的反积分，不解。最关键的是，给的地下的大床房，339是他的挂牌价格，别人319的住楼上，我339的却住地下，很不理解，楼下相当潮湿，有窗和无窗基本没区别了，而且，京东与酒店之间关于我是否入住还出现了一些信息不对称的情况，竟然给我发短信确认，总之，很失望的一次京东酒店体验。', 'star': 2}
