{'短评内容': '住了好多天，冬天住的，特别温暖，洗衣服一宿就干了', '短评打分': 5}
{'短评内容': '性价比挺高', '短评打分': 3}
{'短评内容': '房间味道大，热水洗澡20分钟就没了。wifi基本没有', '短评打分': 2}
{'短评内容': '每天评价，没什么可说的', '短评打分': 3}
{'短评内容': '住了好几天了，就那样吧，懒得写评价啦', '短评打分': 3}
{'短评内容': '电视灰常复古，住了好几天', '短评打分': 3}
{'短评内容': '卫生一般 其他还好', '短评打分': 2}
{'短评内容': '酒店整体不错，设施不新潮，但还是挺舒适的，在这个区域性价比较高。服务人员认真负责，不错。', '短评打分': 5}
{'短评内容': '还行吧，住了两天每天晚上都停水', '短评打分': 3}
{'短评内容': '一般，比较老久，158有可以了', '短评打分': 3}
{'短评内容': '真的没想到环境会这么好  真不错', '短评打分': 5}
{'短评内容': '一个字：差！要不是看中位置进了房间就想退了！预定的是标间，给的房间一张大床一张小床，应该是家庭房，这无所谓了。一进房间一股下水道的味道，卫生间的反味太严重了，强烈要求修理下！窗户没有纱窗，因为味道太丑想通风吹下，晚上开着又怕有蚊子，结果开了，还真的就有蚊子了！床单睡着一点不舒服，毛巾还有污渍！这个价格一点对不起，88块钱我都嫌贵！强烈不推荐……', '短评打分': 1}
{'短评内容': '我住的是开发区的那个，条件很差，房间很冷，虽然服务态度很好，送来了电暖气，可是室内温度也就14，5度，整晚都是穿着厚厚的衣服睡的，被子薄，褥子也薄，晚上洗澡热水用没了，热水器就自动跳闸，早上就没有热水了，商务大床房里，这家宾馆最差！衡山路上的如家比较好！', '短评打分': 1}
{'短评内容': '价格还可以，比较卫生，前台工作人员态度较好', '短评打分': 5}
{'短评内容': '房间条件不错，去民航大厦较近，服务态度还可以', '短评打分': 5}
{'短评内容': '酒店地理位置一般，位于小街小巷中，房间隔音效果差，卫生条件一般，前台服务员的服务意识欠缺，态度冷淡。有电脑提供的房间里，电脑根本无法使用，已提早告知某位前台服务员，但结账时另一服务员以不知情为由，仍然向客人收取电脑使用费，几经沟通仍无法协调，由于赶着前往机场乘机，没时间与其理论，只好支付了所谓的电脑使用费，这样的酒店，何异于“黑店”！！！强烈不推荐大家入住该酒店。', '短评打分': 1}
{'短评内容': '酒店的位置还可以，离民航售票处及超市都很近。卫生条件不好，部分前台服务员态度极差，一副不耐烦的样子，清扫员打扫房间也很对付，房间有异味。', '短评打分': 1}
{'短评内容': '地理位置有点不好找。总的来说环境还可以，服务员服务态度很好。美中不足房间里不放空调遥控器。推荐朋友们入住。', '短评打分': 5}
{'短评内容': '太差了，柜台服务员十问九不知。喝的饮料也要自己下去买。', '短评打分': 1}
{'短评内容': '位置好距离商业区比较近,出行方便,而且房间干净卫生,住着舒服.', '短评打分': 5}
{'短评内容': '地点，环境，交通，服务，都很不错，下次再有同事来哈出差还定这里', '短评打分': 5}
{'短评内容': '房间空间还是蛮大的,就是床有点小,不过自己一个人也够睡了,还是蛮舒服的.服务很周到对我很热情.', '短评打分': 3}
{'短评内容': '好，好，好，好，好，好，好，好，好，好，好，好，好，好，好，好，', '短评打分': 5}
{'短评内容': '总体上还行。就是稍微贵了点，呵呵，没早饭，只能出去吃。', '短评打分': 5}
{'短评内容': ' 房间有点小', '短评打分': 5}
{'短评内容': '酒店很不错。就是前台服务员指路不够明确。搞得走了很多弯路。', '短评打分': 5}
{'短评内容': '房间的卫生设施都还不错，位置出行也很方便，价格还是能接受性价比在那个地方还是蛮高的，总体还是挺满意的。', '短评打分': 5}
{'短评内容': '住了两次了 每次房间电话都不好使 很郁闷，', '短评打分': 5}
{'短评内容': '房间里很干净，每天都会及时打扫住着很放心。', '短评打分': 5}
{'短评内容': '环境很好，很安静，住宿条件不错，房间可以上网，很方便', '短评打分': 5}
{'短评内容': '酒店的环境还好只是当时旁边有个施工的地方就比较吵，位置还好离我办事还是比较方便但是去市区之类还是相对来说还是有些远了，其实酒店的价格和环境来看的还是比较适中。酒店唯一缺点就是卫生间里面的下水道味道挺重的。', '短评打分': 5}
{'短评内容': '服务态度不错，服务员热情周到，比较专业。', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以，距离商业区不远，出行还是蛮方便的', '短评打分': 5}
{'短评内容': '临街的房间会比较吵.室内的卫生条件也不是很好.就位置还行,其它各方面都很一般.', '短评打分': 1}
{'短评内容': '酒店住着很安静，环境不错，性价比较高', '短评打分': 5}
{'短评内容': '我感觉经济型的酒店都差不多，没有什么特殊的，这家酒店环境也很一般，价格方面也就这样了。', '短评打分': 5}
