{'短评内容': '酒店', '短评打分': 4}
{'短评内容': '路边有点儿吵 其他还行', '短评打分': 3}
{'短评内容': '离机场近，服务态度好。就是酒店本身确实有点老旧。', '短评打分': 4}
{'短评内容': '早餐很好   就是有一个枕套是烂的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '干活哈哈v哈哈哈好好干', '短评打分': 5}
{'短评内容': '态度不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '条件还不错', '短评打分': 5}
{'短评内容': '还行，不错', '短评打分': 5}
{'短评内容': '挺好的，不错！', '短评打分': 3}
{'短评内容': '不错，挺好的', '短评打分': 3}
{'短评内容': '附近酒店他家挺好的，不错！', '短评打分': 4}
{'短评内容': '附近酒店他家挺好的，不错！', '短评打分': 4}
{'短评内容': '价格可以', '短评打分': 5}
{'短评内容': '机场附近比较方便，设施卫生都一般，隔音也不好，前台美女的服务挺好，不是很讲求质量的朋友可以考虑入住，', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '感觉很好', '短评打分': 4}
{'短评内容': '酒店距离机场不远，服务态度很好，总体还算不错。', '短评打分': 4}
{'短评内容': '还可以作为候机方便值得推荐', '短评打分': 4}
{'短评内容': '给朋友定的房间，用导航在大雾中很方便的找到宾馆，离济南机场5分钟车程，送机也很方便，早餐也挺好的，以后还会再来', '短评打分': 5}
{'短评内容': '挺好的，还有大巴免费接送', '短评打分': 5}
{'短评内容': '性价比高，符合公司的出差标准。', '短评打分': 4}
{'短评内容': '干净卫生，机场有车接送，很方便\r\n推荐速8住宿', '短评打分': 5}
{'短评内容': '第一次住速8，没想到这么好，还有24小时接送，下次还会去！', '短评打分': 5}
