{'短评内容': '1、设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的 ', '短评打分': 5}
{'短评内容': '很好，性价比高', '短评打分': 5}
{'短评内容': '一般般的感觉', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间热水不足，人多的时候，网络不怎么给力', '短评打分': 5}
{'短评内容': '一般般吧，不怎么样，网络不好', '短评打分': 4}
{'短评内容': '很好的环境，已经住过好多次了，还喜欢', '短评打分': 5}
{'短评内容': '垃圾，说好返现没返现，下次再也不住了，草', '短评打分': 3}
{'短评内容': '一分钱一分货', '短评打分': 1}
{'短评内容': '环境一般，神物都很老旧，一进去就有种封沉多年的感觉', '短评打分': 4}
{'短评内容': 'OMG我去她入骨。我是一个小时就能和', '短评打分': 5}
{'短评内容': '用品不是很干净 电视是看不了的', '短评打分': 2}
{'短评内容': '不错，房间够大', '短评打分': 5}
{'短评内容': '房间很小，和上次住的房不一样，卫生间的天花板少块板，马桶也是坏的。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错，就是周围环境一般', '短评打分': 4}
{'短评内容': '其他还算满意  就是酒店前台服务真的很差 素质可以说让人发指  特别是前台服务的男的  携程应该惩罚他们', '短评打分': 4}
