{'descr': '性价比高\n交通业很方便\n就是装修有点老哦\n', 'star': 5}
{'descr': '房间虽大，但房间里的霉味更大。还不到九点员工就私自让早饭结束了，总之服务不好。', 'star': 1}
{'descr': '房间虽大，但房间里的霉味更大。还不到九点员工就私自让早饭结束了，总之服务不好。', 'star': 1}
{'descr': '就是有点旧，不过设施什么的都不错，温馨…交通很方便。', 'star': 3}
{'descr': '房间比较旧，设施也不咋样，早上都没热水，说有早餐，但就没什么吃的', 'star': 1}
{'descr': '什么破酒店，连热水都没有，打了三个服务台电话说来解决，都没有一个人过来…服务实在太差了！', 'star': 3}
{'descr': '房间采光不好，是暗房，空调过老，热水器不方便使用，房间是用隔板的，隔音效果不是很好。', 'star': 1}
{'descr': '很不错的  服务态度很好 室内空间很宽敞 很暖和额 而且 还送抵用券 前台很帅 呵呵', 'star': 5}
{'descr': '闹中去静，干净卫生，旁边就有快餐，还是24小时的，主要是电梯口环境比较差，女生一个人还是不要住了\n', 'star': 5}
{'descr': '还过得去，卫生间梳妆台可以，墙上很脏，不擦的么？无窗的房里有味道。', 'star': 5}
{'descr': '，前台夜间服务态度很差，房间里放了40多分钟尽然没热水问前台她说：‘没办法只能这样了、让你哭笑不得。’', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '说实在的，不咋的。南通毕竟是南通嘛，也不比锦江、汉庭便宜多少，跟南通同价位的酒店比起来，确实挺不划算的。', 'star': 1}
{'descr': '一如既往的实惠', 'star': 3}
{'descr': '酒店内的硬软件设施太差，有点被忽悠的感觉。', 'star': 1}
{'descr': '很好的地方，市中心，好河畔，晚上出去走走不错，就是人民中路再修路，受点影响，总的来说还行', 'star': 5}
{'descr': '不错，空间很大，很舒适，也很安静，就在濠河边，楼下就有吃的，价钱还可以，性价比高', 'star': 5}
{'descr': '房间挺干净的，就是早餐实在是少得可怜，跟本就吃不饱啊！', 'star': 3}
{'descr': '还好，暗房太闷了，有味，价格和店里价格一样，无优惠', 'star': 3}
{'descr': '物美价廉', 'star': 3}
{'descr': '价格还算便宜！隔音效果 不是那么太好的。', 'star': 5}
{'descr': '停车不方便。竟然要拦着收停车费。房间普通。不推荐。', 'star': 1}
{'descr': '不太满意其卫生环境，但是地理位置较便利，去游濠河夜景走路就可以了。', 'star': 1}
{'descr': '不错，不错。', 'star': 3}
{'descr': '感觉不错，环境蛮好。', 'star': 3}
{'descr': '很欣喜的发现了在南通的一个适合出差人住宿的地方', 'star': 5}
{'descr': '整体还好 就是没有电吹风 有点不好  环境一般', 'star': 5}
{'descr': '一般啦   房间不是很大  有点小啦  感觉不是很好 有点阴暗 ', 'star': 1}
{'descr': '价格公道，房间干净度有待加强', 'star': 3}
{'descr': '太简单了,连柜子都没有,其他都还行', 'star': 3}
{'descr': '不错，有窗的好，无窗的有点闷，一般的差旅比较适合，价格适中。', 'star': 5}
{'descr': '地段，环境什么的都好，就是早饭差了点,量也少的。', 'star': 5}
{'descr': '经济实惠,干净卫生,服务不错,,,,,,,,,,,,,,,,,,,,,,,,,,,,', 'star': 5}
{'descr': '特价房的房间不是很干净，地板也坏了，坑坑洼洼，差点摔倒。总的来说，与上次在这家酒店入住的条件差了很多', 'star': 1}
{'descr': '酒店位置佳，离博物苑很近，到南通值得去看一下。郁闷的是车停在酒店门口半小时被城管抄报', 'star': 5}
{'descr': '这是一家性价比较高的旅店，经济实惠，我已经多次入住，下次还会再次入住的。', 'star': 5}
{'descr': '裝潢很好，位置也不錯，早餐有點少，很多裝置都很老了', 'star': 1}
{'descr': '一般一般一般一般一般一般一般一般一般一般', 'star': 1}
{'descr': '房间挺大的，工作人员态度不好，早餐量少了点。', 'star': 3}
{'descr': '多次入住，感觉依然很好。是一家性价比很高的酒店。', 'star': 5}
{'descr': '不错的  房间大 很安静 就是房间灯光较暗', 'star': 5}
{'descr': '性价比高，房间蛮大的，住着很宽敞，卫生条件很好，打扫的很干净，隔音效果还可以，附近出行还是很方便的', 'star': 5}
{'descr': '房间空间够大，服务很不错，早餐送到房间里吃很好，设施一般。', 'star': 3}
{'descr': '房间空间够大，服务很不错，早餐送到房间很好，设施一般。', 'star': 5}
{'descr': '不错的一家店，就是隔音效果有点差........', 'star': 5}
{'descr': '总体来说不错，网速不错，没有有线电视，只能看itv，早餐是一个鸡蛋，一片面包和一杯酸酸乳，地板质量不行，走起路来有抖动', 'star': 3}
{'descr': '总体来说不错，网速也很快，只是没有有线电视，只能看itv，早餐是一个鸡蛋，一片面包和一杯酸酸乳', 'star': 5}
{'descr': '住在这个宾馆，服务员的手推车过来，就像是火车一样轰隆隆的', 'star': 1}
{'descr': '说实话不要介意。\r\n最根本的原因是酒店位置在4楼，楼上楼下都是饭店KTV酒吧，吵得整夜不能入眠，服务员帮助换了房间也不能解决问题，还算尽力了。\r\n卫生间也许是忘记了，居然没有纸，差点出效果！', 'star': 1}
{'descr': '还不错,就是通风条件要完善些', 'star': 5}
{'descr': '总体来讲，性价比比较高。离商业街只有5分钟的路程，离汽车站也只有4站路，酒店下面就是饭店非常方便。但酒店的三楼是KTV，晚上非常吵，酒店的隔音也不是太好的，能听到隔壁的讲话声，建议情侣不要去，很查能被偷听：-）\r\n早餐只有一个鸡蛋，一个面包和一杯酸酸乳', 'star': 5}
{'descr': '位置在市中心，但不是很好找，标识不是很醒目，房间的卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还是比较高的', 'star': 3}
{'descr': '位置在市中心，离车站较近，性价比高，只是靠近马路，晚上不够清净。', 'star': 5}
