{'短评内容': '离市场比较近…住宿条件也不错。', '短评打分': 5}
{'短评内容': '环境不错，干净整洁', '短评打分': 5}
{'短评内容': '该酒店值班前台微笑服务非常不到位，对于客人出示的证件确认问题酒店培训不到位！希望加强业务培训。', '短评打分': 3}
{'短评内容': '好好好', '短评打分': 4}
{'短评内容': '酒店位置很不错，离豫园，城隍庙，新世界都很近，设施完善干净，入住很舒心，非常好', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '有从门缝塞小卡片的。周边环境一般，就是离地铁近。经济酒店嘛，没啥服务，房间跟如家差不多，热水还可以。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '自己觉得还不错', '短评打分': 5}
{'短评内容': '住了好几次了，价格优惠，离地铁近。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '确实小了点，特价房性价比还不错', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '楼下的上海黄鱼店和小馄饨店就不错,从这里做公交车 或者坐地铁也很方便', '短评打分': 5}
{'短评内容': '地理位置差，没停车的地方', '短评打分': 3}
{'短评内容': '去看巡演的时候住了，没要求太高，但是觉得外部环境挺乱的，别的都不错，超大一张床呢', '短评打分': 4}
