{'短评内容': '服务蛮不错的！', '短评打分': 5}
{'短评内容': '非常好，服务到位，位置好', '短评打分': 5}
{'短评内容': '酒店前台服务热情，推荐！', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': 'okay的！', '短评打分': 5}
{'短评内容': '交通便利环境优美', '短评打分': 5}
{'短评内容': '位置很好找，出行非常方便、旁边就是码头喝中山街，出游的绝佳选择', '短评打分': 5}
{'短评内容': '房间不错，方便快捷，好评！', '短评打分': 5}
{'短评内容': '成不客只是发现一部与腾达数码相机维修刘鹏程序员文香奈儿香水瓶装修弱电金证王工', '短评打分': 5}
{'短评内容': '还不错哦，圆床设计特别好。谢谢！前台服务帅哥特别棒。', '短评打分': 5}
{'短评内容': '海景房只有半扇窗斜对着海，城景房格局有问题，窗对着门口卫生间却在里面，圆形床难受的要死。不过地段都不错，出行购物吃饭各种都方便。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '服务，卫生，都不错！很满意。', '短评打分': 5}
{'短评内容': '房间可以升级，具体还不确定。应该还可以。位置比较好。', '短评打分': 5}
{'短评内容': '酒店就在鼓浪屿对面 景色不错。房间一般 设施一般… 卫生一般…性价比不高… 可以选择别的五星酒店… ', '短评打分': 4}
{'短评内容': '酒店房间比想象的小些，但总体服务还可以', '短评打分': 5}
{'短评内容': '挺好，服务好，酒店便利，大气！', '短评打分': 5}
{'短评内容': '服务员态度很好 海景很棒', '短评打分': 5}
{'短评内容': '第二次入住海岸国际酒店了！周围交通很方便，对面就是游轮中心轮渡码头，不过现在只对当地人，外来人还是要去厦门鼓浪屿轮渡码头，酒店楼下轮渡公交场站做51路直达，很方便！酒店离中山路步行街也很近！总之酒店服务设备设施及周围环境交通都还是说的过去的！', '短评打分': 5}
{'短评内容': '位置非常便利，我们高铁出来坐快速公交一站到底就是了，哈哈。装修得也很别致，就是房间小了点，对面就是码头，走路10分钟就到了中山步行街。总体感觉还是很不错的。', '短评打分': 5}
{'短评内容': '偏贵。不太理想。', '短评打分': 1}
{'短评内容': '很舒适的环境，心情棒棒的，美好', '短评打分': 5}
{'短评内容': '位置非常便利，我们高铁出来坐快速公交一站到底就是了，哈哈。装修得也很别致，就是房间小了点，对面就是码头，走路10分钟就到了中山步行街。总体感觉还是很不错的。', '短评打分': 4}
{'短评内容': '不错。环境很好', '短评打分': 5}
{'短评内容': '酒店不能达到5星级，早上没有热水洗澡！希望能够改进', '短评打分': 3}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '服务和环境不错就是洗手间有点小', '短评打分': 3}
{'短评内容': '不错的酒店！推荐住宿！位于厦门这个地方，这个酒店还算不错！', '短评打分': 5}
{'短评内容': '房间很干净，免费给我们升级为圆床房，离鼓浪屿和中山路比较近，方便。', '短评打分': 5}
{'短评内容': '距离中山路和轮渡很近，但是还要提升硬件设施。没有wifi！', '短评打分': 5}
