{'短评内容': '酒店还挺好的\n价格很好\n西安的第一站\n很棒', '短评打分': 5}
{'短评内容': '环境不错，服务好', '短评打分': 5}
{'短评内容': '购物方便、离火车站、市中心都很近非常不错。', '短评打分': 4}
{'短评内容': '靠近火车站等侯很方便，整体酒店干净整洁、设施完善', '短评打分': 5}
{'短评内容': '酒店还可以服务态度好', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '一般吧。可能火车站地价贵，300住这个房觉得不怎么样。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '离西安火车站很近，周边很热闹，吃的店铺味道也不错，酒店环境不错，推荐入住。', '短评打分': 5}
{'短评内容': '非常干净，住宿不错。', '短评打分': 5}
{'短评内容': '好好好，非常棒棒的酒店。', '短评打分': 5}
{'短评内容': '酒店靠近火车站，出行方便，很大', '短评打分': 5}
{'短评内容': '位置很好，在火车站旁边，公交，吃饭都很方便。这个是普通标准间，卫生间花洒不太好用', '短评打分': 5}
{'短评内容': '6666666666666666', '短评打分': 5}
{'短评内容': '很好的酒店，设施全', '短评打分': 5}
{'短评内容': '66666666666', '短评打分': 5}
{'短评内容': '66666666666', '短评打分': 5}
{'短评内容': '不错！为了赶早上的火车定的房间，周边吃的也方便。', '短评打分': 4}
{'短评内容': '酒店位置非常的好离火车站和城墙都非常的近，出行非常方便。我们航班延误到的时间非常的晚了，酒店直接给我们换成了套房，非常满意', '短评打分': 5}
{'短评内容': '挂着5星的牌子，设施最多3星的标准.一般！', '短评打分': 3}
{'短评内容': '挂个5星牌子，里面设施最多只有3星标准.总体一般！', '短评打分': 3}
{'短评内容': '房间很干净 服务也很赞 价格也满意', '短评打分': 5}
{'短评内容': '每次帮朋友订房间都是选择的这里，离火车站近，周边商场也方便，不错', '短评打分': 4}
{'短评内容': '每次帮朋友订房间都是选择的这里，离火车站近，周边商场也方便，不错', '短评打分': 4}
{'短评内容': '环境不错，我和孩子很满意。祝生意兴隆！', '短评打分': 5}
{'短评内容': '设施不错，环境优美，服务周到，适合商务出差使用。', '短评打分': 5}
{'短评内容': '房间很好，离火车站很近，出行非常方便！', '短评打分': 5}
{'短评内容': '不错的酒店，很实惠，只是靠近火车站，有点乱，晚上会有特服骚扰', '短评打分': 5}
{'短评内容': '五星合适，设施齐备，环境优雅，房间空间宽畅，干净整洁！服务到位，只是有广告电话不是很好！', '短评打分': 5}
{'短评内容': '如果你要求的是五星，那我不会推荐这家，后来问了服务员，原来是正在审核中。看了房间不满意，问有没有带浴缸的大床房，说是没有，行政房也是没有浴缸的，就是床软一点，想想就没换。入住第一晚空调坏了，叫修，过来半小时都没人来住在里面像蒸笼；房间没有无线网络，叫开门竟然比客人晚到近10分钟，搞得很不开心。住的7楼，后来6楼在装修，8点不到电钻就在响，还睡个啥，打了电话去问，结果又是没有回复，冒火的要命，后来找', '短评打分': 1}
{'短评内容': '如果你要求的是五星，那我不会推荐这家，后来问了服务员，原来是正在审核中。看了房间不满意，问有没有带浴缸的大床房，说是没有，行政房也是没有浴缸的，就是床软一点，想想就没换。入住第一晚空调坏了，叫修，过来半小时都没人来住在里面像蒸笼；房间没有无线网络，叫开门竟然比客人晚到近10分钟，搞得很不开心。住的7楼，后来6楼在装修，8点不到电钻就在响，还睡个啥，打了电话去问，结果又是没有回复，冒火的要命，后来找', '短评打分': 1}
{'短评内容': '酒店凑合吧，离五星标准还很远', '短评打分': 3}
{'短评内容': '很grand 前台服务态度好 lobby有wifi 而且交通方便 赞！', '短评打分': 5}
{'短评内容': '什么都好，房间大、装修也不错、卫生也很好。可惜就是空调不好，温度始终降不下来，酒店倒是态度挺好，可以换房间，但多挑了三间，空调都是如此，七月的西安，热啊！没办法，第二天换酒店。', '短评打分': 1}
{'短评内容': '这样的价位性价比还行！', '短评打分': 3}
{'短评内容': '设施很好，隔音好，出行方便，无论是坐飞机或火车都方便，性价比高', '短评打分': 5}
