{'短评内容': '环境很好 内饰方面有所突破 设计', '短评打分': 5}
{'短评内容': '总体环境还可以。', '短评打分': 5}
{'短评内容': '真心觉得好', '短评打分': 5}
{'短评内容': '挺好的 服务不错。有机会还会去', '短评打分': 5}
{'短评内容': '对于。。。。。。', '短评打分': 3}
{'短评内容': '棒。。。。。', '短评打分': 5}
{'短评内容': '设施有点旧，床单都是洞，也没有人帮换', '短评打分': 5}
{'短评内容': '还可以，装修一般，没有那种酒店的感觉！', '短评打分': 5}
{'短评内容': '很好价格便宜 环境地理也不错', '短评打分': 5}
{'短评内容': '方便 干净', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '感觉不错的，房间蛮大的', '短评打分': 4}
{'短评内容': '交通方便，周边购物方便', '短评打分': 5}
{'短评内容': '该酒店位于欧尚超市斜对面，周边餐饮、购物很方便。但是芜湖市小偷特别泛滥，一不小心就会被偷。建议大家尽量少来芜湖。', '短评打分': 4}
{'短评内容': '该酒店位于芜湖市较偏的位置，酒店一般。携程的服务也一般。芜湖的小偷较多，请大家来芜湖市一定要注意自己的财物安全。', '短评打分': 3}
{'短评内容': '住了无数次的酒店，都还是基本肯定的。只是这次反映的下水道问题没有解决。', '短评打分': 5}
{'短评内容': '隔音很不是很好。。没有牙签，其他都不错。还是比较推荐的', '短评打分': 5}
{'短评内容': '该酒店卫生状况不错，服务员的服务还好。但芜湖不安全，小偷特别特别的多，如果一定要来芜湖，请一定要看好自己的钱包。', '短评打分': 4}
{'短评内容': '酒店环境不错，交通方便，房间里面的设施比较新，早餐还不错', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 3}
{'短评内容': '100多的价格还包双早在芜湖市区里算是很实惠的了，而且酒店装修都很新，离大超市和玩的地方很近，住的很舒服，不错！', '短评打分': 5}
{'短评内容': '还不错，服务态度蛮好，就是离二期远些。', '短评打分': 3}
{'短评内容': '房间不错，下次首选*************', '短评打分': 5}
{'短评内容': '服务态度好，房间不大但设施较好，比较干净。早餐品种较丰富。在经济型酒店中算不错的。最好在房型选择上能区分有窗房和无窗房。', '短评打分': 5}
{'短评内容': '房间环境不错，特别是床头设计的灯挺好，不过就是房间有点小。整体来说不错，下次还会在住', '短评打分': 5}
{'短评内容': '不错，住的很舒服，交通也很便利，总之整体很好，以后还会来', '短评打分': 5}
{'短评内容': '酒店的环境很好，服务也很好…下次如果再去芜湖的话，我还会选择南苑e家滴…', '短评打分': 3}
{'短评内容': '风格不错，我很喜欢，价位合适，地理位置也较为方便，早餐算给力了，下次去还住那里。', '短评打分': 5}
{'短评内容': '时尚标间装修真不错，房间有无限覆盖很方便，卫浴设计合理，客房服务蛮好。连锁型酒店里做得算不错了。', '短评打分': 5}
{'短评内容': '的确不错，比想象中的要好，很干净，很舒适，唯一不足就是晚上有点吵！', '短评打分': 5}
{'短评内容': '酒店离方特欢乐世界很近，走路只需10分钟就到了，周围吃的东西也不少，环境也不错，就是晚上会有大车经常经过，会有点点吵，总的来说，不错了，设施和中央空调也很不错！值得推荐，如果去芜湖，应该还会再住这家的！', '短评打分': 5}
{'短评内容': '环境好，交通也便利，离方特很近，以后来还选南苑E家', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
